date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,11406445,672682,493918,488953,168054,716861,25000,你被困在2019年10月25日，如何逃出这一天？（三大循环体+随机选项+真假结局+彩蛋）我的世界 & 互动视频,"本视频基于此游戏拍摄：我的世界 / Minecraft / MC
根据《恐怖游轮》结合互动视频特性改编
非互动版：BV1PQ4y1K7gR
==============
视频全程只有一个人，自己杀自己，自己救自己。
【这个人有三种时间形态】
==============
第一阶段：萌新
第二阶段：杀手
第三阶段：救兵
==============
萌新变杀手的途径：发现假碑文
杀手变救兵的途径：杀人成功或者杀人一直失败，最后发现时间表

【随着观众作出的选择不同，这个人杀或被杀，产生了3种不同的循环体】
==========================
第一循环（萌新、杀手、救兵共存） ABC模型
第二循环（没有救兵） AB_模型
第三循环（没有杀手） A_B模型
==========================
观众通过作出选择造成不同的循环体。

【创新点】
恐怖游轮的循环是恒定不变的
这里结合互动视频特性，每个玩家的决策都是随机的，让循环的走向“随机化”，使得情况更加灵活多样。

【基础设定】
1.时空混乱。3个平行时空的玩家交织相遇。
2.先死的人将会优先重生，重生后记忆几乎丢失。

【逃出时空诅咒的唯一方式】
打破循环——跳入水中，让自己（救兵身份）活下来（注：此选项只有在达成假结局后才会解锁）

==============================
【剧本是怎么推理出来的呢？】
路线1：
ABC(设A、B、C分别是最开始的萌新、杀手、救兵，A始终由观众操控）
AB_（A躲过B的追杀，并把C推向深渊）
CAB（A成为杀手，B成为救兵，C重生）
CA_（C躲过了A的追杀，并把B推向深渊）
BCA（C成为杀手，A成为救兵，B重生）
BC_（B躲过C的追杀，并把A推向深渊）
...

路线2：
ABC（初始）
_B_(B先杀了A，再杀了C）
A_B(B成为救兵，A优先重生，进入第三循环）
CA_(A把B推向深渊，C重生）
BCA(C躲过了A的追杀，成为杀手；A成为救兵，B重生）
...

其他各种剧情路线也可以用这种规则推导出来。有兴趣的可以编写一个程序求出各种结果。
==============================

【成功率是什么？有什么用？】
虽然观众操控的是A，但B、C也不是无脑NPC。
B、C也是可以理解成有其他人在操控的。
比如A用斧头砍C有20%成功率，就意味着有20%的观众会让C回头，有80%的观众会让C继续往前走。

【一些解释】
1.为确保观赏性，删除了南瓜头自带的阴影
2.为方便展现杀手内心活动，第18p借用了时间表元素
3.被弓箭射死是进入第二循环，因为救兵先死先重生，萌新（玩家视角）后死后重生，按上面的规则推理即可

【1%彩蛋原文】（快捷入口：av74528824）
旁白：导演，鲁滨伟这家伙怎么一直在违抗我的指令？下个计划再这样我就要崩溃了。 
导演：别担心，下一个计划，保证让观众乖乖按我们设定的路线进行。
旁白：哦？此话怎讲？ 
导演：我修改了这个地图的时空法则，让三个平行世界的玩家依次不断在这个地图上重生。我还在地图上设计了藤蔓树、假碑文、时间表等建筑。只要玩家醒来，就会疯狂追逐自己、屠杀自己、保护自己，无尽循环下去。而且无论屠杀保护是否成功，他们永远处在三个循环变式之中。 我们只需坐在一旁，静静享受这一出永恒残酷的、杀与被杀的好戏。这可比你苦口婆心地引导有用多了吧？ 

【关于mc】
首次尝试“第一人称式短片”
首次尝试“时空重叠”主题
===============================
剧本&建筑&导演&摄影&演员&后期：GoldenEggs
配音：冬日の烟花
特别感谢：插曲《〇》作者：ilem（请勿在原曲上刷本作）
演唱：三无Marblue
===============================
本视频使用aperture+blockbuster模组拍摄
制作不易，未经授权，请勿商用
===============================
本期视频主要用到的BGM：
【片头】空洞骑士 - Sisters of Battle
【醒来】The Elephant Man Theme
【云端质问】비밀의 창
【发现假碑文】The Fool（连歌名都在暗示...）
【发现时间表】Lullaby
【救兵引诱】All In Your Head
【坠入水底】〇
【彩蛋：幕后黑手】70亿人类 - You Will Be Evaluated Later
【彩蛋：传送门bug】欢沁
===============================",http://i2.hdslb.com/bfs/archive/88fe6f16a24ace409a112bfa09465564b055505a.jpg
2022-01-17,11408162,672798,493998,489005,168082,716930,25004,〃,〃,〃
2022-01-18,11413785,673103,494192,489161,168153,717201,25016,〃,〃,〃
2022-01-19,11421634,673523,494457,489344,168244,717609,25028,〃,〃,〃
2022-01-20,11429395,673972,494749,489565,168341,717898,25040,〃,〃,〃
2022-01-21,11437914,674439,495027,489766,168440,718195,25046,〃,〃,〃
2022-01-22,11445416,674802,495229,489939,168521,718452,25055,〃,〃,〃
2022-01-23,11452080,675124,495424,490052,168602,718673,25073,〃,〃,〃
2022-01-24,11459307,675510,495638,490183,168702,718969,25087,〃,〃,〃
2022-01-25,11466289,675870,495834,490319,168783,719203,25100,〃,〃,〃
