date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-02-01,1389267,350032,426430,169616,21423,143797,9687,2022我的世界拜年纪,"拜托观众老爷这次三连给上吧！
真的真的肝爆了！（我的世界拜年纪）",http://i1.hdslb.com/bfs/archive/fcf4fb506bce1a98aaa13069c87b785d68425d0c.jpg
2022-02-02,2014954,451155,559934,222535,27507,184426,11396,〃,〃,〃
2022-02-03,2435585,511489,633560,254197,30618,203667,12313,〃,〃,〃
2022-02-04,2748495,555273,684781,276734,32734,218046,12808,〃,〃,〃
2022-02-05,2899449,571842,705468,285255,33558,223733,13035,〃,〃,〃
2022-02-06,3028257,585113,722158,292159,34187,228402,13214,〃,〃,〃
2022-02-07,3149030,597349,737496,298559,34702,232539,13353,〃,〃,〃
2022-02-08,3253075,607671,750179,303846,35175,235991,13471,〃,〃,〃
2022-02-09,3365493,617169,761517,308756,35555,239173,13588,〃,〃,〃
2022-02-10,3461103,624675,770585,312612,35887,241372,13689,〃,〃,〃
2022-02-11,3555889,632268,779323,316179,36206,243625,13776,〃,〃,〃
2022-02-12,3636513,638474,786717,319173,36466,245408,13856,〃,〃,〃
2022-02-13,3709033,643668,792677,321671,36679,246992,13911,〃,〃,〃
2022-02-14,3777250,648295,797906,323903,36876,248309,13987,〃,〃,〃
2022-02-15,3843683,652854,803031,326079,37055,249656,14047,〃,〃,〃
2022-02-16,3899029,657012,807896,328043,37233,250662,14111,〃,〃,〃
2022-02-17,3940021,660365,811880,329573,37375,251152,14169,〃,〃,〃
2022-02-18,3985848,663836,816048,331233,37537,251811,14232,〃,〃,〃
2022-02-19,4064482,669579,822689,334024,37764,252715,14291,〃,〃,〃
2022-02-20,4129036,674606,828379,336475,37939,253540,14327,〃,〃,〃
2022-02-21,4157847,676840,831096,337535,38037,253820,14339,〃,〃,〃
2022-02-22,4182552,678639,833338,338383,38122,254131,14351,〃,〃,〃
2022-02-23,4205803,680480,835502,339236,38219,254421,14360,〃,〃,〃
2022-02-24,4226080,681808,837116,339867,38293,254700,14373,〃,〃,〃
2022-02-25,4252034,683223,838793,340590,38382,254867,14388,〃,〃,〃
2022-02-26,4296986,685734,841721,341812,38484,255273,14393,〃,〃,〃
2022-02-27,4334454,687770,843999,342784,38562,255606,14402,〃,〃,〃
2022-02-28,4348912,688679,845075,343221,38600,255735,14409,〃,〃,〃
2022-03-01,4358859,689246,845750,343465,38627,255847,14412,〃,〃,〃
2022-03-02,4368308,689716,846375,343662,38658,255949,14414,〃,〃,〃
2022-03-03,4377111,690208,846950,343854,38695,255996,14422,〃,〃,〃
2022-03-04,4389616,690757,847604,344096,38723,256072,14424,〃,〃,〃
2022-03-05,4418129,691775,848793,344574,38783,256233,14434,〃,〃,〃
2022-03-06,4445798,692802,850036,345088,38835,256376,14441,〃,〃,〃
2022-03-07,4456653,693222,850532,345275,38855,256444,14443,〃,〃,〃
2022-03-08,4467485,693638,851095,345452,38881,256513,14445,〃,〃,〃
2022-03-09,4477391,694005,851560,345620,38896,256603,14448,〃,〃,〃
2022-03-10,4487724,694410,852073,345802,38918,256669,14449,〃,〃,〃
2022-03-11,4502356,694866,852618,345985,38935,256744,14450,〃,〃,〃
2022-03-12,4532533,695960,853854,346484,38985,256907,14462,〃,〃,〃
2022-03-13,4559220,696950,855017,346931,39030,257085,14469,〃,〃,〃
2022-03-14,4571714,697462,855623,347202,39053,257180,14470,〃,〃,〃
2022-03-15,4581249,697895,856134,347368,39069,257250,14473,〃,〃,〃
2022-03-16,4589534,698322,856690,347548,39085,257334,14476,〃,〃,〃
2022-03-17,4598264,698739,857244,347742,39106,257413,14478,〃,〃,〃
2022-03-18,4609115,699211,857813,347961,39140,257528,14486,〃,〃,〃
2022-03-19,4627195,699910,858585,348294,39172,257655,14488,〃,〃,〃
2022-03-20,4647924,700826,859660,348728,39205,257833,14491,〃,〃,〃
2022-03-21,4657901,701333,860274,348947,39238,257954,14493,〃,〃,〃
2022-03-22,4667171,701833,860833,349156,39253,258152,14496,〃,〃,〃
2022-03-23,4675751,702306,861396,349347,39280,258269,14502,〃,〃,〃
2022-03-24,4684267,702747,861931,349541,39303,258409,14504,〃,〃,〃
2022-03-25,4694426,703284,862522,349818,39340,258513,14507,〃,〃,〃
2022-03-26,4712865,704037,863280,350166,39370,258641,14516,〃,〃,〃
2022-03-27,4733356,705027,864266,350655,39399,258798,14519,〃,〃,〃
2022-03-28,4743087,705575,864882,350936,39424,258929,14532,〃,〃,〃
2022-03-29,4753346,706123,865485,351201,39450,259017,14534,〃,〃,〃
2022-03-30,4762899,706689,866168,351450,39466,259125,14540,〃,〃,〃
2022-03-31,4772121,707137,866746,351658,39492,259254,14542,〃,〃,〃
2022-04-01,4784474,707890,867620,351988,39524,259410,14549,〃,〃,〃
2022-04-02,4800357,708691,868503,352373,39557,259522,14550,〃,〃,〃
2022-04-03,4825129,709648,869605,352916,39599,259732,14553,〃,〃,〃
2022-04-04,4850501,710690,870776,353457,39641,259945,14559,〃,〃,〃
2022-04-05,4874267,711731,872033,353997,39681,260190,14565,〃,〃,〃
2022-04-06,4888311,712411,872913,354352,39716,260373,14570,〃,〃,〃
2022-04-07,4901106,713058,873735,354669,39740,260523,14576,〃,〃,〃
2022-04-08,4915062,713759,874591,355032,39776,260815,14582,〃,〃,〃
2022-04-09,4944609,715208,876325,355787,39849,261100,14600,〃,〃,〃
2022-04-10,4976008,716778,878154,356577,39922,261408,14602,〃,〃,〃
2022-04-11,4992506,717692,879300,357047,39962,261616,14611,〃,〃,〃
2022-04-12,5007540,718521,880362,357461,40005,261794,14618,〃,〃,〃
2022-04-13,5020396,719206,881255,357829,40049,262061,14631,〃,〃,〃
2022-04-14,5032481,719832,882070,358150,40087,262266,14639,〃,〃,〃
