date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1979150,49198,18066,30631,1411,15298,1937,如果把40个经典游戏串成“连锁反应”（第二弹）,"=====本视频中出现过的游戏片段【兼顾90后、00后、10后（划掉） 】======
1.我的世界 / Minecraft-马里奥（详情请见2p）
2.超级马里奥前段
3.吃豆人
4.太空侵略者
5.小蜜蜂
  
6.undertale（纯乱入）
7.打砖块
8.三维弹球
9.幻幻球
10.祖玛

11.置换魔球
12.合金弹头
13.osu！
14.pvz
15.滚动的天空

16.保卫萝卜
17.愤怒的小鸟星战版
18.现实
19.【自制关卡】愤怒的小鸟金蛋版
20.瘟疫公司

21.雷电3
22.洛克王国
23.QQ农场
24.冒险岛
25.造梦西游

26.QQ飞车
27.GTA
28.混乱大枪战
29.肥猫天使
30.坦克大战

31.红色警戒
32.双人旋转赛车
33.俄罗斯方块
34.扫雷
35.神庙逃亡

36.我偷偷漏一个应该没有人发现233
37.节奏大师
38.飞翔的小鸟
39.超级马里奥后段
40.彩蛋--纪念碑谷

【记得看2p】
=====本视频用到的BGM=======
连锁反应-史诗乐《Rise》
彩蛋曲-日本民谣《红蜻蜓》",http://i2.hdslb.com/bfs/archive/81def8906093c22c4232a64389952de3d3be87d7.jpg
2022-01-17,1979270,49201,18066,30632,1411,15299,1937,〃,〃,〃
2022-01-18,1979700,49220,18072,30631,1411,15299,1937,〃,〃,〃
2022-01-19,1980221,49239,18076,30638,1411,15304,1936,〃,〃,〃
2022-01-20,1980746,49257,18081,30641,1411,15306,1936,〃,〃,〃
2022-01-21,1981318,49273,18086,30635,1411,15307,1936,〃,〃,〃
2022-01-22,1981713,49282,18086,30633,1411,15307,1936,〃,〃,〃
2022-01-23,1982192,49302,18090,30636,1411,15307,1936,〃,〃,〃
2022-01-24,1982662,49321,18100,30639,1411,15309,1936,〃,〃,〃
2022-01-25,1983153,49343,18105,30646,1411,15313,1936,〃,〃,〃
2022-01-26,1983652,49358,18107,30652,1411,15313,1936,〃,〃,〃
2022-01-27,1984204,49377,18114,30651,1411,15313,1936,〃,〃,〃
2022-01-28,1984697,49401,18121,30650,1411,15315,1937,〃,〃,〃
2022-01-29,1985305,49422,18126,30655,1411,15326,1937,〃,〃,〃
2022-01-30,1985824,49436,18130,30654,1411,15328,1937,〃,〃,〃
2022-01-31,1986262,49449,18130,30658,1411,15329,1938,〃,〃,〃
2022-02-01,1986755,49457,18138,30661,1411,15341,1938,〃,〃,〃
2022-02-02,1987193,49470,18140,30660,1412,15343,1938,〃,〃,〃
2022-02-03,1987588,49484,18144,30657,1412,15343,1937,〃,〃,〃
2022-02-04,1987966,49494,18146,30654,1412,15343,1937,〃,〃,〃
2022-02-05,1988371,49506,18149,30657,1412,15345,1937,〃,〃,〃
2022-02-06,1988816,49519,18155,30660,1412,15348,1937,〃,〃,〃
2022-02-07,1989512,49546,18155,30661,1412,15352,1937,〃,〃,〃
2022-02-08,1990047,49561,18157,30662,1412,15352,1937,〃,〃,〃
2022-02-09,1990577,49571,18157,30665,1412,15354,1937,〃,〃,〃
2022-02-10,1991036,49584,18161,30662,1412,15355,1937,〃,〃,〃
2022-02-11,1991476,49598,18164,30659,1412,15357,1938,〃,〃,〃
2022-02-12,1991825,49609,18168,30662,1412,15357,1938,〃,〃,〃
2022-02-13,1992151,49615,18170,30665,1412,15360,1939,〃,〃,〃
2022-02-14,1992509,49623,18174,30664,1412,15360,1939,〃,〃,〃
2022-02-15,1992807,49635,18176,30664,1412,15360,1939,〃,〃,〃
2022-02-16,1993115,49645,18178,30665,1412,15361,1939,〃,〃,〃
2022-02-17,1993359,49648,18178,30666,1412,15362,1939,〃,〃,〃
2022-02-18,1993626,49654,18178,30668,1412,15362,1941,〃,〃,〃
2022-02-19,1994081,49680,18183,30668,1414,15365,1941,〃,〃,〃
2022-02-20,1994523,49692,18184,30667,1414,15365,1944,〃,〃,〃
2022-02-21,1994765,49702,18184,30667,1414,15366,1945,〃,〃,〃
2022-02-22,1995026,49707,18186,30666,1414,15366,1945,〃,〃,〃
2022-02-23,1995319,49714,18187,30669,1414,15366,1945,〃,〃,〃
2022-02-24,1995626,49719,18188,30670,1414,15367,1945,〃,〃,〃
2022-02-25,1996041,49725,18190,30676,1414,15368,1946,〃,〃,〃
2022-02-26,1996779,49748,18196,30683,1414,15372,1949,〃,〃,〃
2022-02-27,1997540,49775,18198,30687,1414,15372,1949,〃,〃,〃
2022-02-28,1997951,49787,18200,30694,1414,15372,1949,〃,〃,〃
2022-03-01,1998324,49795,18202,30693,1414,15372,1949,〃,〃,〃
2022-03-02,1998700,49801,18204,30692,1414,15372,1949,〃,〃,〃
2022-03-03,1999025,49805,18204,30691,1414,15372,1949,〃,〃,〃
2022-03-04,1999451,49817,18204,30694,1414,15372,1950,〃,〃,〃
2022-03-05,2000463,49835,18208,30698,1414,15372,1951,〃,"=====本视频中出现过的游戏片段【兼顾90后、00后 】======
1.我的世界 / Minecraft-马里奥（详情请见2p）
2.超级马里奥前段
3.吃豆人
4.太空侵略者
5.小蜜蜂
  
6.undertale（纯乱入）
7.打砖块
8.三维弹球
9.幻幻球
10.祖玛

11.置换魔球
12.合金弹头
13.osu！
14.pvz
15.滚动的天空

16.保卫萝卜
17.愤怒的小鸟星战版
18.现实
19.【自制关卡】愤怒的小鸟金蛋版

21.雷电3
22.洛克王国
23.QQ农场
24.冒险岛
25.造梦西游

26.QQ飞车
27.GTA
28.混乱大枪战
29.肥猫天使
30.坦克大战

31.红色警戒
32.双人旋转赛车
33.俄罗斯方块
34.扫雷
35.神庙逃亡

36.我偷偷漏一个应该没有人发现233
37.节奏大师
38.飞翔的小鸟
39.超级马里奥后段
40.彩蛋--纪念碑谷

【记得看2p】
=====本视频用到的BGM=======
连锁反应-史诗乐《Rise》
彩蛋曲-日本民谣《红蜻蜓》",〃
2022-03-06,2001477,49857,18215,30707,1414,15373,1952,〃,〃,〃
2022-03-07,2001910,49862,18216,30709,1414,15377,1952,〃,〃,〃
2022-03-08,2002433,49870,18220,30710,1414,15377,1952,〃,〃,〃
2022-03-09,2002887,49875,18220,30711,1415,15378,1952,〃,〃,〃
2022-03-10,2003185,49877,18222,30715,1415,15378,1952,〃,〃,〃
2022-03-11,2003419,49883,18224,30716,1415,15382,1952,〃,〃,〃
2022-03-12,2003796,49893,18226,30719,1415,15384,1953,〃,〃,〃
2022-03-13,2004057,49900,18234,30723,1415,15384,1953,〃,〃,〃
2022-03-14,2004174,49902,18234,30720,1415,15384,1953,〃,〃,〃
2022-03-15,2004285,49904,18234,30717,1415,15385,1953,〃,〃,〃
2022-03-16,2004392,49907,18236,30716,1415,15385,1953,〃,〃,〃
2022-03-17,2004497,49910,18237,30715,1415,15385,1953,〃,〃,〃
2022-03-18,2004610,49913,18238,30716,1415,15385,1953,〃,〃,〃
2022-03-19,2004795,49918,18243,30713,1415,15385,1953,〃,〃,〃
2022-03-20,2004929,49918,18243,30711,1415,15387,1953,〃,〃,〃
2022-03-21,2005023,49921,18243,30708,1415,15387,1953,〃,〃,〃
2022-03-22,2005099,49921,18243,30705,1415,15387,1953,〃,〃,〃
2022-03-23,2005196,49925,18245,30701,1415,15387,1953,〃,〃,〃
2022-03-24,2005299,49930,18245,30697,1415,15387,1953,〃,〃,〃
2022-03-25,2005427,49933,18245,30695,1415,15387,1952,〃,〃,〃
2022-03-26,2005633,49938,18246,30691,1415,15387,1952,〃,〃,〃
2022-03-27,2005752,49943,18246,30686,1415,15389,1953,〃,〃,〃
2022-03-28,2005827,49945,18248,30683,1415,15389,1953,〃,〃,〃
2022-03-29,2005898,49945,18248,30681,1415,15389,1953,〃,〃,〃
2022-03-30,2005981,49949,18248,30680,1415,15389,1953,〃,〃,〃
2022-03-31,2006073,49953,18248,30674,1415,15389,1953,〃,〃,〃
2022-04-01,2006131,49953,18250,30671,1415,15389,1953,〃,〃,〃
2022-04-02,2006213,49958,18252,30671,1415,15389,1953,〃,〃,〃
2022-04-03,2006316,49959,18252,30669,1416,15391,1953,〃,〃,〃
2022-04-04,2006433,49960,18254,30661,1416,15391,1954,〃,〃,〃
2022-04-05,2006516,49962,18254,30659,1416,15391,1954,〃,〃,〃
2022-04-06,2006592,49963,18256,30655,1416,15391,1954,〃,〃,〃
2022-04-07,2006655,49965,18256,30653,1416,15391,1954,〃,〃,〃
2022-04-08,2006758,49968,18258,30653,1416,15391,1954,〃,〃,〃
2022-04-09,2006849,49969,18258,30647,1416,15392,1954,〃,〃,〃
2022-04-10,2006928,49972,18260,30647,1416,15392,1954,〃,〃,〃
2022-04-11,2006991,49972,18260,30643,1416,15392,1954,〃,〃,〃
2022-04-12,2007051,49974,18260,30644,1416,15392,1954,〃,〃,〃
2022-04-13,2007123,49974,18260,30643,1416,15392,1954,〃,〃,〃
2022-04-14,2007198,49974,18260,30643,1416,15392,1954,〃,〃,〃
2022-04-15,2007292,49975,18260,30639,1416,15392,1954,〃,〃,〃
2022-04-16,2007403,49977,18260,30634,1416,15392,1954,〃,〃,〃
2022-04-17,2007496,49979,18260,30629,1416,15392,1954,〃,〃,〃
2022-04-18,2007542,49980,18260,30628,1416,15392,1954,〃,〃,〃
2022-04-19,2007603,49983,18260,30626,1416,15392,1954,〃,〃,〃
2022-04-20,2007677,49983,18260,30625,1416,15392,1954,〃,〃,〃
2022-04-21,2007735,49983,18260,30623,1416,15392,1954,〃,〃,〃
2022-04-22,2007806,49984,18260,30621,1416,15393,1954,〃,〃,〃
2022-04-23,2007896,49986,18260,30617,1416,15393,1954,〃,〃,〃
2022-04-24,2007945,49986,18260,30613,1416,15393,1954,〃,〃,〃
2022-04-25,2007987,49986,18260,30609,1416,15393,1954,〃,〃,〃
2022-04-26,2008037,49990,18260,30607,1416,15393,1956,〃,〃,〃
2022-04-27,2008096,49991,18264,30608,1416,15393,1956,〃,〃,〃
2022-04-28,2008152,49993,18264,30604,1416,15393,1956,〃,〃,〃
2022-04-29,2008222,49995,18264,30598,1416,15394,1957,〃,〃,〃
2022-04-30,2008292,49997,18264,30593,1416,15396,1958,〃,〃,〃
2022-05-01,2008373,49998,18264,30589,1416,15397,1958,〃,〃,〃
2022-05-02,2008450,49999,18264,30586,1416,15397,1958,〃,〃,〃
