date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1535195,56964,24090,23745,1428,8300,1396,B站最烂的视频可以有多烂？能坚持看完的都是魔鬼（我的世界-创意短片）,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
===================================
最新版修复了一些BUG，让视频更“烂”
1.新增抖音界面
2.抖音外放段视频质量下降速度飞快
3.哲学段加上马赛克效果
4.将“烂”的田字格改成外发光，旋转路径更自然
5.左上角成就不再有白边
6.重复的冰冻双侠成就改成当猪飞起来
7.将加载标志的黑框调小
8.降低部分水印的透明度
9.提高老电影段的对比度
...
=======================================
说出来你们可能不信，最烂视频的制作难度反而最大...（筹备各种鬼畜配音奇怪材质表示心累）

1.本期出现的所有“烂片”元素：
不使用摄影模组
未隐藏物品栏
QQ弹窗
画质崩坏
KTV字幕
红箭头
水印
多重水印
GIF分辨率
欠债调音师
信号故障
灵魂调♂音师
没错你视频卡了
掉帧打击
BGM突变
抖音外放
花哨边框
老年表情
材质错误
成就掉落
尺寸爆炸
信号故障x2
稻花香里说丰年
光影去世
画质彻底崩坏
手机拍屏
蜜汁杂音
抖音外放x2
战术手抖
灵魂配音
手机掉落
画面黑屏
手机掉落
画面黑屏
爱剪辑警告
（原来视频“烂到极致”也是一种境界【雾】）

2.视频计划在愚人节更新。这句话本身就是个悖论。

3.原计划鬼畜《青石巷》，拍摄也已经完成一大半，但考虑到青石巷画风和这期主题差太远，所以视频内容临时改成沙雕风格的《神经病之歌》，而青石巷的翻拍内容将在梅雨时节作为一期独立视频放出。

4.自古2p有正片
===================================
本期视频主要用到的BGM：
【原曲】神经病之歌 （by ilem）
【10w粉纪念曲】Tales of Neverland（inspiring)
===================================
【请不要在其他无关地方刷UP主】",http://i2.hdslb.com/bfs/archive/22664d6772aaefc9bd7cf330333e6bcfda6fa1d4.png
2022-01-17,1535301,56968,24090,23745,1428,8302,1396,〃,〃,〃
2022-01-18,1535796,56987,24092,23743,1428,8302,1396,〃,〃,〃
2022-01-19,1536453,57020,24098,23749,1428,8303,1396,〃,〃,〃
2022-01-20,1537051,57041,24102,23751,1428,8308,1396,〃,〃,〃
2022-01-21,1537636,57073,24106,23756,1428,8309,1396,〃,〃,〃
2022-01-22,1538034,57095,24110,23757,1428,8310,1396,〃,〃,〃
2022-01-23,1538397,57107,24112,23763,1428,8310,1396,〃,〃,〃
2022-01-24,1538865,57132,24117,23770,1428,8310,1397,〃,〃,〃
2022-01-25,1539282,57148,24118,23768,1428,8310,1397,〃,〃,〃
2022-01-26,1539715,57170,24124,23772,1430,8310,1397,〃,〃,〃
2022-01-27,1540413,57185,24124,23772,1430,8310,1397,〃,〃,〃
2022-01-28,1541051,57201,24126,23774,1430,8310,1397,〃,〃,〃
2022-01-29,1541776,57217,24130,23773,1430,8311,1397,〃,〃,〃
2022-01-30,1542499,57232,24132,23772,1430,8313,1397,〃,〃,〃
2022-01-31,1543131,57242,24136,23772,1430,8314,1397,〃,〃,〃
2022-02-01,1543728,57257,24138,23777,1430,8316,1397,〃,〃,〃
2022-02-02,1544668,57269,24144,23777,1430,8317,1397,〃,〃,〃
2022-02-03,1545363,57283,24144,23778,1430,8318,1397,〃,〃,〃
2022-02-04,1546022,57299,24146,23778,1430,8320,1397,〃,〃,〃
2022-02-05,1546995,57312,24148,23786,1432,8320,1397,〃,〃,〃
2022-02-06,1547889,57327,24151,23789,1432,8321,1397,〃,〃,〃
2022-02-07,1549195,57400,24165,23804,1432,8323,1397,〃,〃,〃
2022-02-08,1550493,57436,24173,23812,1433,8324,1397,〃,〃,〃
2022-02-09,1551701,57458,24173,23812,1433,8329,1397,〃,〃,〃
2022-02-10,1552889,57487,24176,23815,1433,8329,1398,〃,〃,〃
2022-02-11,1553728,57502,24180,23817,1433,8330,1398,〃,〃,〃
2022-02-12,1554375,57518,24183,23813,1433,8330,1398,〃,〃,〃
2022-02-13,1555164,57549,24190,23818,1433,8332,1398,〃,〃,〃
2022-02-14,1555923,57586,24192,23820,1434,8338,1398,〃,〃,〃
2022-02-15,1556587,57611,24198,23823,1435,8339,1398,〃,〃,〃
2022-02-16,1557161,57631,24198,23828,1435,8344,1399,〃,〃,〃
2022-02-17,1557553,57648,24200,23825,1435,8344,1400,〃,〃,〃
2022-02-18,1557973,57670,24203,23830,1435,8344,1400,〃,〃,〃
2022-02-19,1558661,57704,24205,23834,1435,8345,1400,〃,〃,〃
2022-02-20,1559261,57734,24207,23841,1436,8346,1399,〃,〃,〃
2022-02-21,1559556,57751,24209,23845,1436,8347,1399,〃,〃,〃
2022-02-22,1559919,57766,24211,23851,1436,8347,1399,〃,〃,〃
2022-02-23,1560215,57782,24211,23852,1436,8347,1399,〃,〃,〃
2022-02-24,1560517,57793,24215,23857,1436,8348,1399,〃,〃,〃
2022-02-25,1560943,57820,24218,23856,1437,8348,1399,〃,〃,〃
2022-02-26,1561580,57852,24220,23861,1437,8349,1400,〃,〃,〃
2022-02-27,1562217,57886,24226,23872,1437,8351,1399,〃,〃,〃
2022-02-28,1562469,57903,24226,23876,1437,8351,1400,〃,〃,〃
2022-03-01,1562657,57917,24228,23880,1437,8352,1400,〃,〃,〃
2022-03-02,1562867,57923,24230,23878,1437,8352,1400,〃,〃,〃
2022-03-03,1563031,57929,24230,23879,1437,8353,1399,〃,〃,〃
2022-03-04,1563236,57932,24230,23879,1437,8353,1400,〃,〃,〃
2022-03-05,1563731,57955,24236,23884,1437,8353,1399,〃,〃,〃
2022-03-06,1564223,57978,24242,23884,1437,8353,1399,〃,〃,〃
2022-03-07,1564419,57987,24242,23882,1437,8353,1399,〃,〃,〃
2022-03-08,1564602,57996,24243,23882,1437,8353,1399,〃,〃,〃
2022-03-09,1564808,58006,24245,23884,1437,8354,1400,〃,〃,〃
2022-03-10,1564952,58009,24245,23884,1437,8354,1399,〃,〃,〃
2022-03-11,1565109,58015,24245,23885,1437,8354,1399,〃,〃,〃
2022-03-12,1565373,58022,24245,23881,1437,8354,1399,〃,〃,〃
2022-03-13,1565619,58033,24247,23880,1437,8354,1399,〃,〃,〃
2022-03-14,1565730,58036,24247,23881,1437,8354,1400,〃,〃,〃
2022-03-15,1565869,58044,24249,23884,1437,8355,1400,〃,〃,〃
2022-03-16,1565988,58051,24250,23882,1437,8356,1400,〃,〃,〃
2022-03-17,1566133,58054,24250,23882,1437,8356,1400,〃,〃,〃
2022-03-18,1566275,58056,24251,23879,1437,8357,1400,〃,〃,〃
2022-03-19,1566588,58065,24251,23873,1437,8357,1401,〃,〃,〃
2022-03-20,1566966,58071,24255,23879,1437,8365,1401,〃,〃,〃
2022-03-21,1567183,58079,24257,23879,1437,8365,1401,〃,〃,〃
2022-03-22,1567324,58081,24257,23875,1437,8367,1401,〃,〃,〃
2022-03-23,1567452,58087,24257,23875,1437,8368,1401,〃,〃,〃
2022-03-24,1567593,58090,24259,23875,1437,8369,1401,〃,〃,〃
