date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,50808,1755,218,273,28,947,366,【当《中国新歌声》撞上Minecraft】歌曲《New World》舞台剧演示,"在修改音乐文件的Minecraft1.10上利用红石、命令方块和结构方块完成的作品，可和伙伴联机体验，详情请见此贴：https://tieba.baidu.com/p/5051816123?pid=105808838184&cid=0#105808838184
采用Fraps制作，略模糊，但游戏效果十分惊艳
本曲来源于某sky的《New World》，讲述了史蒂夫从出生到打龙的经历，改编自《Paradise》
【请不要在其他平台刷UP哦】",http://i1.hdslb.com/bfs/archive/d699c30b982808336ff291efbd761b4f109414f5.jpg
2022-01-17,50813,1755,218,273,28,947,366,〃,〃,〃
2022-01-18,50859,1756,218,273,28,948,366,〃,〃,〃
2022-01-19,50900,1757,218,273,28,948,366,〃,〃,〃
2022-01-20,50929,1759,218,273,28,948,368,〃,〃,〃
2022-01-21,50970,1760,218,273,28,948,368,〃,〃,〃
2022-01-22,50998,1761,218,273,28,948,369,〃,〃,〃
2022-01-23,51016,1762,218,273,28,948,369,〃,〃,〃
2022-01-24,51034,1766,220,273,28,948,369,〃,〃,〃
2022-01-25,51068,1766,220,273,28,948,369,〃,〃,〃
2022-01-26,51096,1767,220,273,28,948,369,〃,〃,〃
2022-01-27,51116,1767,220,273,28,948,369,〃,〃,〃
2022-01-28,51145,1768,220,274,28,948,370,〃,〃,〃
2022-01-29,51165,1771,220,274,28,948,371,〃,〃,〃
2022-01-30,51190,1773,220,275,28,949,372,〃,〃,〃
2022-01-31,51208,1773,220,275,28,949,374,〃,〃,〃
2022-02-01,51233,1775,220,275,28,951,374,〃,〃,〃
2022-02-02,51258,1775,220,274,28,951,374,〃,〃,〃
2022-02-03,51289,1776,220,275,28,952,374,〃,〃,〃
2022-02-04,51310,1777,220,275,28,952,374,〃,〃,〃
2022-02-05,51332,1778,220,275,28,952,374,〃,〃,〃
2022-02-06,51363,1779,220,276,28,952,374,〃,〃,〃
2022-02-07,51427,1780,220,276,28,953,374,〃,〃,〃
2022-02-08,51481,1783,220,276,28,953,374,〃,〃,〃
2022-02-09,51519,1784,220,276,28,953,374,〃,〃,〃
2022-02-10,51551,1785,220,276,28,953,374,〃,〃,〃
2022-02-11,51581,1787,222,277,28,953,377,〃,〃,〃
2022-02-12,51610,1788,222,276,28,953,377,〃,〃,〃
2022-02-13,51624,1790,222,277,28,953,377,〃,〃,〃
2022-02-14,51653,1794,222,278,28,953,377,〃,〃,〃
2022-02-15,51677,1794,222,278,28,954,377,〃,〃,〃
2022-02-16,51695,1795,222,278,28,954,378,〃,〃,〃
2022-02-17,51711,1796,223,279,28,954,378,〃,〃,〃
2022-02-18,51728,1798,223,279,28,954,378,〃,〃,〃
2022-02-19,51757,1800,223,279,28,954,378,〃,〃,〃
2022-02-20,51771,1802,223,279,28,954,378,〃,〃,〃
2022-02-21,51775,1803,223,279,28,954,378,〃,〃,〃
2022-02-22,51784,1803,223,279,28,954,378,〃,〃,〃
2022-02-23,51796,1803,223,279,28,954,378,〃,〃,〃
2022-02-24,51815,1803,223,279,28,954,378,〃,〃,〃
2022-02-25,51828,1805,223,280,28,954,378,〃,〃,〃
2022-02-26,51848,1805,223,280,28,954,378,〃,〃,〃
2022-02-27,51869,1806,223,280,28,954,378,〃,〃,〃
2022-02-28,51886,1806,223,280,28,954,378,〃,〃,〃
2022-03-01,51892,1806,223,280,28,954,378,〃,〃,〃
2022-03-02,51900,1806,223,280,28,954,378,〃,〃,〃
2022-03-03,51913,1806,223,280,28,954,378,〃,〃,〃
2022-03-04,51923,1806,223,280,28,954,378,〃,〃,〃
2022-03-05,51946,1806,223,280,28,954,378,〃,〃,〃
2022-03-06,51967,1806,223,280,28,954,378,〃,〃,〃
2022-03-07,51974,1807,223,280,28,954,378,〃,〃,〃
2022-03-08,51981,1807,223,280,28,954,378,〃,〃,〃
2022-03-09,51992,1807,223,280,28,954,378,〃,〃,〃
2022-03-10,52001,1807,223,280,28,954,378,〃,〃,〃
2022-03-11,52013,1807,223,280,28,954,378,〃,〃,〃
2022-03-12,52034,1807,223,280,28,954,378,〃,〃,〃
2022-03-13,52059,1807,223,280,28,955,378,〃,〃,〃
2022-03-14,52061,1807,223,280,28,955,378,〃,〃,〃
2022-03-15,52070,1807,223,280,28,955,378,〃,〃,〃
2022-03-16,52074,1807,223,280,28,955,378,〃,〃,〃
2022-03-17,52082,1807,223,280,28,955,378,〃,〃,〃
2022-03-18,52091,1807,223,280,28,955,378,〃,〃,〃
2022-03-19,52114,1808,223,281,28,956,378,〃,〃,〃
2022-03-20,52138,1808,223,281,28,956,378,〃,〃,〃
2022-03-21,52149,1808,223,281,28,956,379,〃,〃,〃
2022-03-22,52158,1809,225,282,28,956,379,〃,〃,〃
2022-03-23,52163,1809,225,282,28,956,379,〃,〃,〃
2022-03-24,52175,1809,225,282,28,956,379,〃,〃,〃
2022-03-25,52186,1809,225,282,28,956,379,〃,〃,〃
2022-03-26,52202,1810,225,282,28,957,379,〃,〃,〃
2022-03-27,52221,1811,225,281,28,957,380,〃,〃,〃
2022-03-28,52227,1811,225,281,28,957,380,〃,〃,〃
2022-03-29,52232,1811,225,281,28,957,380,〃,〃,〃
2022-03-30,52245,1812,225,281,28,957,380,〃,〃,〃
2022-03-31,52257,1812,225,281,28,957,380,〃,〃,〃
2022-04-01,52262,1812,225,281,28,957,380,〃,〃,〃
2022-04-02,52275,1812,225,281,28,957,383,〃,〃,〃
2022-04-03,52296,1812,225,281,28,957,385,〃,〃,〃
2022-04-04,52311,1813,225,281,28,957,386,〃,〃,〃
2022-04-05,52334,1813,225,281,28,957,386,〃,〃,〃
2022-04-06,52342,1814,225,281,28,957,386,〃,〃,〃
2022-04-07,52361,1814,225,281,28,957,386,〃,〃,〃
2022-04-08,52376,1816,227,281,28,957,391,〃,〃,〃
