date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,2587618,134278,98162,103398,9650,81140,4737,【我的世界 十周年进化史】让一个地图从远古版本进化到1.14（创意短片）（金蛋/GoldenEggs作品）,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
使用的拍摄模组：BlockBuster Aperture
创意源自《进化之地》和《塞尔达传说》
===================================
1.五一快乐【月更？】
2.这期视频不短，但是我能尽量保证每一帧的画面有它存在的意义。
3.这次借鉴《进化之地》的表现方式，以“进化生存”的形式，部分还原了Minecraft十年来的更新历程
【wiki的全版本介绍我从头到尾翻阅了一遍，因剧情需要，有删改，所以会出现“这么早就有这个？”的情况】
4.其实不应该叫视频，更像是一个“概念游戏”",http://i1.hdslb.com/bfs/archive/5ec6f7ebdfaa3ba1442ac60d15fc5758da1d11e6.jpg
2022-01-17,2587969,134309,98185,103422,9651,81148,4738,〃,〃,〃
2022-01-18,2589430,134422,98261,103491,9654,81189,4738,〃,〃,〃
2022-01-19,2591093,134528,98309,103542,9658,81274,4738,〃,〃,〃
2022-01-20,2592340,134595,98348,103573,9660,81298,4739,〃,〃,〃
2022-01-21,2593570,134681,98430,103603,9660,81314,4741,〃,〃,〃
2022-01-22,2594471,134745,98477,103636,9668,81345,4742,〃,〃,〃
2022-01-23,2595341,134798,98508,103650,9669,81349,4742,〃,〃,〃
2022-01-24,2596223,134845,98535,103665,9671,81370,4742,〃,〃,〃
2022-01-25,2597108,134887,98572,103666,9674,81384,4742,〃,〃,〃
2022-01-26,2597940,134931,98591,103672,9676,81401,4742,〃,〃,〃
2022-01-27,2598576,134967,98611,103676,9679,81406,4742,〃,〃,〃
2022-01-28,2599209,134993,98631,103671,9680,81413,4742,〃,〃,〃
2022-01-29,2599790,135020,98641,103669,9680,81432,4742,〃,〃,〃
2022-01-30,2600390,135055,98674,103679,9682,81465,4742,〃,〃,〃
2022-01-31,2601004,135089,98689,103687,9682,81468,4743,〃,〃,〃
2022-02-01,2601952,135151,98721,103709,9684,81481,4744,〃,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
使用的拍摄模组：BlockBuster Aperture
创意源自《进化之地》和《塞尔达传说》系列
===================================
1.五一快乐【月更？】
2.这期视频不短，但尽量让每帧的画面有存在的意义
3.这次借鉴《进化之地》的表现方式，以“进化生存”的形式，部分还原了Minecraft十年来的更新历程
【参考了wiki的全版本介绍，因剧情需要，有删改，故存在时间错位的情况】
4.其实不应该叫视频，更像是一个“概念游戏”
5.比起情怀感慨，还是更希望能给观众开一个脑洞：如果mc生存的各种机制、技能甚至是bgm都是逐步获得的..
6.其实是用版本1.12.2配合自制的远古材质包拍摄的【为此制作了对应四个阶段的四种材质包和多份不同阶段的地图】
7.倒放=退化生存
8.之所以选择沼泽群系是为了承接开头沟壑纵横的地形
9.留给计数菌的挑战：求视频中进化的次数",〃
2022-02-02,2603748,135202,98758,103727,9685,81508,4745,〃,〃,〃
2022-02-03,2604483,135245,98784,103731,9687,81532,4745,〃,〃,〃
2022-02-04,2605241,135284,98803,103742,9688,81540,4747,〃,〃,〃
2022-02-05,2606033,135320,98821,103738,9688,81577,4747,〃,〃,〃
2022-02-06,2606823,135359,98844,103741,9688,81583,4747,〃,〃,〃
2022-02-07,2608112,135426,98889,103771,9690,81615,4748,〃,〃,〃
2022-02-08,2609311,135492,98934,103797,9691,81627,4749,〃,〃,〃
2022-02-09,2610319,135539,98963,103807,9695,81674,4753,〃,〃,〃
2022-02-10,2611222,135598,98986,103824,9696,81687,4753,〃,〃,〃
2022-02-11,2612213,135651,99024,103849,9700,81710,4753,〃,〃,〃
2022-02-12,2613089,135699,99047,103858,9701,81733,4755,〃,〃,〃
2022-02-13,2613850,135744,99078,103880,9702,81763,4755,〃,〃,〃
2022-02-14,2614760,135791,99107,103894,9702,81796,4758,〃,〃,〃
2022-02-15,2615485,135834,99135,103903,9703,81869,4758,〃,〃,〃
2022-02-16,2616307,135878,99157,103926,9706,81884,4759,〃,〃,〃
2022-02-17,2616843,135895,99169,103924,9706,81921,4759,〃,〃,〃
2022-02-18,2617474,135925,99184,103932,9707,81930,4759,〃,〃,〃
2022-02-19,2618710,136008,99218,103973,9709,81970,4760,〃,〃,〃
2022-02-20,2619825,136088,99255,104006,9710,82039,4760,〃,〃,〃
2022-02-21,2620310,136115,99266,104016,9710,82059,4761,〃,〃,〃
2022-02-22,2620936,136142,99286,104022,9710,82074,4654,〃,〃,〃
2022-02-23,2621586,136171,99290,104027,9710,82085,4659,〃,〃,〃
2022-02-24,2622245,136201,99308,104041,9710,82093,4668,〃,〃,〃
2022-02-25,2623409,136269,99332,104066,9711,82111,4669,〃,〃,〃
2022-02-26,2625059,136370,99369,104120,9715,82136,4671,〃,〃,〃
2022-02-27,2626676,136484,99424,104172,9717,82183,4672,〃,〃,〃
2022-02-28,2627367,136528,99442,104194,9719,82194,4674,〃,〃,〃
2022-03-01,2628122,136578,99468,104219,9721,82218,4674,〃,〃,〃
2022-03-02,2629076,136619,99489,104238,9723,82227,4675,〃,〃,〃
2022-03-03,2630168,136694,99521,104261,9725,82251,4675,〃,〃,〃
