date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,682485,43243,9821,10492,799,8512,1212,《信仰巧合的村民们》，你所见的就一定是事实吗？（我的世界-荒诞短片）,"视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
荒诞短片《信仰巧合的村民们》
==========================
1.本片主要讽刺：只看到事物相关性，而不思考事物的因果联系，把某些巧合当成必然因果的行为
现实中也不乏此类例子，比如抽卡玄学、星座学、互动测试等
（延伸了解：“斯金纳箱”）
2.开头僵尸消失的真正原因：某位玩家开启了和平模式。结尾同理。
3.村民的几个阶段：普通的生活->开始信仰奇怪的东西->无条件执行牧师的命令->死亡变成僵尸
4.其实牧师原本就是僵尸，出场方式就是变身出来的，结尾也在树下变回僵尸。牧师是僵尸派来的间谍，目的是引诱村民拆掉木门。而其他僵尸会因为希望之花而逃跑，也仅仅是配合这个僵尸演的戏而已。（p.s.僵尸不能暴露在阳光下，所以通过牧师躲在羊毛底下对村民们发号施令这个细节就可以体现了）
5.从07:05开始有个黑影飞过，其实是大师级别的傻子僵尸
（p.s.傻子村民生前是一个工作效率拉满的人，从收割小麦、建造雕像、清理杂草、拆除木门，他都是最快的一个，死后也不例外）（p.s.s.实际上MC里傻子没有职业）
6.关于结尾：盔甲匠是唯一不相信巧合的人，后来被村民驱逐出了村子，也因此活了下来
7.钉钉很适合做恐怖音效嘛...
8.计数挑战：本片中，村民采用了多少种自认为可以抵御僵尸的方法呢？
==========================
剧本：GoWon7、在下马勒格彼得
拍摄&剪辑：GoWon7
旁白：冬日の烟花
技术指导：GoldenEggs
【请不要在其他无关地方刷UP主】
==========================
本期视频所使用mod
Blockbuster
Aperture",http://i2.hdslb.com/bfs/archive/231142fbd2007ed5158c4c86006556e440f2451b.jpg
2022-01-17,682538,43244,9821,10492,799,8512,1212,〃,〃,〃
2022-01-18,682782,43249,9821,10489,799,8514,1212,〃,〃,〃
2022-01-19,683057,43257,9821,10486,799,8514,1212,〃,〃,〃
2022-01-20,683332,43262,9821,10487,799,8515,1212,〃,〃,〃
2022-01-21,683590,43268,9821,10487,800,8515,1212,〃,〃,〃
2022-01-22,683760,43276,9821,10486,800,8520,1212,〃,〃,〃
2022-01-23,683911,43282,9821,10486,800,8520,1212,〃,〃,〃
2022-01-24,684138,43289,9821,10484,801,8523,1212,〃,〃,〃
2022-01-25,684330,43296,9823,10484,801,8523,1212,〃,〃,〃
2022-01-26,684564,43302,9823,10480,801,8523,1212,〃,〃,〃
2022-01-27,684797,43306,9827,10482,801,8526,1212,〃,〃,〃
2022-01-28,685058,43310,9827,10481,801,8527,1212,〃,〃,〃
2022-01-29,685262,43313,9827,10480,801,8527,1212,〃,〃,〃
2022-01-30,685464,43319,9827,10478,801,8527,1212,〃,〃,〃
2022-01-31,685628,43322,9827,10478,801,8527,1212,〃,〃,〃
2022-02-01,685896,43330,9829,10476,801,8530,1212,〃,〃,〃
2022-02-02,686182,43332,9829,10475,801,8530,1212,〃,〃,〃
2022-02-03,686397,43339,9831,10476,801,8532,1212,〃,〃,〃
2022-02-04,686626,43341,9831,10473,801,8535,1212,〃,〃,〃
2022-02-05,686911,43348,9835,10473,801,8535,1212,〃,〃,〃
2022-02-06,687154,43350,9835,10473,801,8535,1212,〃,〃,〃
2022-02-07,687586,43364,9837,10477,801,8537,1212,〃,〃,〃
2022-02-08,687974,43374,9839,10476,801,8537,1212,〃,〃,〃
2022-02-09,688292,43380,9839,10476,801,8537,1212,〃,〃,〃
2022-02-10,688616,43386,9839,10470,801,8538,1214,〃,〃,〃
2022-02-11,688901,43393,9843,10473,801,8538,1214,〃,〃,〃
2022-02-12,689105,43399,9843,10473,801,8540,1214,〃,〃,〃
2022-02-13,689297,43403,9844,10472,801,8540,1214,〃,〃,〃
2022-02-14,689470,43403,9844,10469,801,8540,1214,〃,〃,〃
2022-02-15,689673,43407,9844,10466,801,8540,1214,〃,〃,〃
2022-02-16,689818,43408,9846,10466,801,8540,1214,〃,〃,〃
2022-02-17,689922,43409,9846,10467,801,8540,1214,〃,〃,〃
2022-02-18,690036,43411,9848,10468,801,8540,1214,〃,〃,〃
2022-02-19,690234,43416,9848,10465,801,8540,1214,〃,〃,〃
2022-02-20,690377,43427,9848,10465,801,8540,1215,〃,〃,〃
2022-02-21,690444,43428,9848,10466,801,8540,1215,〃,〃,〃
2022-02-22,690511,43429,9848,10466,801,8540,1215,〃,〃,〃
2022-02-23,690586,43431,9848,10464,801,8540,1216,〃,〃,〃
2022-02-24,690650,43432,9848,10462,801,8540,1216,〃,〃,〃
2022-02-25,690739,43434,9848,10461,801,8540,1216,〃,〃,〃
2022-02-26,690907,43435,9848,10457,801,8540,1216,〃,〃,〃
2022-02-27,691065,43438,9850,10458,801,8542,1216,〃,〃,〃
2022-02-28,691133,43439,9850,10458,801,8542,1216,〃,〃,〃
2022-03-01,691184,43440,9850,10458,801,8543,1216,〃,〃,〃
2022-03-02,691237,43441,9850,10458,801,8543,1216,〃,〃,〃
2022-03-03,691267,43441,9850,10458,801,8543,1216,〃,〃,〃
2022-03-04,691332,43441,9850,10456,801,8543,1216,〃,〃,〃
2022-03-05,691474,43444,9850,10454,801,8543,1216,〃,〃,〃
2022-03-06,691615,43448,9851,10453,801,8544,1216,〃,〃,〃
2022-03-07,691677,43448,9851,10452,801,8544,1216,〃,〃,〃
2022-03-08,691762,43449,9851,10450,801,8544,1216,〃,〃,〃
2022-03-09,691807,43450,9853,10449,801,8544,1216,〃,〃,〃
2022-03-10,691855,43452,9854,10447,801,8544,1216,〃,〃,〃
2022-03-11,691930,43452,9855,10446,801,8544,1216,〃,〃,〃
2022-03-12,692033,43457,9855,10448,801,8544,1216,〃,〃,〃
