date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,204741,1752,469,748,78,799,302,【童年】用mc还原《僵尸危机》,"1.你的童年我的童年好像都一样，小小肩膀大大书包上呀上学堂~
2.本来想一本正经还原僵尸危机，后来老郭@GoWon7 发明了僵尸迫击炮后场面就失控了...
3.本视频是在原游戏元素的基础上，新增了些MC的特色，如 会爆炸的雪球、自带闪电的箭、附魔钻石剑、女巫",http://i2.hdslb.com/bfs/archive/aacf657c900cb7d69c18b19aae6b1e4a36e862d0.jpg
2022-01-17,204754,1752,469,748,78,799,302,〃,〃,〃
2022-01-18,204822,1752,469,748,78,799,302,〃,〃,〃
2022-01-19,204904,1755,469,749,78,799,302,〃,〃,〃
2022-01-20,204967,1758,469,750,78,799,302,〃,〃,〃
2022-01-21,205021,1759,469,750,78,799,302,〃,〃,〃
2022-01-22,205068,1760,469,750,78,799,302,〃,〃,〃
2022-01-23,205104,1761,469,750,78,799,302,〃,〃,〃
2022-01-24,205140,1761,469,750,78,799,302,〃,〃,〃
2022-01-25,205172,1761,469,750,78,799,302,〃,〃,〃
2022-01-26,205216,1762,469,750,78,799,302,〃,〃,〃
2022-01-27,205266,1762,469,749,78,799,302,〃,〃,〃
2022-01-28,205319,1762,469,749,78,799,302,〃,〃,〃
2022-01-29,205356,1764,469,749,78,799,302,〃,〃,〃
2022-01-30,205394,1764,469,749,78,799,302,〃,〃,〃
2022-01-31,205429,1765,469,749,78,799,302,〃,〃,〃
2022-02-01,205462,1767,469,749,78,799,302,〃,〃,〃
2022-02-02,205507,1767,469,749,78,799,302,〃,〃,〃
2022-02-03,205555,1768,469,750,78,799,302,〃,〃,〃
2022-02-04,205593,1768,469,750,78,799,302,〃,〃,〃
2022-02-05,205633,1769,469,750,78,799,302,〃,〃,〃
2022-02-06,205673,1769,469,750,78,799,302,〃,〃,〃
2022-02-07,205782,1771,469,751,78,799,302,〃,〃,〃
2022-02-08,205851,1773,469,751,78,799,302,〃,〃,〃
2022-02-09,205914,1774,469,751,78,799,302,〃,〃,〃
2022-02-10,205977,1774,469,751,78,799,302,〃,〃,〃
2022-02-11,206037,1775,471,752,78,799,302,〃,〃,〃
2022-02-12,206091,1775,471,752,78,799,302,〃,〃,〃
2022-02-13,206155,1775,471,752,78,799,302,〃,〃,〃
2022-02-14,206196,1775,471,752,78,799,302,〃,〃,〃
2022-02-15,206224,1775,471,752,78,799,302,〃,〃,〃
2022-02-16,206249,1775,471,752,78,799,302,〃,〃,〃
2022-02-17,206267,1775,471,752,78,799,302,〃,〃,〃
2022-02-18,206298,1775,471,752,78,799,301,〃,〃,〃
2022-02-19,206339,1776,471,753,78,799,301,〃,〃,〃
2022-02-20,206370,1777,471,753,78,799,301,〃,〃,〃
2022-02-21,206394,1777,471,752,78,799,301,〃,〃,〃
2022-02-22,206412,1778,471,752,78,799,301,〃,〃,〃
2022-02-23,206434,1778,471,752,78,799,301,〃,〃,〃
2022-02-24,206452,1779,471,752,78,799,301,〃,〃,〃
2022-02-25,206473,1779,471,752,78,799,301,〃,〃,〃
2022-02-26,206517,1780,472,752,78,799,301,〃,〃,〃
2022-02-27,206557,1780,472,751,78,799,301,〃,〃,〃
2022-02-28,206571,1781,472,751,78,799,301,〃,〃,〃
2022-03-01,206589,1781,472,751,78,799,301,〃,〃,〃
2022-03-02,206602,1781,472,751,78,799,301,〃,〃,〃
2022-03-03,206626,1781,472,751,78,799,301,〃,〃,〃
2022-03-04,206648,1781,472,752,78,799,301,〃,〃,〃
2022-03-05,206691,1782,472,752,78,800,301,〃,〃,〃
2022-03-06,206729,1782,472,752,78,800,301,〃,〃,〃
2022-03-07,206735,1782,472,752,78,800,301,〃,〃,〃
2022-03-08,206745,1782,472,752,78,800,301,〃,〃,〃
2022-03-09,206767,1782,472,752,78,800,301,〃,〃,〃
2022-03-10,206778,1782,472,752,78,800,301,〃,〃,〃
2022-03-11,206794,1782,472,752,78,800,301,〃,〃,〃
2022-03-12,206819,1782,472,752,78,800,301,〃,〃,〃
2022-03-13,206843,1782,472,752,78,800,301,〃,〃,〃
2022-03-14,206852,1782,472,752,78,800,301,〃,〃,〃
2022-03-15,206864,1782,472,752,78,800,301,〃,〃,〃
2022-03-16,206872,1782,472,752,78,800,301,〃,〃,〃
2022-03-17,206883,1783,473,752,78,800,301,〃,〃,〃
2022-03-18,206897,1783,473,752,78,800,301,〃,〃,〃
2022-03-19,206922,1783,473,752,78,800,301,〃,〃,〃
2022-03-20,206949,1784,473,752,78,800,301,〃,〃,〃
2022-03-21,206956,1784,473,752,78,800,301,〃,〃,〃
2022-03-22,206966,1784,473,751,78,800,301,〃,〃,〃
2022-03-23,206977,1784,473,751,78,800,301,〃,〃,〃
2022-03-24,206994,1784,473,751,78,800,301,〃,〃,〃
2022-03-25,207004,1784,473,750,78,800,301,〃,〃,〃
2022-03-26,207017,1784,473,750,78,800,301,〃,〃,〃
2022-03-27,207039,1784,473,750,78,800,301,〃,〃,〃
2022-03-28,207048,1784,473,750,78,800,301,〃,〃,〃
2022-03-29,207063,1784,473,751,78,800,301,〃,〃,〃
2022-03-30,207069,1785,473,751,78,800,301,〃,〃,〃
2022-03-31,207085,1786,473,752,78,800,301,〃,〃,〃
2022-04-01,207095,1786,473,752,78,800,301,〃,〃,〃
2022-04-02,207113,1786,473,752,78,800,301,〃,〃,〃
2022-04-03,207129,1786,473,752,78,800,301,〃,〃,〃
2022-04-04,207147,1786,473,752,78,800,301,〃,〃,〃
2022-04-05,207162,1786,473,752,78,800,301,〃,〃,〃
2022-04-06,207176,1786,473,752,78,800,301,〃,〃,〃
2022-04-07,207189,1786,473,751,78,800,301,〃,〃,〃
2022-04-08,207212,1786,473,751,78,800,301,〃,〃,〃
2022-04-09,207238,1788,473,752,78,800,301,〃,〃,〃
2022-04-10,207262,1788,473,752,78,800,301,〃,〃,〃
2022-04-11,207275,1788,473,752,78,800,301,〃,〃,〃
2022-04-12,207287,1788,473,752,78,800,301,〃,〃,〃
2022-04-13,207301,1788,473,751,78,800,301,〃,〃,〃
2022-04-14,207308,1789,473,751,78,801,301,〃,〃,〃
2022-04-15,207323,1789,473,751,78,801,301,〃,〃,〃
2022-04-16,207339,1789,473,751,78,801,301,〃,〃,〃
2022-04-17,207351,1789,473,750,78,801,301,〃,〃,〃
2022-04-18,207363,1789,473,750,78,801,301,〃,〃,〃
2022-04-19,207375,1789,473,750,78,801,301,〃,〃,〃
2022-04-20,207382,1789,473,750,78,801,301,〃,〃,〃
2022-04-21,207391,1789,473,750,78,801,301,〃,〃,〃
2022-04-22,207407,1789,473,750,78,801,301,〃,〃,〃
2022-04-23,207429,1789,473,750,78,801,301,〃,〃,〃
2022-04-24,207433,1789,473,750,78,801,301,〃,〃,〃
2022-04-25,207442,1789,473,750,78,801,301,〃,〃,〃
2022-04-26,207454,1790,473,750,78,801,301,〃,〃,〃
2022-04-27,207467,1790,473,750,78,801,301,〃,〃,〃
2022-04-28,207475,1790,473,750,78,801,301,〃,〃,〃
2022-04-29,207491,1790,473,750,78,801,301,〃,〃,〃
2022-04-30,207508,1790,473,750,78,801,301,〃,〃,〃
2022-05-01,207534,1790,473,750,78,801,301,〃,〃,〃
2022-05-02,207552,1790,473,750,78,801,301,〃,〃,〃
2022-05-03,207570,1790,473,750,78,801,301,〃,〃,〃
2022-05-04,207591,1790,473,750,78,801,301,〃,〃,〃
2022-05-05,207606,1791,473,750,78,801,301,〃,〃,〃
2022-05-06,207623,1791,473,750,78,801,301,〃,〃,〃
2022-05-07,207634,1791,473,750,78,801,301,〃,〃,〃
2022-05-08,207666,1791,473,750,78,801,301,〃,〃,〃
2022-05-09,207687,1791,473,750,78,801,301,〃,〃,〃
2022-05-10,207698,1791,473,750,78,801,301,〃,〃,〃
2022-05-11,207714,1791,473,750,78,801,301,〃,〃,〃
2022-05-12,207726,1791,473,750,78,801,301,〃,〃,〃
2022-05-13,207738,1791,473,750,78,801,301,〃,〃,〃
2022-05-14,207756,1792,473,750,78,801,301,〃,〃,〃
2022-05-15,207786,1792,473,749,78,801,301,〃,〃,〃
2022-05-16,207795,1792,473,749,78,801,301,〃,〃,〃
2022-05-17,207803,1792,473,749,78,801,301,〃,〃,〃
2022-05-18,207819,1792,473,749,78,801,301,〃,〃,〃
2022-05-19,207831,1792,473,749,78,801,301,〃,〃,〃
2022-05-20,207845,1792,473,749,78,801,301,〃,〃,〃
2022-05-21,207867,1792,473,749,78,801,301,〃,〃,〃
2022-05-22,207881,1795,473,750,78,801,301,〃,〃,〃
2022-05-23,207892,1795,473,750,78,801,301,〃,〃,〃
2022-05-24,207900,1795,473,750,78,801,301,〃,〃,〃
2022-05-25,207911,1795,473,750,78,801,301,〃,〃,〃
2022-05-26,207921,1795,473,750,78,801,301,〃,〃,〃
2022-05-27,207939,1795,473,750,78,801,301,〃,〃,〃
2022-05-28,207972,1795,473,750,78,801,301,〃,〃,〃
2022-05-29,207991,1796,473,750,78,801,301,〃,〃,〃
2022-05-30,207996,1797,473,750,78,801,301,〃,〃,〃
2022-05-31,208010,1797,473,750,78,801,301,〃,〃,〃
2022-06-01,208023,1797,473,750,78,801,301,〃,〃,〃
2022-06-02,208046,1798,473,750,78,801,301,〃,〃,〃
2022-06-03,208098,1799,473,750,78,801,302,〃,〃,〃
2022-06-04,208132,1799,473,750,78,800,302,〃,〃,〃
2022-06-05,208174,1799,473,750,78,800,302,〃,〃,〃
2022-06-06,208203,1799,473,750,78,800,302,〃,〃,〃
2022-06-07,208218,1799,473,750,78,800,302,〃,〃,〃
2022-06-08,208234,1799,473,750,78,800,302,〃,〃,〃
2022-06-09,208254,1799,473,750,78,800,302,〃,〃,〃
2022-06-10,208271,1799,473,750,78,800,302,〃,〃,〃
2022-06-11,208292,1799,473,750,78,800,302,〃,〃,〃
2022-06-12,208310,1800,473,750,78,800,302,〃,〃,〃
2022-06-13,208326,1800,473,750,78,800,302,〃,〃,〃
2022-06-14,208341,1800,473,750,78,800,302,〃,〃,〃
2022-06-17,208382,1800,473,749,78,800,302,〃,〃,〃
2022-06-18,208406,1800,473,749,78,800,302,〃,〃,〃
2022-06-19,208428,1800,473,749,78,800,302,〃,〃,〃
2022-06-20,208441,1800,473,749,78,800,302,〃,"1.你的童年我的童年好像都一样，小小肩膀大大书包上呀上学堂~
2.本来想一本正经还原僵尸危机，后来老郭@GoWon7 发明了僵尸迫击炮后场面就失控了...
3.本视频是在原游戏元素的基础上，新增了些MC的特色，如 会爆炸的雪球、自带闪电的箭、附魔钻石剑、女巫",〃
2022-06-21,208455,1800,473,749,78,800,302,〃,〃,〃
