date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,48020,915,258,174,61,67,50,用mc还原《冰冻双侠》,"1.冰块、冰人、橙色村民的材质是我自己P的...和材质包无关
2.想要体验地图的请加入QQ群647394188
3.虽然才2分50秒，但地图搭建和指令什么的就花了一天半，而录制剪辑又花了一天的时间......
4.一年内这样的诈尸更新会越来越少的...
5.貌似这个游戏的官方译名是《冷冻双侠》
6.如果你喜欢这个视频干嘛不点推荐呢(°∀°)ﾉ",http://i1.hdslb.com/bfs/archive/162996bf0491f813e7c0d117bd942583bc5c6bbe.jpg
2022-01-17,48032,915,258,174,61,67,50,〃,〃,〃
2022-01-18,48079,915,258,174,61,67,50,〃,〃,〃
2022-01-19,48119,917,258,175,61,67,50,〃,〃,〃
2022-01-20,48159,917,258,175,61,67,50,〃,〃,〃
2022-01-21,48202,917,258,175,61,67,50,〃,〃,〃
2022-01-22,48233,917,258,175,61,67,50,〃,〃,〃
2022-01-23,48258,917,258,175,61,67,50,〃,〃,〃
2022-01-24,48282,918,258,175,61,67,50,〃,〃,〃
2022-01-25,48310,920,258,174,61,67,50,〃,〃,〃
2022-01-26,48342,920,258,174,61,67,50,〃,〃,〃
2022-01-27,48387,920,258,174,61,67,50,〃,〃,〃
2022-01-28,48426,921,258,174,61,67,50,〃,〃,〃
2022-01-29,48447,922,258,174,61,67,50,〃,〃,〃
2022-01-30,48476,924,258,175,61,67,50,〃,〃,〃
2022-01-31,48496,924,258,174,61,67,50,〃,〃,〃
2022-02-01,48532,925,258,174,61,67,50,〃,〃,〃
2022-02-02,48567,925,258,174,61,67,50,〃,〃,〃
2022-02-03,48602,926,258,175,61,67,50,〃,〃,〃
2022-02-04,48636,927,258,175,61,67,50,〃,〃,〃
2022-02-05,48659,927,258,175,61,67,50,〃,〃,〃
2022-02-06,48694,927,258,175,61,67,50,〃,〃,〃
2022-02-07,48772,929,260,177,61,67,50,〃,〃,〃
2022-02-08,48831,930,260,178,61,67,50,〃,〃,〃
2022-02-09,48888,930,260,178,61,67,50,〃,〃,〃
2022-02-10,48936,931,260,178,61,67,50,〃,〃,〃
2022-02-11,48968,933,262,179,61,67,50,〃,〃,〃
2022-02-12,49015,933,262,179,61,67,50,〃,〃,〃
2022-02-13,49070,934,262,179,61,67,50,〃,〃,〃
2022-02-14,49115,934,262,179,61,67,50,〃,〃,〃
2022-02-15,49138,934,262,179,61,67,50,〃,〃,〃
2022-02-16,49154,934,262,179,61,67,50,〃,〃,〃
2022-02-17,49171,934,262,179,61,67,50,〃,〃,〃
2022-02-18,49188,934,262,179,61,67,50,〃,〃,〃
2022-02-19,49218,935,262,181,61,67,50,〃,〃,〃
2022-02-20,49243,935,262,181,61,67,50,〃,〃,〃
2022-02-21,49260,935,262,180,61,67,50,〃,〃,〃
2022-02-22,49274,935,262,180,61,67,50,〃,〃,〃
2022-02-23,49289,935,262,180,61,67,50,〃,〃,〃
2022-02-24,49300,935,262,180,61,67,50,〃,〃,〃
2022-02-25,49316,935,262,180,61,67,50,〃,〃,〃
2022-02-26,49352,935,262,180,61,67,50,〃,〃,〃
2022-02-27,49385,935,262,180,61,67,50,〃,〃,〃
2022-02-28,49401,936,264,180,61,67,50,〃,〃,〃
2022-03-01,49412,936,264,180,61,67,50,〃,〃,〃
2022-03-02,49425,936,264,180,61,67,50,〃,〃,〃
2022-03-03,49432,937,264,180,61,67,50,〃,〃,〃
2022-03-04,49446,937,264,180,61,67,50,〃,〃,〃
2022-03-05,49468,937,264,180,61,67,50,〃,〃,〃
2022-03-06,49500,937,264,180,61,67,50,〃,〃,〃
2022-03-07,49507,938,264,180,61,67,50,〃,〃,〃
2022-03-08,49513,938,264,180,61,67,50,〃,〃,〃
2022-03-09,49532,938,264,180,61,67,50,〃,〃,〃
2022-03-10,49543,940,264,180,61,67,50,〃,〃,〃
2022-03-11,49551,940,264,180,61,67,50,〃,〃,〃
2022-03-12,49574,940,264,180,61,67,50,〃,〃,〃
2022-03-13,49596,940,264,180,61,67,50,〃,〃,〃
2022-03-14,49609,940,264,180,61,67,50,〃,〃,〃
2022-03-15,49626,940,264,180,61,67,50,〃,〃,〃
2022-03-16,49631,940,264,180,61,67,50,〃,〃,〃
2022-03-17,49632,940,264,180,61,67,50,〃,〃,〃
2022-03-18,49639,940,264,180,61,67,50,〃,〃,〃
2022-03-19,49659,940,264,180,61,67,50,〃,〃,〃
2022-03-20,49683,940,264,181,61,67,50,〃,〃,〃
2022-03-21,49697,940,264,181,61,67,50,〃,〃,〃
2022-03-22,49706,940,264,181,61,67,50,〃,〃,〃
2022-03-23,49714,940,264,181,61,67,50,〃,〃,〃
2022-03-24,49726,940,264,181,61,67,50,〃,〃,〃
2022-03-25,49733,940,264,181,61,67,50,〃,〃,〃
2022-03-26,49751,940,264,181,61,67,50,〃,〃,〃
2022-03-27,49761,940,264,181,61,67,50,〃,〃,〃
2022-03-28,49767,940,264,181,61,67,50,〃,〃,〃
2022-03-29,49778,940,264,181,61,67,50,〃,〃,〃
2022-03-30,49789,941,264,181,61,67,50,〃,〃,〃
2022-03-31,49802,941,264,181,61,67,50,〃,〃,〃
2022-04-01,49808,941,264,181,61,67,50,〃,〃,〃
2022-04-02,49821,941,264,181,61,67,50,〃,〃,〃
2022-04-03,49839,941,264,181,61,67,50,〃,〃,〃
2022-04-04,49847,941,264,181,61,67,50,〃,〃,〃
2022-04-05,49863,941,264,181,61,67,50,〃,〃,〃
2022-04-06,49873,942,264,182,61,67,50,〃,〃,〃
2022-04-07,49878,942,264,182,61,67,50,〃,〃,〃
2022-04-08,49889,942,264,182,61,67,50,〃,〃,〃
2022-04-09,49902,942,264,182,61,67,50,〃,〃,〃
2022-04-10,49913,942,264,182,61,67,50,〃,〃,〃
2022-04-11,49919,942,264,182,61,67,50,〃,〃,〃
2022-04-12,49929,942,264,183,61,68,50,〃,〃,〃
2022-04-13,49944,942,264,183,61,68,50,〃,〃,〃
2022-04-14,49951,942,264,183,61,68,50,〃,〃,〃
2022-04-15,49958,942,264,183,61,68,50,〃,〃,〃
2022-04-16,49974,942,264,183,61,68,50,〃,〃,〃
2022-04-17,49984,943,264,184,61,68,50,〃,〃,〃
2022-04-18,49989,944,265,184,61,68,50,〃,〃,〃
2022-04-19,49996,944,265,184,61,68,50,〃,〃,〃
2022-04-20,50006,944,265,184,61,68,50,〃,〃,〃
2022-04-21,50013,944,265,184,61,68,50,〃,〃,〃
2022-04-22,50023,944,265,184,61,68,50,〃,〃,〃
2022-04-23,50041,944,265,184,61,68,50,〃,〃,〃
2022-04-24,50048,944,265,184,61,68,50,〃,〃,〃
2022-04-25,50054,944,265,184,61,68,50,〃,〃,〃
2022-04-26,50059,944,265,184,61,68,50,〃,〃,〃
2022-04-27,50066,944,265,184,61,68,50,〃,〃,〃
2022-04-28,50076,944,265,184,61,68,50,〃,〃,〃
2022-04-29,50088,944,265,184,61,68,50,〃,〃,〃
2022-04-30,50100,945,265,185,61,68,50,〃,〃,〃
2022-05-01,50117,945,265,185,61,68,50,〃,〃,〃
2022-05-02,50132,945,265,185,61,68,50,〃,〃,〃
2022-05-03,50139,945,265,185,61,68,50,〃,〃,〃
2022-05-04,50149,945,265,185,61,68,50,〃,〃,〃
2022-05-05,50158,946,265,185,61,68,50,〃,〃,〃
2022-05-06,50165,946,265,185,61,68,50,〃,〃,〃
2022-05-07,50172,946,265,185,61,68,50,〃,〃,〃
2022-05-08,50198,946,265,186,61,68,50,〃,〃,〃
2022-05-09,50212,946,265,186,61,68,50,〃,〃,〃
2022-05-10,50218,946,265,186,61,68,50,〃,〃,〃
2022-05-11,50232,946,265,186,61,68,50,〃,〃,〃
2022-05-12,50237,947,265,187,61,68,50,〃,〃,〃
2022-05-13,50243,947,265,187,61,68,50,〃,〃,〃
2022-05-14,50258,947,265,187,61,68,50,〃,〃,〃
2022-05-15,50273,948,265,188,61,68,50,〃,〃,〃
2022-05-16,50280,948,265,188,61,68,50,〃,〃,〃
2022-05-17,50289,948,265,188,61,68,50,〃,〃,〃
2022-05-18,50300,949,265,188,61,68,50,〃,〃,〃
2022-05-19,50311,949,265,188,61,68,50,〃,〃,〃
2022-05-20,50315,949,265,188,61,68,50,〃,〃,〃
2022-05-21,50340,949,265,188,61,68,50,〃,〃,〃
2022-05-22,50359,949,265,187,61,68,50,〃,〃,〃
2022-05-23,50366,949,265,187,61,68,50,〃,〃,〃
2022-05-24,50376,949,265,187,61,68,50,〃,〃,〃
2022-05-25,50389,949,265,187,61,68,50,〃,〃,〃
2022-05-26,50394,949,265,187,61,68,50,〃,〃,〃
2022-05-27,50404,949,265,187,61,68,50,〃,〃,〃
2022-05-28,50429,949,265,187,61,68,50,〃,〃,〃
2022-05-29,50444,949,265,187,61,68,50,〃,〃,〃
2022-05-30,50452,950,265,187,61,68,50,〃,〃,〃
2022-05-31,50463,950,265,187,61,68,50,〃,〃,〃
2022-06-01,50472,950,265,187,61,68,50,〃,〃,〃
2022-06-02,50484,950,265,187,61,68,50,〃,〃,〃
2022-06-03,50525,951,265,187,61,68,50,〃,〃,〃
2022-06-04,50548,951,265,187,61,68,50,〃,〃,〃
2022-06-05,50606,952,265,187,61,68,50,〃,〃,〃
2022-06-06,50630,952,265,187,61,68,50,〃,〃,〃
2022-06-07,50638,952,265,187,61,68,50,〃,〃,〃
2022-06-08,50652,952,265,187,61,69,50,〃,〃,〃
2022-06-09,50666,952,265,187,61,69,50,〃,〃,〃
2022-06-10,50678,952,265,187,61,69,50,〃,〃,〃
2022-06-11,50709,953,267,188,61,69,50,〃,〃,〃
2022-06-12,50730,954,267,188,61,69,50,〃,〃,〃
2022-06-13,50744,954,267,188,61,69,50,〃,〃,〃
2022-06-14,50760,954,267,188,61,69,50,〃,〃,〃
2022-06-17,50796,954,267,189,61,69,50,〃,〃,〃
2022-06-18,50826,954,267,189,61,69,50,〃,〃,〃
2022-06-19,50848,955,267,189,61,69,50,〃,〃,〃
2022-06-20,50857,955,267,189,61,69,50,〃,"1.冰块、冰人、橙色村民的材质是我自己P的...和材质包无关
2.想要体验地图的请加入QQ群647394188
3.虽然才2分50秒，但地图搭建和指令什么的就花了一天半，而录制剪辑又花了一天的时间......
4.一年内这样的诈尸更新会越来越少的...
5.貌似这个游戏的官方译名是《冷冻双侠》
6.如果你喜欢这个视频干嘛不点推荐呢(°∀°)ﾉ",〃
2022-06-21,50867,955,267,189,61,69,50,〃,〃,〃
2022-06-22,50878,955,267,189,61,69,50,〃,〃,〃
2022-06-23,50884,955,267,189,61,69,50,〃,〃,〃
2022-06-24,50893,955,267,189,61,69,50,〃,〃,〃
2022-06-25,50913,955,267,189,61,69,50,〃,〃,〃
2022-06-26,50932,955,267,189,61,69,50,〃,〃,〃
