date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,987669,37600,4188,5385,600,2182,890,【2020】M C 冰 火 人,"1.又到了一年一度的mc冰火人时间[歪嘴]
2.除新地图外，这次的视频新增了两个原版游戏里没有的角色，围绕七夕节脑补了一段奇葩的番外剧情
3.这期准备有点仓促，从凌晨五点开始有想法，一直做到刚刚，除去吃饭时间基本没休息，总算抓住了七夕的尾巴。
音质出了点问题，过段时间会重置
4.虽然最后一段冰火娃走错门了，但换个方式想：既然火门后面是水池，水门后面是岩浆池，他们走错门就能成功活下来了
=================
【冰娃】
不怕水,但怕岩浆
CP是火娃

【火娃】
不怕岩浆,但怕水
CP是冰娃

【紫娃】
不怕岩浆,也不怕水
森林冰火人所生之子，几乎无敌，必要时可分裂成冰娃和火娃

【绿娃】
既怕岩浆,也怕水
单身狗，没有CP，弱小无助
=================
本期视频所使用mod
Blockbuster
Aperture
Replay",http://i0.hdslb.com/bfs/archive/15223685ecc2ffb138b11368e057ba8c7cb54dda.jpg
2022-01-17,987740,37602,4188,5386,600,2182,890,〃,〃,〃
2022-01-18,988026,37604,4188,5387,600,2183,890,〃,〃,〃
2022-01-19,988398,37613,4188,5389,600,2183,890,〃,〃,〃
2022-01-20,988704,37615,4188,5386,601,2184,890,〃,〃,〃
2022-01-21,988984,37620,4189,5386,601,2184,890,〃,〃,〃
2022-01-22,989205,37625,4189,5386,601,2184,890,〃,〃,〃
2022-01-23,989394,37627,4189,5385,601,2184,890,〃,〃,〃
2022-01-24,989605,37632,4191,5384,601,2184,890,〃,〃,〃
2022-01-25,989840,37635,4191,5381,601,2184,890,〃,〃,〃
2022-01-26,990046,37639,4193,5381,601,2184,890,〃,〃,〃
2022-01-27,990293,37643,4193,5379,601,2184,890,〃,〃,〃
2022-01-28,990516,37648,4193,5378,601,2184,890,〃,〃,〃
2022-01-29,990732,37653,4193,5378,601,2184,891,〃,〃,〃
2022-01-30,990921,37655,4193,5379,601,2184,891,〃,〃,〃
2022-01-31,991098,37660,4193,5379,601,2184,891,〃,〃,〃
2022-02-01,991358,37666,4193,5380,601,2186,891,〃,〃,〃
2022-02-02,991572,37671,4193,5379,601,2186,891,〃,〃,〃
2022-02-03,991782,37678,4193,5379,601,2186,891,〃,〃,〃
2022-02-04,991983,37680,4193,5379,601,2186,891,〃,〃,〃
2022-02-05,992212,37682,4193,5378,601,2186,891,〃,〃,〃
2022-02-06,992500,37685,4193,5375,601,2187,892,〃,〃,〃
2022-02-07,992957,37693,4193,5376,601,2188,892,〃,〃,〃
2022-02-08,993305,37698,4193,5378,601,2190,892,〃,〃,〃
2022-02-09,993622,37701,4193,5379,601,2190,892,〃,〃,〃
2022-02-10,993930,37708,4195,5376,601,2190,892,〃,〃,〃
2022-02-11,994266,37715,4199,5379,601,2193,894,〃,〃,〃
2022-02-12,994527,37721,4199,5381,601,2193,894,〃,〃,〃
2022-02-13,994830,37727,4203,5382,601,2193,894,〃,〃,〃
2022-02-14,995067,37734,4204,5384,602,2193,894,〃,〃,〃
2022-02-15,995281,37737,4204,5380,602,2193,894,〃,〃,〃
2022-02-16,995437,37740,4206,5380,602,2193,894,〃,〃,〃
2022-02-17,995569,37742,4206,5381,602,2193,894,〃,〃,〃
2022-02-18,995720,37745,4206,5383,602,2193,894,〃,〃,〃
2022-02-19,995968,37747,4206,5383,602,2193,894,〃,〃,〃
2022-02-20,996221,37750,4206,5383,602,2193,894,〃,〃,〃
2022-02-21,996322,37751,4206,5382,602,2193,894,〃,〃,〃
2022-02-22,996448,37754,4206,5382,602,2193,894,〃,〃,〃
2022-02-23,996623,37754,4206,5382,602,2193,894,〃,〃,〃
2022-02-24,996756,37755,4206,5381,602,2193,894,〃,〃,〃
2022-02-25,996936,37755,4206,5381,602,2194,894,〃,〃,〃
2022-02-26,997234,37757,4206,5382,602,2194,894,〃,〃,〃
2022-02-27,997499,37759,4206,5384,602,2194,894,〃,〃,〃
2022-02-28,997578,37759,4206,5384,602,2194,894,〃,〃,〃
2022-03-01,997660,37760,4206,5383,602,2194,894,〃,〃,〃
2022-03-02,997733,37760,4206,5382,602,2194,894,〃,〃,〃
2022-03-03,997804,37760,4206,5382,602,2194,894,〃,〃,〃
2022-03-04,997912,37761,4206,5382,602,2194,894,〃,〃,〃
2022-03-05,998135,37762,4206,5380,602,2194,894,〃,〃,〃
2022-03-06,998311,37764,4206,5381,602,2194,894,〃,〃,〃
2022-03-07,998399,37764,4206,5381,602,2194,894,〃,〃,〃
2022-03-08,998489,37763,4206,5380,602,2194,894,〃,〃,〃
2022-03-09,998587,37764,4206,5380,602,2194,894,〃,〃,〃
2022-03-10,998651,37764,4206,5380,602,2194,894,〃,〃,〃
2022-03-11,998731,37765,4206,5380,602,2194,894,〃,〃,〃
2022-03-12,998874,37772,4206,5382,602,2194,894,〃,〃,〃
2022-03-13,999028,37774,4208,5380,602,2194,894,〃,〃,〃
2022-03-14,999091,37775,4208,5379,602,2194,894,〃,〃,〃
2022-03-15,999147,37777,4208,5381,602,2195,894,〃,〃,〃
2022-03-16,999211,37777,4208,5380,602,2195,894,〃,〃,〃
2022-03-17,999271,37778,4208,5380,602,2195,894,〃,〃,〃
2022-03-18,999349,37777,4208,5380,602,2195,894,〃,〃,〃
2022-03-19,999485,37778,4208,5379,602,2195,894,〃,〃,〃
2022-03-20,999801,37781,4208,5378,603,2195,894,〃,〃,〃
2022-03-21,999976,37783,4209,5379,603,2195,894,〃,〃,〃
2022-03-22,1000075,37784,4211,5379,603,2195,894,〃,〃,〃
