date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,3457027,290921,208198,167683,22474,162285,5872,创造一颗属于你的星球！23个星球形态+14种结局（我的世界 & 互动视频《创世纪》）by GoldenEggs / 金蛋,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
【非互动版】BV1jz411B7pH
============================
《创世纪》
万物创生，万物毁灭，时间推移，变化不定。
变化的结果，会因为选择的不同而产生天壤之别。
现在，你就是世间一切生灵的造物主
============================
你曾用幽火点亮深空【幽灵】，也曾用深海创造虚无【深海】。
你曾用科技响彻苍穹【机械】，也曾用水域填补孤独【死星】。
你曾将枯竭化为绿渊【荆棘】，也曾将烈火炽烤长空【烈焰】。
你曾让生命点缀星海【多元】，也曾让地狱侵染人间【地狱】。
你曾令人类炊火生香【文明】，也曾令时间轮回往复【重启】。
你曾使植物遍布原野【秩序】，也曾使星球迷失彼方【崩坏】。
你曾使艳阳光照宏宇【宇宙】，既创造了生命，亦创造了灭亡。

你的每一步选择，都影响着这颗星球的命运。
尘埃落定，尽管一切都将消逝在时光中，但在此时，一切都属于你。

你，是造物主；
你是，
创世神。
========================
本期视频主要用到的BGM：
【1-初始】Sweden - C418
【2-水】Moonlight
【3-小行星】Regurgit Ation Pumping Station - 粘粘世界
【4-多元】Zoe,the aspect of twilight - 英雄联盟
【5-世界】Radiance - 空洞骑士
【6-深海】海洋 - 跳舞的线
【7-幽灵】男子高校生と文学少女
【8-浮藻】Obsidian
【9-火】Guitar on Fire
【10-荒原】Scabs
【11-抉择】Queen's Gardens - 空洞骑士
【12-崩坏】Dream Is Collapsing
【13-秩序】Killer
【14-地狱】Burning Man - 粘粘世界
【15-荒漠】出埃及记
【16-荆棘】Dreamers - 空洞骑士
【17-机械】You Will Be Evaluated Later - 70亿人类
【18-木】The Waters Cleansed (feat. Tom Boyd) - 奥日与黑暗森林
【19-巨树】Highdown
【20-烈焰】Strength to Believe (No Vocals)
【21-文明】故乡的风 - 明日方舟
【22-燎原】Kingdom's Edge - 空洞骑士
【23-死星】Dirtmouth - 空洞骑士
【24-重启】Eternity
【27-造物主】Observatory Observation Station - 粘粘世界
========================
企划：GoWon7
文案：王均霆(COMPLEX STUDIO)、JP_Jalapeno、LongingCha
旁白：_小兰喵_
建筑：LittleFalse、GoWon7、Railgun_Fish、xiaozzz233、Phuket_lin、Mliybs、DeepBlue_IX、Win_Update、茶凌儿、QEPAW、Hong_Hu、水上的星星
参演：松毛虫等
拍摄剪辑：GoWon7、GoldenEggs
技术指导：GoldenEggs
========================
【金蛋工作室原创地图：23-planets】
下载：https://pan.baidu.com/s/1tmik13RJyi3EjXZ1fwNwgQ
提取码：uzlm
版本：Minecraft java版 1.12.2
========================
【真结局&彩蛋】快捷入口：av98189340",http://i1.hdslb.com/bfs/archive/a0e432efe95d740fd6f83b6cbd58df9126ee9c3e.jpg
2022-01-17,3457343,290939,208206,167683,22474,162289,5872,〃,〃,〃
2022-01-18,3458980,291011,208237,167706,22478,162305,5872,〃,〃,〃
2022-01-19,3460742,291093,208278,167719,22485,162390,5872,〃,〃,〃
2022-01-20,3462347,291159,208315,167735,22490,162445,5873,〃,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
【非互动版】BV1jz411B7pH
============================
《创世纪》
万物创生，万物毁灭，时间推移，变化不定。
变化的结果，会因为选择的不同而产生天壤之别。
现在，你就是世间一切生灵的造物主
============================
你曾用幽火点亮深空【幽灵】，也曾用深海创造虚无【深海】。
你曾用科技响彻苍穹【机械】，也曾用水域填补孤独【死星】。
你曾将枯竭化为绿渊【荆棘】，也曾将烈火炽烤长空【烈焰】。
你曾让生命点缀星海【多元】，也曾让地狱侵染人间【地狱】。
你曾令人类炊火生香【文明】，也曾令时间轮回往复【重启】。
你曾使植物遍布原野【秩序】，也曾使星球迷失彼方【崩坏】。
你曾使艳阳光照宏宇【宇宙】，既创造了生命，亦创造了灭亡。

你的每一步选择，都影响着这颗星球的命运。
尘埃落定，尽管一切都将消逝在时光中，但在此时，一切都属于你。

你，是造物主；
你是，
创世神。
========================
本期视频主要用到的BGM：
【1-初始】Sweden - C418
【2-水】Moonlight
【3-小行星】Regurgit Ation Pumping Station - 粘粘世界
【4-多元】Zoe,the aspect of twilight - 英雄联盟
【5-世界】Radiance - 空洞骑士
【6-深海】海洋 - 跳舞的线
【7-幽灵】男子高校生と文学少女
【8-浮藻】Obsidian
【9-火】Guitar on Fire
【10-荒原】Scabs
【11-抉择】Queen's Gardens - 空洞骑士
【12-崩坏】Dream Is Collapsing
【13-秩序】Killer
【14-地狱】Burning Man - 粘粘世界
【15-荒漠】出埃及记
【16-荆棘】Dreamers - 空洞骑士
【17-机械】You Will Be Evaluated Later - 70亿人类
【18-木】The Waters Cleansed (feat. Tom Boyd) - 奥日与黑暗森林
【19-巨树】Highdown
【20-烈焰】Strength to Believe (No Vocals)
【21-文明】故乡的风 - 明日方舟
【22-燎原】Kingdom's Edge - 空洞骑士
【23-死星】Dirtmouth - 空洞骑士
【24-重启】Eternity
【27-造物主】Observatory Observation Station - 粘粘世界
========================
企划：GoWon7
文案：王均霆(COMPLEX STUDIO)、JP_Jalapeno、LongingCha
旁白：_小兰喵_
建筑：LittleFalse、GoWon7、Railgun_Fish、xiaozzz233、Phuket_lin、Mliybs、DeepBlue_IX、Win_Update、茶凌儿、QEPAW、Hong_Hu、水上的星星
参演：松毛虫等
拍摄剪辑：GoWon7、GoldenEggs
技术指导：GoldenEggs
========================
【金蛋工作室原创地图：23-planets】
下载：https://pan.baidu.com/s/1tmik13RJyi3EjXZ1fwNwgQ
提取码：uzlm
版本：Minecraft java版 1.12.2
========================
【真结局&彩蛋】快捷入口：av98189340",〃
2022-01-21,3463882,291222,208342,167733,22491,162457,5877,〃,〃,〃
2022-01-22,3465213,291270,208370,167721,22493,162489,5877,〃,〃,〃
2022-01-23,3466445,291308,208394,167721,22494,162506,5879,〃,〃,〃
2022-01-24,3467902,291363,208417,167737,22495,162512,5880,〃,〃,〃
2022-01-25,3469203,291414,208433,167737,22498,162524,5880,〃,〃,〃
2022-01-26,3470776,291478,208455,167739,22498,162563,5882,〃,〃,〃
2022-01-27,3472487,291527,208483,167726,22500,162602,5883,〃,〃,〃
2022-01-28,3474385,291584,208505,167716,22500,162633,5883,〃,〃,〃
2022-01-29,3476069,291645,208517,167720,22500,162664,5884,〃,〃,〃
2022-01-30,3477723,291711,208555,167714,22503,162683,5884,〃,〃,〃
2022-01-31,3479332,291762,208581,167714,22506,162710,5884,〃,〃,〃
2022-02-01,3481251,291838,208616,167724,22509,162726,5885,〃,〃,〃
2022-02-02,3483336,291906,208649,167730,22512,162764,5886,〃,〃,〃
2022-02-03,3485303,291974,208681,167734,22515,162775,5887,〃,〃,〃
2022-02-04,3487334,292046,208716,167740,22517,162780,5887,〃,〃,〃
2022-02-05,3489407,292103,208742,167755,22519,162825,5887,〃,〃,〃
2022-02-06,3491045,292158,208774,167753,22521,162850,5886,〃,〃,〃
2022-02-07,3492910,292237,208813,167771,22522,162869,5887,〃,〃,〃
2022-02-08,3494485,292294,208848,167767,22523,162884,5887,〃,〃,〃
2022-02-09,3496103,292355,208880,167759,22525,162906,5887,〃,〃,〃
2022-02-10,3497642,292420,208905,167760,22527,162950,5887,〃,〃,〃
2022-02-11,3499165,292471,208936,167754,22530,162974,5887,〃,〃,〃
2022-02-12,3500415,292539,208960,167744,22533,163007,5887,〃,〃,〃
2022-02-13,3501685,292592,208983,167744,22533,163021,5887,〃,〃,〃
2022-02-14,3503033,292650,209012,167742,22533,163041,5888,〃,〃,〃
2022-02-15,3504322,292708,209024,167736,22535,163074,5888,〃,〃,〃
2022-02-16,3505226,292739,209033,167727,22536,163088,5888,〃,〃,〃
2022-02-17,3505893,292769,209043,167722,22536,163091,5889,〃,〃,〃
2022-02-18,3506666,292792,209048,167718,22537,163100,5891,〃,〃,〃
2022-02-19,3507864,292842,209070,167720,22541,163128,5892,〃,〃,〃
2022-02-20,3509036,292892,209089,167734,22545,163137,5892,〃,〃,〃
2022-02-21,3509567,292907,209106,167724,22546,163144,5892,〃,〃,〃
2022-02-22,3510082,292915,209112,167719,22548,163148,5893,〃,〃,〃
2022-02-23,3510589,292939,209127,167722,22548,163157,5893,〃,〃,〃
2022-02-24,3511115,292954,209139,167713,22550,163168,5893,〃,〃,〃
2022-02-25,3511720,292974,209154,167708,22550,163176,5893,〃,〃,〃
2022-02-26,3512965,293036,209171,167699,22551,163191,5893,〃,〃,〃
2022-02-27,3514145,293093,209188,167714,22553,163203,5894,〃,〃,〃
2022-02-28,3514571,293111,209199,167710,22555,163225,5894,〃,〃,〃
2022-03-01,3514967,293119,209201,167706,22558,163226,5895,〃,〃,〃
2022-03-02,3515349,293134,209209,167710,22558,163230,5895,〃,〃,〃
2022-03-03,3515759,293155,209220,167711,22560,163231,5895,〃,〃,〃
2022-03-04,3516277,293168,209231,167701,22561,163243,5895,〃,〃,〃
2022-03-05,3517336,293200,209248,167692,22562,163260,5895,〃,〃,〃
2022-03-06,3518497,293249,209268,167695,22564,163286,5896,〃,〃,〃
2022-03-07,3518999,293271,209280,167698,22565,163292,5896,〃,〃,〃
2022-03-08,3519503,293286,209289,167695,22566,163296,5897,〃,〃,〃
2022-03-09,3520115,293313,209301,167701,22569,163309,5898,〃,〃,〃
2022-03-10,3520636,293331,209316,167701,22571,163310,5898,〃,〃,〃
2022-03-11,3521150,293350,209327,167697,22571,163318,5898,〃,〃,〃
2022-03-12,3522335,293402,209353,167699,22573,163340,5898,〃,〃,〃
2022-03-13,3523725,293465,209387,167713,22573,163357,5898,〃,〃,〃
2022-03-14,3524254,293498,209400,167706,22574,163370,5899,〃,〃,〃
2022-03-15,3524829,293520,209409,167702,22576,163373,5899,〃,〃,〃
2022-03-16,3525395,293541,209417,167695,22578,163379,5899,〃,〃,〃
2022-03-17,3526063,293567,209428,167700,22579,163385,5900,〃,〃,〃
2022-03-18,3526982,293609,209447,167695,22586,163395,5902,〃,〃,〃
2022-03-19,3528537,293676,209477,167703,22586,163430,5903,〃,〃,〃
2022-03-20,3529957,293747,209529,167729,22592,163459,5900,〃,〃,〃
2022-03-21,3530782,293789,209564,167742,22596,163474,5902,〃,〃,〃
2022-03-22,3531620,293823,209572,167741,22598,163482,5903,〃,〃,〃
2022-03-23,3532441,293857,209593,167745,22598,163487,5904,〃,〃,〃
2022-03-24,3533193,293902,209605,167746,22600,163506,5904,〃,〃,〃
2022-03-25,3534087,293944,209618,167743,22603,163513,5905,〃,〃,〃
2022-03-26,3535527,293997,209636,167757,22607,163531,5906,〃,〃,〃
2022-03-27,3536990,294079,209660,167759,22613,163557,5907,〃,〃,〃
2022-03-28,3537819,294115,209670,167765,22615,163569,5907,〃,〃,〃
2022-03-29,3538706,294150,209687,167776,22616,163577,5908,〃,〃,〃
2022-03-30,3539664,294189,209710,167788,22618,163587,5908,〃,〃,〃
2022-03-31,3540718,294234,209731,167792,22624,163629,5908,〃,〃,〃
2022-04-01,3541655,294273,209747,167789,22628,163648,5908,〃,〃,〃
2022-04-02,3542642,294305,209767,167792,22630,163655,5910,〃,〃,〃
2022-04-03,3544129,294375,209792,167795,22632,163670,5911,〃,〃,〃
2022-04-04,3545986,294464,209830,167823,22637,163733,5911,〃,〃,〃
2022-04-05,3547811,294550,209887,167834,22645,163755,5911,〃,〃,〃
2022-04-06,3549061,294617,209919,167862,22646,163779,5913,〃,〃,〃
2022-04-07,3550299,294680,209936,167871,22649,163807,5914,〃,〃,〃
2022-04-08,3551556,294752,209967,167893,22654,163833,5915,〃,〃,〃
2022-04-09,3553547,294872,210029,167947,22657,163872,5916,〃,〃,〃
2022-04-10,3555606,294971,210075,167981,22666,163905,5919,〃,〃,〃
2022-04-11,3556504,295018,210108,167985,22671,163913,5919,〃,〃,〃
2022-04-12,3557447,295068,210135,168000,22673,163927,5919,〃,〃,〃
2022-04-13,3558396,295124,210162,168017,22675,163938,5919,〃,〃,〃
2022-04-14,3559182,295163,210189,168024,22678,163956,5922,〃,〃,〃
2022-04-15,3560086,295224,210215,168030,22680,163972,5923,〃,〃,〃
2022-04-16,3561638,295298,210255,168053,22680,164003,5923,〃,〃,〃
2022-04-17,3563361,295393,210302,168091,22682,164023,5924,〃,〃,〃
2022-04-18,3564064,295430,210320,168092,22684,164030,5927,〃,〃,〃
2022-04-19,3564953,295467,210336,168098,22690,164050,5927,〃,〃,〃
2022-04-20,3565814,295513,210350,168107,22694,164072,5927,〃,〃,〃
2022-04-21,3566697,295562,210372,168113,22698,164080,5928,〃,〃,〃
2022-04-22,3567732,295612,210394,168133,22699,164093,5928,〃,〃,〃
2022-04-23,3569370,295699,210444,168170,22703,164113,5928,〃,〃,〃
2022-04-24,3570444,295758,210476,168189,22706,164119,5928,〃,〃,〃
2022-04-25,3571413,295796,210503,168202,22708,164147,5929,〃,〃,〃
2022-04-26,3572312,295844,210520,168215,22711,164160,5929,〃,〃,〃
2022-04-27,3573181,295889,210531,168231,22715,164166,5929,〃,〃,〃
2022-04-28,3573856,295911,210543,168233,22718,164169,5929,〃,〃,〃
2022-04-29,3575037,295970,210564,168251,22722,164192,5929,〃,〃,〃
2022-04-30,3576219,296029,210586,168270,22726,164216,5930,〃,〃,〃
2022-05-01,3577695,296095,210607,168291,22728,164237,5931,〃,〃,〃
