date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,475465,9480,2838,5160,703,3958,742,【我的世界】南方 vs 北方（过于真实）,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
===================
1.这期视频有两个隐藏挑战，你能找到并完成吗？
2.这几个月在度娘上了解了很多这类信息，也时常同来自五湖四海的大学同学交流，才发现南北方竟有如此多的有趣的差异。
于是制作了这期科普性的MC翻拍视频。稍微对比了南北方在雪、地形、方向感、暖气、汤、饭量、辣、方言、洗澡、蟑螂方面的差异。
但限于时间紧张，搜集不周，难免出现以偏概全的情况，欢迎指出~
3.谷歌娘的声音还是蛮喜感的....
4.通过这次视频配音我发现工作室里头个个是戏精...（详见2p）录制嘶吼的哥们被邻居骂了...【邻居视角：蛇精病，大白天下什么雪啊？】
5.本视频用到了两个pvz音效和一个水果忍者音效
（特别鸣谢：雕心画梦建筑团队）",http://i2.hdslb.com/bfs/archive/a1bfe8880246231672fb30d22668ab33d314f7fe.jpg
2022-01-17,475519,9481,2838,5160,703,3958,742,〃,〃,〃
2022-01-18,475804,9482,2838,5159,703,3959,742,〃,〃,〃
2022-01-19,476106,9487,2838,5159,703,3959,742,〃,〃,〃
2022-01-20,476486,9489,2838,5158,703,3959,742,〃,〃,〃
2022-01-21,476729,9491,2838,5157,703,3960,742,〃,〃,〃
2022-01-22,476888,9494,2839,5157,703,3960,742,〃,〃,〃
2022-01-23,477064,9499,2839,5158,703,3961,742,〃,〃,〃
2022-01-24,477261,9501,2839,5158,703,3962,742,〃,〃,〃
2022-01-25,477455,9504,2839,5154,703,3963,742,〃,〃,〃
2022-01-26,477637,9507,2839,5155,703,3963,742,〃,〃,〃
2022-01-27,477931,9511,2841,5154,703,3963,742,〃,〃,〃
2022-01-28,478203,9514,2841,5154,703,3965,742,〃,〃,〃
2022-01-29,478521,9517,2841,5154,703,3965,742,〃,〃,〃
2022-01-30,478804,9522,2841,5154,703,3965,742,〃,〃,〃
2022-01-31,479060,9523,2841,5152,703,3965,742,〃,〃,〃
2022-02-01,479303,9525,2843,5152,703,3965,742,〃,〃,〃
2022-02-02,479689,9527,2845,5153,703,3967,742,〃,〃,〃
2022-02-03,479944,9528,2845,5152,703,3967,742,〃,〃,〃
2022-02-04,480168,9529,2845,5152,703,3967,742,〃,〃,〃
2022-02-05,480500,9529,2845,5153,703,3967,742,〃,〃,〃
