date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,94107,18511,8939,4898,471,1598,422,数千条指令，用MC极致还原2008年北京奥运会开幕式,"0.冬奥会就要到了，回想上次看北奥仿佛还在小学二年级...
1.一直都很喜欢梦幻五环所展现的浪漫与创意，心血来潮便在MC里实现
2.说起来全息那段似乎夹带了很多高数私货（笛卡尔点了个赞）
3.由于精力有限（某拾色冒险还没肝完），本次只选了几个代表性的片段进行还原
4.正月初一见
====================
拍摄&剪辑&指令（1.12.2）：GoldenEggs_Block
建筑（鸟巢）：卢比扬卡的猕猴桃
使用模组：BlockBuster Aperture",http://i1.hdslb.com/bfs/archive/bcbb6bcf6fd7f54cbaa16694f6b19e0f518652fb.jpg
2022-01-17,108280,20547,10259,5575,519,1820,445,〃,〃,〃
2022-01-18,139469,24756,12719,7094,653,2507,481,用MC的方式打开2008年北京奥运会（开幕式）,〃,http://i1.hdslb.com/bfs/archive/463c4cc0ef706d712e55d642221d910fa4d5c057.jpg
2022-01-19,173104,28599,15165,8691,783,3121,513,〃,〃,〃
2022-01-20,189267,30874,16654,9603,861,3456,536,〃,〃,〃
2022-01-21,201688,32600,17744,10273,911,3752,574,〃,〃,〃
2022-01-22,214709,34442,18883,10950,972,3921,598,〃,〃,〃
2022-01-23,223578,35779,19531,11353,1012,4053,610,〃,〃,〃
2022-01-24,234453,37356,20314,11837,1045,4199,626,〃,〃,〃
2022-01-25,243377,38694,21015,12295,1076,4323,632,〃,〃,〃
2022-01-26,254900,40447,21740,12743,1110,4455,643,〃,〃,〃
2022-01-27,266635,42223,22508,13243,1152,4554,649,〃,〃,〃
2022-01-28,277841,44165,23279,13779,1187,4671,667,我  的  奥  运,〃,〃
2022-01-29,283050,45018,23617,13977,1214,4724,681,〃,〃,〃
2022-01-30,287112,45658,23866,14139,1228,4757,689,〃,〃,〃
2022-01-31,293565,46691,24315,14405,1245,4817,696,〃,〃,〃
2022-02-01,300193,47587,24615,14596,1270,4854,705,〃,"0.冬奥会就要到了，回想上次看北奥仿佛还在小学二年级
1.一直都很喜欢梦幻五环所展现的浪漫与创意，心血来潮便用Blockbuster实现，可以说是为了这碗醋包了一顿饺子
2.说起来全息那段似乎夹带了很多高数私货（笛卡尔点了个赞）
3.由于精力有限（某拾色冒险还没肝完），本次只选了几个代表性的片段进行呈现
4.考虑到场地容量限制以及降低运算量，击缶计时部分进行了简化
5.正月初一见
====================
拍摄&剪辑&指令（1.12.2）：GoldenEggs_Block
建筑（鸟巢）：卢比扬卡的猕猴桃
使用模组：BlockBuster Aperture",〃
