date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1147300,85695,21255,19686,1054,32212,2768,"当B站弹幕入侵""我""的世界（三周年特别视频）","本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC

P.S.早在去年就已经有做一期弹幕题材视频的想法，有意思的是，今年的爱5也用上了这个元素
=====================
拍摄&后期：GoldenEggs
文案：GoldenEggs 王均霆(COMPLEX STUDIO)
配音：王均霆
=====================
节假“日更”up又来了
关于这次的三周年，我想过各种各样的方案
有平行视角+浏览式的，也有走鬼畜路线的
但是也发现一个问题——
单纯的回顾没啥新意

直到拖了一个月，总算是搞定了
这次视频构建了一个“弹幕”世界观：
如果弹幕能直接和视频中的人物进行交互，会发生什么？

在每个视频的世界里，弹幕是一种来自三维生物的“量子通讯”技术，
这些“观测者”通过弹幕将想法实时反馈给视频里的主人公
这些弹幕里，有抢前排的，也有吐槽的，
有字幕君，也有引战的
有高级弹幕，也有刷屏的
有空耳的，也有ky的
有高能预警，也有下次一定
...

当视频被其他平台盗走后，弹幕便会消失
至于接下来会发生什么故事，就交给各位的脑洞了...

当然，这只是对金蛋宇宙的世界观的一次猜想
还有“邪恶导演”版本...就不细说了

（一个彩蛋：左上角的水印时有时无，用于区分视频内部世界和现实世界）
【请不要在其他无关地方刷UP主】
====================
本期视频所使用mod
Blockbuster
Aperture",http://i1.hdslb.com/bfs/archive/7827347a56dd7877bdd1bc3d710c20ac112b798b.jpg
2022-01-17,1147373,85695,21255,19684,1054,32214,2768,〃,〃,〃
2022-01-18,1147741,85706,21257,19688,1054,32231,2768,〃,〃,〃
2022-01-19,1148154,85721,21261,19689,1054,32234,2768,〃,〃,〃
2022-01-20,1148501,85727,21261,19689,1055,32245,2768,〃,〃,〃
2022-01-21,1148873,85739,21265,19690,1055,32254,2768,〃,〃,〃
2022-01-22,1149095,85745,21266,19689,1055,32255,2768,〃,〃,〃
2022-01-23,1149307,85752,21266,19687,1055,32264,2768,〃,〃,〃
2022-01-24,1149546,85759,21271,19685,1055,32265,2768,〃,〃,〃
2022-01-25,1149745,85760,21271,19681,1055,32266,2768,〃,〃,〃
2022-01-26,1149968,85762,21271,19677,1055,32271,2769,〃,〃,〃
2022-01-27,1150251,85766,21271,19677,1055,32272,2769,〃,〃,〃
2022-01-28,1150564,85775,21273,19673,1056,32276,2769,〃,〃,〃
2022-01-29,1150836,85778,21273,19675,1056,32289,2769,〃,〃,〃
2022-01-30,1151096,85786,21274,19672,1056,32292,2769,〃,〃,〃
2022-01-31,1151346,85791,21274,19668,1056,32297,2770,〃,〃,〃
2022-02-01,1151657,85798,21278,19668,1056,32305,2770,〃,〃,〃
2022-02-02,1151989,85802,21278,19669,1056,32325,2770,〃,〃,〃
2022-02-03,1152299,85810,21281,19671,1056,32326,2771,〃,〃,〃
2022-02-04,1152575,85817,21285,19668,1056,32331,2772,〃,〃,〃
2022-02-05,1152922,85821,21287,19663,1056,32334,2772,〃,〃,〃
2022-02-06,1153297,85826,21289,19659,1056,32337,2773,〃,〃,〃
2022-02-07,1153923,85844,21292,19663,1056,32350,2773,〃,〃,〃
2022-02-08,1154514,85849,21294,19662,1056,32382,2773,〃,〃,〃
2022-02-09,1154978,85859,21294,19656,1056,32387,2773,〃,〃,〃
2022-02-10,1155477,85872,21297,19653,1056,32393,2772,〃,〃,〃
2022-02-11,1155941,85883,21301,19654,1056,32405,2772,〃,〃,〃
2022-02-12,1156230,85887,21307,19653,1056,32408,2772,〃,〃,〃
2022-02-13,1156547,85893,21307,19652,1056,32417,2772,〃,〃,〃
2022-02-14,1156804,85900,21310,19648,1056,32421,2772,〃,〃,〃
2022-02-15,1157016,85902,21311,19646,1056,32426,2771,〃,〃,〃
2022-02-16,1157202,85910,21315,19647,1056,32429,2771,〃,〃,〃
2022-02-17,1157310,85915,21317,19646,1056,32434,2771,〃,〃,〃
2022-02-18,1157451,85920,21317,19645,1056,32436,2771,〃,〃,〃
2022-02-19,1157676,85929,21322,19643,1056,32436,2771,〃,〃,〃
2022-02-20,1157883,85935,21322,19639,1056,32438,2771,〃,〃,〃
2022-02-21,1157968,85936,21322,19637,1056,32438,2771,〃,〃,〃
2022-02-22,1158082,85939,21322,19639,1056,32438,2771,〃,〃,〃
2022-02-23,1158173,85942,21322,19637,1056,32440,2771,〃,〃,〃
