date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,118488,1519,221,379,40,143,60,【纵享丝♂滑】用mc还原德芙巧克力广告,"前几年特别洗脑的一则广告，以音乐剧的形式展示一款巧克力。
【非商业推广】",http://i1.hdslb.com/bfs/archive/44111efe6a12e8d5ae283ba39dfd8b25bbe86d80.jpg
2022-01-17,118536,1520,221,380,40,143,60,〃,〃,〃
2022-01-18,118765,1529,225,381,40,143,60,〃,〃,〃
2022-01-19,119025,1535,227,383,40,144,60,〃,〃,〃
2022-01-20,119199,1536,227,383,40,144,60,〃,〃,〃
2022-01-21,119332,1538,228,382,40,144,60,〃,〃,〃
2022-01-22,119440,1540,228,382,40,144,60,〃,〃,〃
2022-01-23,119531,1541,228,382,40,144,60,〃,〃,〃
2022-01-24,119596,1542,228,383,40,144,60,〃,〃,〃
2022-01-25,119701,1544,228,382,40,145,60,〃,〃,〃
2022-01-26,119792,1545,228,382,40,145,60,〃,〃,〃
2022-01-27,119911,1547,228,383,40,145,60,〃,〃,〃
2022-01-28,120011,1549,228,383,40,145,60,〃,〃,〃
2022-01-29,120080,1551,228,383,40,145,60,〃,〃,〃
2022-01-30,120117,1551,228,383,40,145,60,〃,〃,〃
2022-01-31,120170,1551,228,383,40,145,60,〃,〃,〃
2022-02-01,120231,1552,228,383,40,145,60,〃,〃,〃
2022-02-02,120304,1554,228,383,40,145,60,〃,〃,〃
2022-02-03,120359,1555,228,384,40,145,60,〃,〃,〃
2022-02-04,120429,1556,228,384,40,145,60,〃,〃,〃
2022-02-05,120499,1558,228,384,40,145,60,〃,〃,〃
2022-02-06,120571,1559,228,383,40,145,60,〃,〃,〃
2022-02-07,120755,1563,228,383,40,145,60,〃,〃,〃
2022-02-08,120885,1563,228,384,40,145,60,〃,〃,〃
2022-02-09,121006,1564,228,384,40,145,60,〃,〃,〃
2022-02-10,121120,1567,228,384,40,145,60,〃,〃,〃
2022-02-11,121214,1569,230,385,40,145,60,〃,〃,〃
2022-02-12,121291,1569,230,385,40,147,60,〃,〃,〃
2022-02-13,121354,1569,230,385,40,147,60,〃,〃,〃
2022-02-14,121429,1572,230,385,40,147,60,〃,〃,〃
2022-02-15,121469,1574,230,385,40,147,60,〃,〃,〃
2022-02-16,121514,1574,230,385,40,147,60,〃,〃,〃
2022-02-17,121539,1574,230,385,40,147,60,〃,〃,〃
2022-02-18,121582,1575,231,385,40,147,60,〃,〃,〃
2022-02-19,121647,1576,231,385,40,147,60,〃,〃,〃
2022-02-20,121698,1576,231,385,40,148,60,〃,〃,〃
2022-02-21,121727,1576,231,385,40,148,60,〃,〃,〃
2022-02-22,121752,1576,231,385,40,148,60,〃,〃,〃
2022-02-23,121785,1576,231,385,40,148,60,〃,〃,〃
2022-02-24,121813,1577,231,385,40,148,60,〃,〃,〃
2022-02-25,121845,1577,231,385,40,148,60,〃,〃,〃
2022-02-26,121908,1577,231,384,40,148,60,〃,〃,〃
2022-02-27,121968,1577,231,384,40,148,60,〃,〃,〃
2022-02-28,121999,1577,231,384,40,148,60,〃,〃,〃
2022-03-01,122026,1577,231,384,40,148,60,〃,〃,〃
2022-03-02,122045,1577,231,384,40,148,60,〃,〃,〃
2022-03-03,122072,1577,231,384,40,148,60,〃,〃,〃
2022-03-04,122118,1577,231,384,40,148,60,〃,〃,〃
2022-03-05,122175,1578,231,384,40,148,60,〃,〃,〃
2022-03-06,122265,1581,231,384,40,148,60,〃,〃,〃
2022-03-07,122298,1582,231,384,40,148,60,〃,〃,〃
2022-03-08,122327,1582,231,384,40,148,60,〃,〃,〃
2022-03-09,122361,1583,231,384,40,148,60,〃,〃,〃
2022-03-10,122381,1583,231,384,40,148,60,〃,〃,〃
2022-03-11,122397,1583,231,384,40,148,60,〃,〃,〃
2022-03-12,122426,1583,231,384,40,148,60,〃,〃,〃
2022-03-13,122462,1583,231,384,40,148,60,〃,〃,〃
2022-03-14,122482,1583,231,384,40,148,60,〃,〃,〃
2022-03-15,122501,1583,231,384,40,148,60,〃,〃,〃
2022-03-16,122514,1583,231,384,40,148,60,〃,〃,〃
2022-03-17,122524,1583,231,384,40,148,60,〃,〃,〃
2022-03-18,122540,1583,231,384,40,148,60,〃,〃,〃
2022-03-19,122562,1583,231,384,40,148,60,〃,〃,〃
2022-03-20,122588,1583,231,384,40,148,60,〃,〃,〃
2022-03-21,122601,1583,231,384,40,148,60,〃,〃,〃
2022-03-22,122617,1583,231,384,40,148,60,〃,〃,〃
2022-03-23,122641,1583,231,384,40,148,60,〃,〃,〃
2022-03-24,122664,1583,231,384,40,148,60,〃,〃,〃
2022-03-25,122681,1583,231,384,40,148,60,〃,〃,〃
2022-03-26,122696,1583,231,384,40,148,60,〃,〃,〃
2022-03-27,122712,1583,231,383,40,148,60,〃,〃,〃
2022-03-28,122727,1584,231,383,40,148,60,〃,〃,〃
2022-03-29,122737,1584,231,384,40,148,60,〃,〃,〃
2022-03-30,122745,1585,231,384,40,148,60,〃,〃,〃
2022-03-31,122769,1585,231,384,40,148,60,〃,〃,〃
2022-04-01,122784,1585,231,384,40,148,60,〃,〃,〃
2022-04-02,122798,1585,231,384,40,148,60,〃,〃,〃
2022-04-03,122818,1585,231,384,40,148,60,〃,〃,〃
2022-04-04,122838,1585,231,384,40,148,60,〃,〃,〃
2022-04-05,122855,1586,231,384,40,148,60,〃,〃,〃
2022-04-06,122872,1586,231,384,40,148,60,〃,〃,〃
2022-04-07,122894,1587,231,384,40,148,60,〃,〃,〃
2022-04-08,122916,1588,231,384,40,148,60,〃,〃,〃
2022-04-09,122934,1588,231,384,40,148,60,〃,〃,〃
2022-04-10,122958,1588,231,385,40,153,60,〃,〃,〃
2022-04-11,122976,1589,231,385,40,153,62,〃,〃,〃
2022-04-12,122987,1589,231,384,40,153,62,〃,〃,〃
2022-04-13,123006,1590,231,385,40,153,62,〃,〃,〃
2022-04-14,123027,1590,231,385,40,153,62,〃,〃,〃
2022-04-15,123044,1591,231,385,40,153,62,〃,〃,〃
2022-04-16,123073,1591,231,385,40,153,62,〃,〃,〃
2022-04-17,123100,1591,231,385,40,153,62,〃,〃,〃
2022-04-18,123114,1592,231,385,40,153,62,〃,〃,〃
2022-04-19,123130,1592,231,385,40,153,62,〃,〃,〃
2022-04-20,123149,1592,231,385,40,153,62,〃,〃,〃
2022-04-21,123160,1592,231,384,40,153,62,〃,〃,〃
2022-04-22,123173,1593,233,384,40,153,62,〃,〃,〃
2022-04-23,123195,1593,233,384,40,153,62,〃,〃,〃
2022-04-24,123210,1593,233,384,40,153,62,〃,〃,〃
2022-04-25,123223,1593,233,384,40,153,62,〃,〃,〃
2022-04-26,123240,1593,233,384,40,153,62,〃,〃,〃
2022-04-27,123256,1593,233,383,40,153,62,〃,〃,〃
2022-04-28,123274,1593,233,383,40,153,62,〃,〃,〃
2022-04-29,123295,1593,233,383,40,153,62,〃,〃,〃
2022-04-30,123316,1593,233,383,40,153,62,〃,〃,〃
2022-05-01,123341,1593,233,383,40,153,62,〃,〃,〃
2022-05-02,123363,1593,233,383,40,153,62,〃,〃,〃
2022-05-03,123394,1593,233,383,40,153,62,〃,〃,〃
2022-05-04,123414,1594,233,383,40,153,62,〃,〃,〃
2022-05-05,123425,1594,233,383,40,153,62,〃,〃,〃
2022-05-06,123445,1594,233,383,40,153,62,〃,〃,〃
2022-05-07,123459,1594,233,383,40,153,62,〃,〃,〃
2022-05-08,123491,1594,233,384,40,153,62,〃,〃,〃
2022-05-09,123507,1594,233,384,40,153,62,〃,〃,〃
2022-05-10,123522,1594,233,384,40,153,62,〃,〃,〃
2022-05-11,123540,1594,233,384,40,153,62,〃,〃,〃
2022-05-12,123551,1594,233,384,40,153,62,〃,〃,〃
2022-05-13,123566,1594,233,384,40,153,62,〃,〃,〃
2022-05-14,123590,1595,233,384,40,153,62,〃,〃,〃
2022-05-15,123614,1595,233,384,40,153,62,〃,〃,〃
2022-05-16,123622,1595,233,384,40,153,62,〃,〃,〃
