date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,339263,2793,3300,3838,492,1637,447,在mc中使用《成龙》虎符咒、鸡符咒、鼠符咒等十二生肖符咒（符咒主题PVP）,"相关游戏: Minecraft 我的世界
简介补充: 1.居然能在有生之年内剪完此视频(´；ω；`)一定是化学的成分
2.自从上回服务器宣传视频发出后，没想到在短短几天内工作室就从原来的12位成员飙升至90多位(｀・ω・´)
感动ing
3.这个视频不算是一个MC故事短片，它更像是一个展示如何在原版纯净服中用指令玩PVP的说明书。
4.本片中所采用的BGM都是精挑细选出来、精确到秒的，你能认出几个呢？",http://i1.hdslb.com/bfs/archive/47e217fe1ad61d36addb4ee2d9353c05132eecb2.jpg
2022-01-17,339296,2793,3300,3838,492,1637,447,〃,〃,〃
2022-01-18,339462,2793,3300,3838,492,1637,447,〃,〃,〃
2022-01-19,339627,2795,3300,3839,492,1638,447,〃,〃,〃
2022-01-20,339830,2795,3300,3837,492,1639,447,〃,〃,〃
2022-01-21,339970,2796,3300,3836,492,1639,447,〃,〃,〃
2022-01-22,340055,2797,3300,3835,492,1639,447,〃,〃,〃
2022-01-23,340143,2799,3300,3837,492,1639,447,〃,〃,〃
2022-01-24,340241,2800,3300,3835,492,1639,447,〃,〃,〃
2022-01-25,340347,2802,3300,3836,492,1639,447,〃,〃,〃
2022-01-26,340432,2803,3300,3835,492,1639,447,〃,〃,〃
2022-01-27,340604,2804,3300,3835,492,1639,447,〃,〃,〃
2022-01-28,340768,2805,3300,3834,492,1639,447,〃,〃,〃
2022-01-29,340940,2807,3300,3833,492,1639,447,〃,〃,〃
2022-01-30,341117,2807,3300,3833,492,1639,447,〃,〃,〃
2022-01-31,341276,2808,3300,3832,492,1639,447,〃,〃,〃
2022-02-01,341413,2811,3300,3832,492,1639,447,〃,〃,〃
2022-02-02,341687,2811,3300,3833,492,1639,447,〃,〃,〃
2022-02-03,341843,2812,3300,3833,492,1639,447,〃,〃,〃
2022-02-04,341997,2813,3300,3832,492,1639,447,〃,〃,〃
2022-02-05,342238,2814,3300,3833,492,1639,447,〃,〃,〃
2022-02-06,342448,2815,3300,3834,492,1643,447,〃,〃,〃
2022-02-07,342692,2818,3300,3836,492,1643,447,〃,〃,〃
2022-02-08,342923,2820,3300,3835,492,1643,447,〃,〃,〃
2022-02-09,343171,2824,3300,3835,492,1643,447,〃,〃,〃
2022-02-10,343405,2824,3300,3834,492,1643,447,〃,〃,〃
2022-02-11,343599,2829,3302,3835,492,1644,447,〃,〃,〃
2022-02-12,343748,2830,3302,3835,492,1644,447,〃,〃,〃
2022-02-13,343872,2830,3302,3834,492,1644,447,〃,〃,〃
2022-02-14,344032,2832,3302,3834,492,1644,447,〃,〃,〃
2022-02-15,344146,2833,3302,3834,492,1644,447,〃,〃,〃
2022-02-16,344259,2834,3302,3833,492,1644,447,〃,〃,〃
2022-02-17,344350,2834,3302,3833,492,1644,447,〃,〃,〃
2022-02-18,344429,2835,3302,3833,492,1644,447,〃,〃,〃
2022-02-19,344553,2835,3302,3833,492,1644,447,〃,〃,〃
2022-02-20,344645,2835,3302,3833,492,1644,447,〃,〃,〃
2022-02-21,344691,2836,3302,3834,492,1644,447,〃,〃,〃
2022-02-22,344748,2836,3302,3834,492,1644,447,〃,〃,〃
2022-02-23,344791,2836,3302,3834,492,1644,447,〃,〃,〃
2022-02-24,344829,2837,3302,3834,492,1644,447,〃,〃,〃
2022-02-25,344903,2837,3302,3834,492,1644,447,〃,〃,〃
2022-02-26,345025,2838,3302,3833,492,1644,447,〃,〃,〃
2022-02-27,345109,2838,3302,3830,492,1644,447,〃,〃,〃
2022-02-28,345157,2837,3302,3829,492,1644,447,〃,〃,〃
2022-03-01,345190,2837,3302,3829,492,1644,447,〃,〃,〃
2022-03-02,345240,2837,3302,3827,492,1644,447,〃,〃,〃
2022-03-03,345277,2837,3302,3826,492,1644,447,〃,〃,〃
2022-03-04,345313,2837,3302,3825,492,1644,447,〃,〃,〃
2022-03-05,345410,2839,3303,3826,492,1644,447,〃,〃,〃
2022-03-06,345511,2841,3305,3828,492,1644,447,〃,〃,〃
2022-03-07,345561,2842,3305,3828,492,1644,447,〃,〃,〃
2022-03-08,345610,2843,3305,3828,492,1644,447,〃,〃,〃
2022-03-09,345650,2844,3305,3827,492,1644,447,〃,〃,〃
2022-03-10,345680,2846,3305,3827,492,1644,447,〃,〃,〃
2022-03-11,345729,2846,3305,3827,492,1644,447,〃,〃,〃
2022-03-12,345798,2847,3305,3827,492,1644,447,〃,〃,〃
2022-03-13,345858,2847,3305,3825,492,1644,447,〃,〃,〃
2022-03-14,345885,2847,3305,3825,492,1644,447,〃,〃,〃
2022-03-15,345905,2847,3305,3825,492,1644,447,〃,〃,〃
2022-03-16,345937,2847,3305,3825,492,1644,447,〃,〃,〃
2022-03-17,345961,2848,3305,3825,492,1644,447,〃,〃,〃
2022-03-18,345999,2848,3305,3825,492,1644,447,〃,〃,〃
2022-03-19,346090,2849,3305,3824,492,1644,447,〃,〃,〃
2022-03-20,346168,2850,3305,3823,492,1644,447,〃,〃,〃
2022-03-21,346213,2850,3305,3823,493,1644,447,〃,〃,〃
2022-03-22,346254,2851,3305,3824,493,1644,447,〃,〃,〃
2022-03-23,346291,2851,3305,3825,493,1646,447,〃,〃,〃
2022-03-24,346318,2853,3305,3825,493,1646,447,〃,〃,〃
2022-03-25,346355,2853,3305,3825,493,1646,447,〃,〃,〃
2022-03-26,346415,2853,3305,3825,493,1646,447,〃,〃,〃
2022-03-27,346457,2853,3305,3824,493,1646,447,〃,〃,〃
2022-03-28,346483,2853,3305,3824,493,1646,447,〃,〃,〃
2022-03-29,346520,2853,3305,3824,493,1646,447,〃,〃,〃
2022-03-30,346542,2854,3305,3824,493,1646,447,〃,〃,〃
2022-03-31,346575,2854,3305,3822,493,1646,447,〃,〃,〃
2022-04-01,346598,2854,3305,3822,493,1646,447,〃,〃,〃
2022-04-02,346632,2854,3305,3822,493,1646,447,〃,〃,〃
2022-04-03,346684,2854,3305,3820,493,1646,447,〃,〃,〃
2022-04-04,346714,2854,3305,3820,493,1646,447,〃,〃,〃
2022-04-05,346746,2855,3305,3820,493,1646,447,〃,〃,〃
2022-04-06,346773,2857,3305,3820,493,1646,447,〃,〃,〃
2022-04-07,346792,2857,3305,3820,493,1646,447,〃,〃,〃
2022-04-08,346827,2857,3305,3820,493,1646,447,〃,〃,〃
2022-04-09,346875,2858,3305,3820,493,1646,447,〃,〃,〃
2022-04-10,346920,2858,3305,3821,493,1646,447,〃,〃,〃
2022-04-11,346946,2859,3305,3821,493,1646,447,〃,〃,〃
2022-04-12,346984,2859,3305,3821,493,1646,447,〃,〃,〃
2022-04-13,347012,2860,3305,3821,493,1646,447,〃,〃,〃
2022-04-14,347035,2862,3305,3820,493,1646,447,〃,〃,〃
2022-04-15,347082,2862,3305,3818,493,1646,447,〃,〃,〃
2022-04-16,347142,2862,3305,3819,493,1646,447,〃,〃,〃
2022-04-17,347195,2862,3305,3819,493,1646,442,〃,〃,〃
2022-04-18,347214,2863,3305,3819,493,1646,442,〃,〃,〃
2022-04-19,347243,2863,3305,3819,493,1646,442,〃,〃,〃
2022-04-20,347278,2864,3305,3819,493,1646,442,〃,〃,〃
2022-04-21,347298,2864,3305,3819,493,1646,442,〃,〃,〃
2022-04-22,347321,2864,3305,3817,493,1646,442,〃,〃,〃
2022-04-23,347357,2864,3305,3817,493,1646,442,〃,〃,〃
2022-04-24,347385,2864,3305,3817,493,1646,442,〃,〃,〃
2022-04-25,347400,2864,3305,3817,493,1646,442,〃,〃,〃
2022-04-26,347421,2864,3305,3817,493,1646,442,〃,〃,〃
2022-04-27,347446,2865,3305,3818,493,1646,442,〃,〃,〃
2022-04-28,347472,2865,3305,3818,493,1646,442,〃,〃,〃
