date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1039853,77603,16251,19253,1895,2591,1388,从一个方块开始，写一个Minecraft 2.0！,"本期只是展示一个想法，目前完成度还很低。如果各位喜欢会继续更下去的。
（绿色世界在做了在做了）
【unity工程】https://pan.baidu.com/s/1fFGwCjRnsLPr8ZJZA9qTmw 提取码: 8de6
===================
视频制作：GoldenEggs
配音：王均霆(COMPLEX STUDIO) 于德谦  aeror
特别鸣谢：Sam Hogan
===================
部分BGM清单：
【00:00】Minecraft - C418
【03:34】Unity - TheFatRat",http://i0.hdslb.com/bfs/archive/a68ae1d48ccf836ec223205247b0a2607a9826f1.jpg
2022-01-17,1040085,77605,16251,19255,1895,2591,1388,〃,〃,〃
2022-01-18,1041097,77633,16254,19263,1895,2592,1389,〃,〃,〃
2022-01-19,1042494,77668,16261,19275,1895,2596,1389,〃,〃,〃
2022-01-20,1043621,77690,16265,19272,1895,2598,1389,〃,"本期只是展示一个想法，目前完成度还很低。如果各位喜欢会继续更下去的。
（绿色世界在做了在做了）
【unity工程】https://pan.baidu.com/s/1fFGwCjRnsLPr8ZJZA9qTmw 提取码: 8de6
===================
视频制作：GoldenEggs
配音：王均霆(COMPLEX STUDIO) 于德谦  aeror
特别鸣谢：Sam Hogan
===================
部分BGM清单：
【00:00】Minecraft - C418
【03:34】Unity - TheFatRat",〃
2022-01-21,1045169,77723,16272,19285,1897,2601,1390,〃,〃,〃
2022-01-22,1046076,77753,16281,19290,1899,2602,1392,〃,〃,〃
2022-01-23,1046905,77775,16282,19286,1899,2605,1392,〃,〃,〃
2022-01-24,1047921,77803,16287,19298,1899,2606,1398,〃,〃,〃
2022-01-25,1049817,77833,16294,19321,1899,2608,1403,〃,〃,〃
2022-01-26,1050553,77854,16303,19325,1899,2609,1404,〃,〃,〃
2022-01-27,1051594,77870,16304,19326,1899,2611,1404,从一个方块开始，做一个Minecraft 2.0,〃,〃
2022-01-28,1052670,77879,16304,19327,1899,2615,1404,〃,〃,〃
2022-01-29,1053556,77897,16305,19321,1899,2616,1406,〃,〃,〃
2022-01-30,1054269,77911,16309,19320,1899,2617,1406,〃,〃,〃
2022-01-31,1054906,77928,16311,19319,1899,2618,1406,〃,〃,〃
2022-02-01,1055984,77951,16313,19319,1899,2620,1407,〃,〃,〃
2022-02-02,1056904,77968,16315,19325,1899,2620,1410,〃,〃,〃
2022-02-03,1057666,77985,16316,19325,1899,2620,1410,〃,〃,〃
2022-02-04,1058559,78000,16318,19325,1900,2621,1410,〃,〃,〃
2022-02-05,1059392,78023,16326,19327,1900,2621,1410,〃,〃,〃
2022-02-06,1060141,78045,16328,19330,1900,2622,1410,〃,〃,〃
2022-02-07,1061659,78084,16338,19338,1901,2628,1410,〃,〃,〃
2022-02-08,1062757,78103,16340,19340,1901,2628,1410,〃,〃,〃
2022-02-09,1063732,78125,16344,19339,1902,2628,1410,〃,〃,〃
2022-02-10,1064763,78141,16345,19341,1902,2630,1411,〃,〃,〃
2022-02-11,1065711,78163,16347,19350,1902,2633,1411,〃,〃,〃
2022-02-12,1066520,78172,16347,19344,1903,2634,1411,〃,〃,〃
2022-02-13,1067248,78176,16349,19340,1903,2638,1411,〃,〃,〃
2022-02-14,1067971,78196,16355,19344,1903,2639,1413,〃,〃,〃
2022-02-15,1068631,78205,16359,19347,1903,2639,1413,〃,〃,〃
2022-02-16,1069196,78218,16366,19351,1903,2640,1414,〃,〃,〃
2022-02-17,1069655,78223,16366,19348,1904,2640,1414,〃,〃,〃
2022-02-18,1070151,78232,16368,19351,1904,2640,1402,〃,〃,〃
2022-02-19,1070931,78243,16370,19354,1904,2640,1402,〃,〃,〃
2022-02-20,1071632,78253,16373,19354,1904,2640,1403,〃,〃,〃
2022-02-21,1071921,78260,16373,19353,1904,2640,1403,〃,〃,〃
2022-02-22,1072211,78266,16374,19355,1904,2641,1403,〃,〃,〃
2022-02-23,1072528,78271,16374,19360,1904,2641,1403,〃,〃,〃
2022-02-24,1072820,78274,16374,19360,1904,2641,1403,〃,〃,〃
2022-02-25,1073196,78285,16377,19362,1904,2641,1403,〃,〃,〃
2022-02-26,1073962,78307,16386,19369,1904,2642,1403,〃,〃,〃
2022-02-27,1074659,78317,16386,19367,1904,2642,1403,〃,〃,〃
2022-02-28,1074927,78321,16388,19363,1904,2642,1403,〃,〃,〃
2022-03-01,1075148,78322,16388,19361,1904,2642,1403,〃,〃,〃
2022-03-02,1075376,78327,16388,19363,1904,2642,1403,〃,〃,〃
2022-03-03,1075603,78334,16388,19363,1904,2642,1404,〃,〃,〃
2022-03-04,1075952,78338,16388,19361,1904,2642,1404,〃,〃,〃
2022-03-05,1076742,78349,16391,19357,1904,2642,1405,〃,〃,〃
2022-03-06,1077462,78359,16391,19355,1904,2643,1405,〃,〃,〃
2022-03-07,1077766,78368,16393,19355,1904,2643,1405,〃,〃,〃
2022-03-08,1078003,78370,16393,19353,1904,2644,1406,〃,〃,〃
2022-03-09,1078276,78371,16393,19352,1904,2646,1406,〃,〃,〃
2022-03-10,1078531,78377,16395,19353,1904,2646,1406,〃,〃,〃
2022-03-11,1078813,78377,16395,19352,1904,2646,1406,〃,〃,〃
2022-03-12,1079294,78386,16397,19355,1904,2646,1406,〃,〃,〃
2022-03-13,1079759,78393,16397,19351,1904,2650,1406,〃,〃,〃
2022-03-14,1080028,78397,16397,19351,1904,2650,1406,〃,〃,〃
2022-03-15,1080312,78400,16397,19352,1904,2650,1409,〃,〃,〃
2022-03-16,1080588,78402,16397,19351,1905,2651,1409,〃,〃,〃
2022-03-17,1080819,78408,16397,19352,1905,2655,1409,〃,〃,〃
2022-03-18,1081108,78418,16398,19349,1905,2655,1409,〃,〃,〃
2022-03-19,1081674,78429,16402,19352,1905,2658,1409,〃,〃,〃
2022-03-20,1082833,78443,16402,19364,1905,2658,1409,〃,〃,〃
2022-03-21,1083454,78461,16402,19379,1905,2658,1409,〃,〃,〃
2022-03-22,1083920,78474,16411,19393,1906,2659,1409,〃,〃,〃
2022-03-23,1084339,78484,16415,19398,1906,2660,1410,〃,〃,〃
2022-03-24,1084644,78498,16419,19399,1906,2661,1410,〃,〃,〃
2022-03-25,1085014,78503,16421,19400,1907,2661,1410,〃,〃,〃
2022-03-26,1085819,78514,16428,19401,1907,2665,1410,〃,〃,〃
2022-03-27,1086324,78529,16432,19406,1907,2665,1410,〃,〃,〃
2022-03-28,1086607,78532,16432,19410,1907,2666,1410,〃,〃,〃
2022-03-29,1086928,78537,16434,19409,1907,2666,1410,〃,〃,〃
2022-03-30,1087234,78540,16438,19411,1907,2668,1410,〃,〃,〃
2022-03-31,1087503,78549,16438,19412,1907,2668,1410,〃,〃,〃
2022-04-01,1087771,78553,16442,19408,1907,2668,1410,〃,〃,〃
2022-04-02,1088143,78557,16444,19409,1907,2668,1410,〃,〃,〃
2022-04-03,1088718,78568,16446,19406,1907,2669,1410,〃,〃,〃
2022-04-04,1089234,78577,16448,19412,1907,2671,1410,〃,〃,〃
2022-04-05,1089744,78588,16452,19416,1907,2671,1410,〃,〃,〃
2022-04-06,1090061,78590,16452,19414,1907,2671,1410,〃,〃,〃
2022-04-07,1090343,78600,16452,19412,1908,2672,1410,〃,〃,〃
2022-04-08,1090746,78607,16454,19410,1908,2672,1410,〃,〃,〃
2022-04-09,1091295,78614,16454,19416,1908,2672,1410,〃,〃,〃
2022-04-10,1091851,78618,16456,19416,1908,2672,1411,〃,〃,〃
2022-04-11,1092167,78626,16458,19422,1908,2674,1411,〃,〃,〃
2022-04-12,1092467,78636,16461,19426,1908,2675,1411,〃,〃,〃
2022-04-13,1092782,78642,16462,19426,1908,2675,1411,〃,〃,〃
2022-04-14,1093118,78648,16463,19429,1909,2681,1411,〃,〃,〃
2022-04-15,1093665,78659,16467,19437,1909,2684,1411,〃,〃,〃
2022-04-16,1094464,78677,16467,19456,1909,2685,1411,〃,〃,〃
2022-04-17,1095077,78689,16471,19458,1909,2685,1411,〃,〃,〃
2022-04-18,1095402,78693,16473,19460,1909,2685,1411,〃,〃,〃
2022-04-19,1095757,78698,16473,19461,1909,2685,1412,〃,〃,〃
2022-04-20,1096179,78702,16474,19466,1910,2687,1412,〃,〃,〃
2022-04-21,1096632,78709,16478,19467,1910,2687,1412,〃,〃,〃
2022-04-22,1097113,78715,16481,19469,1910,2687,1412,〃,〃,〃
