date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,506221,8488,3073,4471,466,3763,475,用抖音、B站的方式打开MC（搞笑勿当真）,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
==========================
1.本视频纯属玩梗，认真你就输了（别忘了看2p）
2.本视频的抖音界面是p出来的，即抖音上搜不到相关用户和视频
3.《葬歌》那段其实是pr高仿，闪过了3段Minecraft画面作为故事线索，有兴趣的可以去挑战一下。【2p有非遮罩版】
4.part3改编自真实事件，曾被某个短视频平台主播盗过视频，只保留15秒，配上违和感爆棚的BGM..
5.可能以后会推出mc版暗黑五部曲
（特别鸣谢：雕心画梦建筑团队）",http://i0.hdslb.com/bfs/archive/c8dfca1a0c0d28a7f3fb90fc6a6f11b981913902.jpg
2022-01-17,506231,8488,3073,4471,466,3763,475,〃,〃,〃
2022-01-18,506283,8488,3073,4471,466,3763,475,〃,〃,〃
2022-01-19,506334,8492,3077,4472,466,3763,475,〃,〃,〃
2022-01-20,506384,8492,3077,4472,466,3763,475,〃,〃,〃
2022-01-21,506432,8492,3077,4469,466,3763,475,〃,〃,〃
2022-01-22,506474,8495,3077,4470,466,3763,475,〃,〃,〃
2022-01-23,506509,8497,3077,4468,466,3763,475,〃,〃,〃
2022-01-24,506552,8499,3077,4467,466,3763,475,〃,〃,〃
2022-01-25,506581,8499,3077,4466,466,3763,475,〃,〃,〃
2022-01-26,506615,8500,3077,4462,466,3764,475,〃,〃,〃
2022-01-27,506649,8501,3079,4461,466,3764,475,〃,〃,〃
2022-01-28,506679,8501,3079,4460,466,3764,475,〃,〃,〃
2022-01-29,506713,8502,3079,4457,466,3764,475,〃,〃,〃
2022-01-30,506732,8504,3079,4457,466,3765,475,〃,〃,〃
2022-01-31,506757,8504,3079,4457,466,3765,475,〃,〃,〃
2022-02-01,506792,8504,3079,4455,466,3765,475,〃,〃,〃
2022-02-02,506835,8505,3079,4453,466,3765,476,〃,〃,〃
2022-02-03,506870,8506,3079,4455,466,3765,476,〃,〃,〃
2022-02-04,506899,8508,3079,4454,466,3765,476,〃,〃,〃
2022-02-05,506933,8509,3079,4453,466,3765,471,〃,〃,〃
2022-02-06,506963,8510,3079,4453,466,3765,471,〃,〃,〃
2022-02-07,507019,8510,3079,4452,466,3765,471,〃,〃,〃
2022-02-08,507075,8512,3079,4452,466,3765,471,〃,〃,〃
2022-02-09,507120,8512,3079,4451,466,3765,471,〃,〃,〃
2022-02-10,507169,8512,3079,4449,466,3765,471,〃,〃,〃
2022-02-11,507210,8514,3081,4450,466,3767,471,〃,〃,〃
2022-02-12,507248,8514,3081,4449,466,3767,471,〃,〃,〃
2022-02-13,507281,8514,3081,4448,466,3767,471,〃,〃,〃
2022-02-14,507310,8514,3081,4448,466,3768,471,〃,〃,〃
2022-02-15,507343,8514,3081,4448,466,3768,471,〃,〃,〃
2022-02-16,507371,8514,3081,4447,466,3768,471,〃,〃,〃
2022-02-17,507387,8515,3081,4446,466,3768,471,〃,〃,〃
2022-02-18,507406,8515,3081,4445,466,3768,471,〃,〃,〃
2022-02-19,507436,8514,3081,4445,466,3768,471,〃,〃,〃
2022-02-20,507471,8514,3081,4445,466,3768,471,〃,〃,〃
2022-02-21,507487,8514,3081,4445,466,3768,471,〃,〃,〃
2022-02-22,507496,8515,3081,4444,466,3768,471,〃,〃,〃
2022-02-23,507506,8516,3081,4444,466,3768,472,〃,〃,〃
2022-02-24,507521,8517,3081,4444,466,3768,472,〃,〃,〃
2022-02-25,507532,8517,3081,4444,466,3768,472,〃,〃,〃
2022-02-26,507564,8517,3081,4443,466,3768,471,〃,〃,〃
2022-02-27,507591,8518,3081,4443,466,3769,471,〃,〃,〃
2022-02-28,507606,8519,3081,4442,466,3769,471,〃,〃,〃
2022-03-01,507614,8520,3081,4441,466,3769,471,〃,〃,〃
2022-03-02,507625,8520,3081,4441,466,3769,471,〃,〃,〃
2022-03-03,507635,8520,3081,4441,466,3769,471,〃,〃,〃
2022-03-04,507643,8520,3081,4440,466,3769,471,〃,〃,〃
2022-03-05,507670,8521,3081,4439,466,3769,471,〃,〃,〃
2022-03-06,507691,8521,3081,4437,466,3770,471,〃,〃,〃
2022-03-07,507701,8521,3081,4437,466,3770,471,〃,〃,〃
2022-03-08,507710,8521,3081,4437,466,3770,471,〃,〃,〃
2022-03-09,507721,8522,3081,4437,466,3770,471,〃,〃,〃
2022-03-10,507734,8525,3081,4437,466,3770,471,〃,〃,〃
2022-03-11,507750,8525,3081,4437,466,3770,471,〃,〃,〃
2022-03-12,507768,8526,3081,4433,466,3770,471,〃,〃,〃
2022-03-13,507792,8527,3081,4432,466,3770,471,〃,〃,〃
2022-03-14,507801,8527,3081,4432,466,3770,471,〃,〃,〃
2022-03-15,507811,8527,3081,4431,466,3770,471,〃,〃,〃
2022-03-16,507819,8527,3081,4431,466,3770,471,〃,〃,〃
2022-03-17,507831,8527,3081,4431,466,3770,471,〃,〃,〃
2022-03-18,507840,8527,3081,4430,466,3770,471,〃,〃,〃
2022-03-19,507869,8528,3081,4430,466,3770,471,〃,〃,〃
2022-03-20,507898,8530,3081,4431,466,3770,471,〃,〃,〃
2022-03-21,507913,8530,3081,4430,466,3770,471,〃,〃,〃
2022-03-22,507928,8531,3081,4429,466,3770,471,〃,〃,〃
2022-03-23,507939,8531,3081,4428,466,3770,471,〃,〃,〃
2022-03-24,507948,8531,3081,4427,466,3770,471,〃,〃,〃
2022-03-25,507958,8531,3081,4427,466,3770,471,〃,〃,〃
2022-03-26,507991,8531,3081,4426,466,3770,471,〃,〃,〃
2022-03-27,508007,8532,3081,4425,466,3770,471,〃,〃,〃
2022-03-28,508019,8531,3081,4424,466,3770,471,〃,〃,〃
2022-03-29,508028,8531,3081,4424,466,3770,471,〃,〃,〃
2022-03-30,508040,8532,3081,4422,466,3770,471,〃,〃,〃
2022-03-31,508045,8532,3081,4421,466,3770,471,〃,〃,〃
2022-04-01,508052,8534,3081,4421,466,3770,471,〃,〃,〃
2022-04-02,508065,8535,3081,4419,466,3770,471,〃,〃,〃
2022-04-03,508085,8535,3081,4419,466,3770,471,〃,〃,〃
2022-04-04,508109,8535,3081,4417,466,3770,471,〃,〃,〃
2022-04-05,508132,8535,3081,4415,466,3770,471,〃,〃,〃
2022-04-06,508152,8536,3081,4414,466,3770,471,〃,〃,〃
2022-04-07,508172,8536,3081,4414,466,3770,471,〃,〃,〃
2022-04-08,508192,8537,3081,4414,466,3770,471,〃,〃,〃
2022-04-09,508204,8537,3081,4412,466,3770,471,〃,〃,〃
2022-04-10,508228,8537,3081,4412,466,3770,471,〃,〃,〃
2022-04-11,508240,8537,3081,4412,466,3770,471,〃,〃,〃
2022-04-12,508253,8538,3081,4412,466,3770,471,〃,〃,〃
2022-04-13,508261,8538,3081,4412,466,3770,471,〃,〃,〃
2022-04-14,508279,8541,3081,4412,466,3772,472,〃,〃,〃
2022-04-15,508297,8541,3081,4412,466,3772,472,〃,〃,〃
2022-04-16,508318,8542,3081,4412,466,3772,472,〃,〃,〃
2022-04-17,508333,8543,3081,4412,466,3772,472,〃,〃,〃
2022-04-18,508343,8545,3081,4412,466,3772,472,〃,〃,〃
2022-04-19,508353,8546,3081,4411,466,3772,472,〃,〃,〃
2022-04-20,508363,8546,3081,4411,466,3772,472,〃,〃,〃
2022-04-21,508374,8546,3081,4410,466,3772,472,〃,〃,〃
2022-04-22,508391,8547,3081,4411,466,3772,472,〃,〃,〃
2022-04-23,508414,8547,3081,4411,466,3772,472,〃,〃,〃
2022-04-24,508429,8547,3081,4411,466,3772,472,〃,〃,〃
2022-04-25,508435,8547,3081,4411,466,3772,472,〃,〃,〃
2022-04-26,508444,8548,3081,4410,466,3772,472,〃,〃,〃
2022-04-27,508451,8548,3081,4410,466,3772,472,〃,〃,〃
2022-04-28,508462,8548,3081,4410,466,3772,472,〃,〃,〃
2022-04-29,508474,8548,3081,4409,466,3772,472,〃,〃,〃
2022-04-30,508487,8549,3081,4409,466,3772,472,〃,〃,〃
2022-05-01,508513,8549,3081,4409,466,3772,472,〃,〃,〃
2022-05-02,508531,8550,3081,4409,466,3772,472,〃,〃,〃
2022-05-03,508549,8550,3081,4409,466,3772,472,〃,〃,〃
2022-05-04,508567,8551,3081,4410,466,3772,472,〃,〃,〃
2022-05-05,508575,8551,3081,4409,466,3772,472,〃,〃,〃
2022-05-06,508586,8551,3081,4409,466,3772,472,〃,〃,〃
2022-05-07,508598,8551,3081,4410,466,3772,472,〃,〃,〃
2022-05-08,508622,8552,3081,4410,466,3772,472,〃,〃,〃
2022-05-09,508628,8553,3081,4410,466,3772,472,〃,〃,〃
