date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,995541,27033,11041,16418,4199,6870,631,如果你在拼多多上购买《我的世界》,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
========================
1.这期视频的工作量依然爆炸，结合了“第一人称实况+第三人称航拍+鬼畜调教”，所以这到底算什么类型的视频呢......

2.""箭飞一半掉下来""实际上是命令方块高频检测并赋予箭一个向下的加速度
“末影珍珠只掉血不传送”实际上是剪辑效果
“水无法流动”实际上是屏障方块的作用
“皮肤只有一面”实际上是修改材质
“村民交易”summon+tag标签

3.德国boy在咆哮的时候乱入了一些化学方程式和数学物理生物公式

4.可怜的德国boy又被mc虐了【等等！为何要说“又”？......】

5.别忘了完成本期的挑战哦（按敲击声计数即可）

6.本期脑补出并夕夕风格的川┆~匸（尸∧⺁┬特性：
光影失效
皮肤只有正面，其他面透明
物品叠加最高16
箭飞一半掉下来 
高度限制128 
废物村民交易
末影珍珠只掉血不传送
水无法流动
蛋糕只能恢复一格饱食度
活塞只能推动1格方块
玩家制造的铁傀儡只有一血
（特别鸣谢：雕心画梦建筑团队）",http://i1.hdslb.com/bfs/archive/95bdfac0931c9dacb41effeb030ee15a1bb39687.jpg
2022-01-17,995647,27036,11041,16419,4199,6870,631,〃,〃,〃
2022-01-18,996202,27047,11045,16425,4202,6875,631,〃,〃,〃
2022-01-19,996895,27059,11054,16429,4204,6879,631,〃,〃,〃
2022-01-20,997484,27076,11056,16435,4206,6883,631,〃,〃,〃
2022-01-21,998048,27094,11058,16438,4207,6885,631,〃,〃,〃
2022-01-22,998488,27111,11060,16444,4208,6886,631,〃,〃,〃
2022-01-23,998851,27120,11064,16448,4208,6887,631,〃,〃,〃
2022-01-24,999287,27133,11071,16451,4208,6887,632,〃,〃,〃
2022-01-25,999717,27147,11073,16454,4208,6893,632,〃,〃,〃
2022-01-26,1000113,27162,11077,16462,4209,6894,632,〃,〃,〃
2022-01-27,1000559,27175,11085,16466,4211,6899,632,〃,〃,〃
2022-01-28,1001012,27185,11090,16472,4211,6900,632,〃,〃,〃
2022-01-29,1001410,27192,11090,16469,4211,6903,632,〃,〃,〃
2022-01-30,1001789,27202,11090,16468,4211,6905,632,〃,〃,〃
2022-01-31,1002167,27209,11098,16472,4211,6908,632,〃,〃,〃
2022-02-01,1002648,27219,11100,16474,4213,6909,632,〃,〃,〃
2022-02-02,1003125,27233,11106,16476,4214,6914,632,〃,〃,〃
2022-02-03,1003597,27245,11110,16482,4215,6914,633,〃,〃,〃
2022-02-04,1004046,27254,11114,16482,4216,6917,634,〃,〃,〃
2022-02-05,1004591,27269,11118,16490,4217,6917,634,〃,〃,〃
2022-02-06,1005055,27285,11122,16493,4218,6928,635,〃,〃,〃
2022-02-07,1006026,27321,11132,16498,4220,6937,635,〃,〃,〃
2022-02-08,1006740,27339,11141,16499,4220,6938,636,〃,〃,〃
2022-02-09,1007417,27356,11143,16496,4221,6939,636,〃,〃,〃
2022-02-10,1008049,27374,11144,16497,4221,6943,637,〃,〃,〃
2022-02-11,1008646,27394,11150,16500,4222,6943,637,〃,〃,〃
2022-02-12,1009145,27402,11150,16495,4223,6943,637,〃,〃,〃
2022-02-13,1009578,27415,11150,16498,4223,6943,637,〃,〃,〃
2022-02-14,1010047,27427,11154,16501,4225,6946,637,〃,〃,〃
2022-02-15,1010420,27439,11158,16504,4225,6946,637,〃,〃,〃
2022-02-16,1010719,27450,11160,16502,4225,6947,637,〃,〃,〃
2022-02-17,1010956,27454,11160,16502,4226,6947,637,〃,〃,〃
2022-02-18,1011240,27460,11161,16503,4226,6947,638,〃,〃,〃
2022-02-19,1011687,27471,11164,16507,4226,6947,638,〃,〃,〃
2022-02-20,1012121,27488,11168,16511,4226,6948,638,〃,〃,〃
2022-02-21,1012298,27495,11170,16509,4226,6948,638,〃,〃,〃
2022-02-22,1012481,27498,11170,16508,4226,6948,638,〃,〃,〃
2022-02-23,1012663,27502,11170,16507,4226,6948,638,〃,〃,〃
2022-02-24,1012854,27507,11172,16509,4226,6949,638,〃,〃,〃
2022-02-25,1013119,27517,11175,16510,4226,6949,638,〃,〃,〃
2022-02-26,1013544,27533,11179,16517,4226,6952,638,〃,〃,〃
2022-02-27,1013984,27542,11182,16521,4226,6952,638,〃,〃,〃
2022-02-28,1014172,27546,11182,16522,4226,6955,638,〃,〃,〃
2022-03-01,1014308,27549,11184,16524,4226,6955,638,〃,〃,〃
2022-03-02,1014494,27554,11186,16527,4226,6955,638,〃,〃,〃
2022-03-03,1014647,27563,11190,16529,4226,6959,638,〃,〃,〃
2022-03-04,1014876,27568,11190,16530,4226,6959,638,〃,〃,〃
2022-03-05,1015397,27576,11193,16534,4226,6961,637,〃,〃,〃
2022-03-06,1015820,27592,11193,16531,4226,6962,637,〃,〃,〃
2022-03-07,1015984,27593,11195,16531,4226,6963,637,〃,〃,〃
2022-03-08,1016178,27599,11195,16534,4226,6963,637,〃,〃,〃
2022-03-09,1016359,27606,11197,16537,4228,6963,637,〃,〃,〃
2022-03-10,1016495,27610,11197,16539,4228,6963,637,〃,〃,〃
2022-03-11,1016671,27613,11198,16539,4228,6963,636,〃,〃,〃
2022-03-12,1016993,27623,11202,16542,4229,6964,636,〃,〃,〃
2022-03-13,1017333,27631,11208,16544,4229,6964,636,〃,〃,〃
2022-03-14,1017509,27633,11208,16544,4229,6968,637,〃,〃,〃
2022-03-15,1017688,27635,11208,16542,4231,6968,638,〃,〃,〃
2022-03-16,1017868,27641,11208,16541,4231,6968,638,〃,〃,〃
2022-03-17,1018065,27644,11210,16543,4231,6972,638,〃,〃,〃
2022-03-18,1018290,27652,11212,16547,4231,6972,638,〃,〃,〃
2022-03-19,1018886,27670,11214,16546,4231,6975,638,〃,〃,〃
2022-03-20,1019565,27688,11220,16557,4234,6981,638,〃,〃,〃
2022-03-21,1019912,27698,11220,16565,4234,6983,638,〃,〃,〃
2022-03-22,1020150,27703,11222,16569,4234,6984,638,〃,〃,〃
2022-03-23,1020424,27709,11222,16569,4234,6991,639,〃,〃,〃
2022-03-24,1020726,27718,11224,16577,4234,6991,639,〃,〃,〃
2022-03-25,1021014,27725,11225,16577,4235,6992,639,〃,〃,〃
2022-03-26,1021393,27732,11225,16583,4236,6995,640,〃,〃,〃
2022-03-27,1021720,27744,11230,16589,4236,6995,640,〃,〃,〃
2022-03-28,1021933,27748,11232,16589,4236,6995,640,〃,〃,〃
2022-03-29,1022126,27753,11234,16593,4236,6995,640,〃,〃,〃
2022-03-30,1022340,27756,11234,16590,4236,6996,640,〃,〃,〃
2022-03-31,1022523,27762,11234,16590,4236,6998,640,〃,〃,〃
2022-04-01,1022723,27767,11238,16589,4236,7005,640,〃,〃,〃
2022-04-02,1022961,27770,11240,16589,4236,7005,640,〃,〃,〃
2022-04-03,1023291,27778,11243,16591,4236,7013,640,〃,〃,〃
2022-04-04,1023620,27784,11245,16588,4236,7019,640,〃,〃,〃
2022-04-05,1023958,27798,11248,16591,4237,7019,640,〃,〃,〃
2022-04-06,1024240,27811,11249,16598,4239,7021,641,〃,〃,〃
2022-04-07,1024480,27816,11250,16605,4239,7024,641,〃,〃,〃
2022-04-08,1024765,27823,11254,16608,4241,7024,641,〃,〃,〃
2022-04-09,1025136,27835,11256,16612,4241,7026,641,〃,〃,〃
2022-04-10,1025536,27841,11258,16611,4241,7028,642,〃,〃,〃
2022-04-11,1025789,27850,11258,16614,4243,7031,643,〃,〃,〃
2022-04-12,1026047,27859,11260,16613,4243,7033,644,〃,〃,〃
2022-04-13,1026296,27867,11263,16617,4243,7033,644,〃,〃,〃
2022-04-14,1026573,27878,11266,16623,4243,7034,645,〃,〃,〃
2022-04-15,1026958,27890,11271,16629,4243,7071,646,〃,〃,〃
2022-04-16,1027458,27904,11273,16631,4245,7071,646,〃,〃,〃
2022-04-17,1027871,27911,11277,16633,4245,7071,646,〃,〃,〃
2022-04-18,1028113,27920,11278,16635,4245,7088,646,〃,〃,〃
2022-04-19,1028346,27926,11281,16639,4245,7088,646,〃,〃,〃
2022-04-20,1028552,27931,11289,16639,4245,7094,646,〃,〃,〃
2022-04-21,1028771,27937,11289,16641,4245,7102,646,〃,〃,〃
2022-04-22,1029068,27949,11293,16644,4248,7108,646,〃,〃,〃
2022-04-23,1029503,27960,11295,16649,4248,7109,646,〃,〃,〃
2022-04-24,1029731,27967,11297,16651,4249,7109,646,〃,〃,〃
2022-04-25,1029905,27972,11299,16655,4250,7117,646,〃,〃,〃
2022-04-26,1030092,27977,11303,16654,4251,7117,646,〃,〃,〃
2022-04-27,1030330,27980,11304,16656,4251,7117,646,〃,〃,〃
2022-04-28,1030533,27983,11304,16659,4251,7117,646,〃,〃,〃
2022-04-29,1030879,27990,11307,16661,4252,7119,646,〃,〃,〃
2022-04-30,1031225,27997,11311,16663,4253,7122,646,〃,〃,〃
2022-05-01,1031567,28008,11315,16669,4253,7122,647,〃,〃,〃
2022-05-02,1031862,28014,11317,16672,4253,7123,647,〃,〃,〃
2022-05-03,1032143,28018,11317,16668,4253,7123,647,〃,〃,〃
2022-05-04,1032438,28026,11317,16669,4253,7124,647,〃,〃,〃
2022-05-05,1032628,28031,11317,16670,4253,7125,647,〃,〃,〃
2022-05-06,1032824,28038,11317,16674,4253,7125,647,〃,〃,〃
2022-05-07,1033027,28046,11322,16673,4253,7125,647,〃,〃,〃
2022-05-08,1033373,28053,11324,16676,4253,7125,647,〃,〃,〃
2022-05-09,1033535,28057,11326,16677,4253,7126,647,〃,〃,〃
