date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,435395,8663,3783,3531,593,3974,607,【我的世界】五道高智商推理题，你能答对几道？,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
========================
0.十分百分千分万分建议一定要看完4分22秒之后的内容
1.这期视频的风格有些“另类”（演员伴随灯光亮灭，“动”“静”结合），这也是我们对MC舞台剧风格的首次尝试...
2.本来想当一名周更Up的，结果不小心成了月更....
视频的创作过程（咕咕原因）：
第一层：还原经典测试题场景，加以文字、适当的配音，增强互动感。【其实视频能做到这份上就可以发布了】
第二层：加入动静结合、灯光灭亮的话剧形式，配以话剧音效、古典乐、材质，增强艺术感，增加视觉效果。
第三层：直接呈现立体式的音乐剧，需要复杂繁多的镜头切换和多名“演员”动作协调配合。【为此我用blockbuster操纵13名玩家录制了100多个演员动作...】
3.以后每期视频可能都会有一个沙雕好玩的、防不胜防的片头
4.开始黑白场景是用到了全黑材质+白幕（或许可以出一个bad apple？）
5.答案会在下周更新的2p里公布
（特别鸣谢：雕心画梦建筑团队）",http://i0.hdslb.com/bfs/archive/04683c141dbe4f688b52af027cff764b73696e6c.jpg
2022-01-17,435454,8665,3785,3533,593,3974,607,〃,〃,〃
2022-01-18,435754,8671,3785,3534,593,3974,607,〃,〃,〃
2022-01-19,436047,8675,3787,3535,593,3975,602,〃,〃,〃
2022-01-20,436438,8681,3790,3537,593,3977,603,〃,〃,〃
2022-01-21,436725,8686,3790,3538,594,3979,603,〃,〃,〃
2022-01-22,436906,8690,3790,3538,594,3979,604,〃,〃,〃
2022-01-23,437097,8695,3790,3539,594,3980,604,〃,〃,〃
2022-01-24,437286,8697,3790,3539,594,3981,604,〃,〃,〃
2022-01-25,437483,8700,3792,3539,594,3981,604,〃,〃,〃
2022-01-26,437674,8704,3792,3541,594,3981,604,〃,〃,〃
2022-01-27,438000,8708,3792,3544,594,3981,604,〃,〃,〃
2022-01-28,438301,8714,3794,3544,594,3985,604,〃,〃,〃
2022-01-29,438623,8718,3796,3547,594,3985,604,〃,〃,〃
2022-01-30,438928,8720,3797,3548,594,3987,609,〃,〃,〃
2022-01-31,439212,8723,3797,3548,594,3987,609,〃,〃,〃
2022-02-01,439472,8726,3797,3547,594,3987,609,〃,〃,〃
2022-02-02,439879,8733,3799,3550,594,3987,609,〃,〃,〃
2022-02-03,440157,8739,3800,3554,594,3989,609,〃,〃,〃
2022-02-04,440432,8740,3801,3556,595,3989,609,〃,〃,〃
2022-02-05,440829,8742,3801,3555,595,3989,609,〃,〃,〃
2022-02-06,441170,8743,3801,3554,595,3990,609,〃,〃,〃
2022-02-07,441635,8751,3801,3555,595,3991,609,〃,〃,〃
2022-02-08,442091,8757,3801,3556,595,3998,609,〃,〃,〃
2022-02-09,442526,8766,3803,3558,595,4000,609,〃,〃,〃
2022-02-10,442962,8769,3803,3559,595,4000,609,〃,〃,〃
2022-02-11,443333,8776,3807,3563,595,4004,609,〃,〃,〃
2022-02-12,443575,8780,3809,3565,595,4004,609,〃,〃,〃
2022-02-13,443821,8781,3811,3567,595,4004,609,〃,〃,〃
2022-02-14,444106,8784,3811,3569,595,4004,609,〃,〃,〃
2022-02-15,444326,8787,3811,3572,595,4004,609,〃,〃,〃
2022-02-16,444552,8794,3813,3573,595,4006,609,〃,〃,〃
2022-02-17,444715,8794,3813,3572,595,4006,609,〃,〃,〃
2022-02-18,444864,8796,3813,3573,595,4006,609,〃,〃,〃
2022-02-19,445100,8802,3813,3576,597,4007,609,〃,〃,〃
2022-02-20,445284,8805,3813,3577,597,4009,609,〃,〃,〃
2022-02-21,445356,8806,3813,3578,597,4009,609,〃,〃,〃
2022-02-22,445443,8806,3813,3577,597,4009,609,〃,〃,〃
2022-02-23,445518,8807,3813,3577,597,4009,609,〃,〃,〃
2022-02-24,445592,8808,3813,3577,597,4009,609,〃,〃,〃
2022-02-25,445704,8808,3813,3577,597,4009,609,〃,〃,〃
2022-02-26,445897,8808,3813,3577,597,4010,609,〃,〃,〃
2022-02-27,446079,8808,3813,3579,597,4010,609,〃,〃,〃
2022-02-28,446153,8810,3813,3580,597,4010,609,〃,〃,〃
2022-03-01,446198,8811,3813,3581,597,4010,609,〃,〃,〃
