date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,508255,23491,20568,9574,837,7916,340,【别笑】mc史上最沙雕的跑酷地图 (╯°口°)╯┴—┴,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
===================================
0.听说在圣蛋节前几天，长按推荐会欧皇一整年
1.自古2p有人看
2.这次用蛇精病的画风讲述一个蛇精病的玩家遇到蛇精病的设计师展开的一段蛇精病的跑酷故事
3.我们常常会遇到这些情况
有了好玩的地图【实况解说】或高端的技术【红石教程】，却缺乏一定的拍摄技巧来更立体展示
有了高配光影材质【光影摄影】或用心的剧本【短片短剧】，却缺乏更有意思的脑洞来充实
这次视频想做的是，将“跑酷+脑洞+原创性+红石指令+光影+航拍+搞笑风格+故事性”结合起来，全方位展现这个地图的脑洞
in other words，我们想“重新定义跑酷视频”
===================================
本期视频主要用到的BGM：
【对话】万万没想到-鼓点音乐（合成版）
【斗地主】QQ斗地主背景音乐（welcome）
【自我介绍】达拉崩吧
【金蛋工作室片头】こなたのテーマ、インドバージョン
【第一关：持节云中】BATTLE WITHOUT HONOR OR HUMANITY
【达拉救我】一剪梅
【第二关：夺命矿车】猪突猛進
【第三关：死亡玻璃桥】pvz - Loonboon IN-GAME
【上升】平衡球 - 第四关
【第四关：信仰之跃】Xenogenesis
【抬头】平衡球 - 第一关
【第五关：反重力逃亡】Crazy Woman Is Coming
【南瓜质问】平衡球 - 第七关
【德国boy】好想你（朱主爱演绎拼多多版）
===================================
【请不要在其他无关地方刷UP主】",http://i0.hdslb.com/bfs/archive/2805f6c136d2a2f249b7ce4b7ce74cbb96833f87.jpg
2022-01-17,508309,23494,20570,9572,837,7916,340,〃,〃,〃
2022-01-18,508536,23501,20574,9575,837,7921,340,〃,〃,〃
2022-01-19,508812,23518,20578,9583,837,7923,340,〃,〃,〃
2022-01-20,509088,23528,20582,9582,837,7927,340,〃,〃,〃
2022-01-21,509322,23543,20590,9583,837,7931,340,〃,〃,〃
2022-01-22,509492,23558,20594,9582,837,7935,340,〃,〃,〃
2022-01-23,509630,23562,20594,9582,837,7935,340,〃,〃,〃
2022-01-24,509778,23569,20599,9586,837,7938,340,〃,〃,〃
2022-01-25,509952,23577,20599,9583,837,7943,340,〃,〃,〃
2022-01-26,510128,23589,20604,9585,837,7944,340,〃,〃,〃
2022-01-27,510309,23596,20609,9585,837,7946,340,〃,〃,〃
2022-01-28,510485,23605,20611,9587,837,7954,340,〃,〃,〃
2022-01-29,510630,23607,20613,9587,837,7964,340,〃,〃,〃
2022-01-30,510774,23610,20615,9586,837,7968,340,〃,〃,〃
2022-01-31,510921,23612,20617,9583,837,7968,340,〃,〃,〃
2022-02-01,511086,23619,20625,9584,837,7970,340,〃,〃,〃
2022-02-02,511258,23629,20626,9585,837,7970,340,〃,〃,〃
2022-02-03,511421,23632,20629,9586,837,7971,340,〃,〃,〃
2022-02-04,511550,23641,20632,9587,837,7971,340,〃,〃,〃
2022-02-05,511745,23646,20634,9590,837,7971,340,〃,〃,〃
2022-02-06,511934,23653,20640,9592,837,7971,340,〃,〃,〃
2022-02-07,512380,23687,20654,9599,837,7983,340,〃,〃,〃
2022-02-08,512728,23698,20662,9602,837,7988,340,〃,〃,〃
2022-02-09,513008,23715,20667,9603,837,7995,340,〃,〃,〃
2022-02-10,513311,23727,20670,9602,837,8000,340,〃,〃,〃
2022-02-11,513547,23734,20676,9604,837,8002,341,〃,〃,〃
2022-02-12,513715,23742,20679,9605,837,8002,341,〃,〃,〃
2022-02-13,513923,23748,20684,9610,837,8004,341,〃,〃,〃
2022-02-14,514088,23758,20688,9612,837,8005,341,〃,〃,〃
2022-02-15,514239,23765,20696,9614,837,8007,341,〃,〃,〃
2022-02-16,514379,23770,20696,9615,837,8007,341,〃,〃,〃
2022-02-17,514457,23771,20698,9614,837,8008,341,〃,〃,〃
2022-02-18,514553,23772,20701,9615,837,8008,341,〃,〃,〃
2022-02-19,514704,23784,20702,9615,837,8010,341,〃,〃,〃
2022-02-20,514843,23788,20704,9615,837,8014,341,〃,〃,〃
2022-02-21,514898,23790,20704,9614,837,8014,341,〃,〃,〃
2022-02-22,514958,23792,20704,9615,837,8017,341,〃,〃,〃
2022-02-23,515007,23795,20704,9613,837,8017,341,〃,〃,〃
2022-02-24,515076,23801,20706,9616,837,8017,341,〃,〃,〃
2022-02-25,515181,23804,20706,9617,839,8017,341,〃,〃,〃
2022-02-26,515329,23811,20708,9616,839,8017,341,〃,〃,〃
2022-02-27,515463,23820,20713,9620,839,8017,341,〃,〃,〃
2022-02-28,515543,23824,20713,9621,839,8017,341,〃,〃,〃
2022-03-01,515596,23825,20713,9621,839,8017,341,〃,〃,〃
2022-03-02,515656,23825,20713,9622,839,8017,341,〃,〃,〃
2022-03-03,515716,23826,20715,9623,839,8018,341,〃,〃,〃
2022-03-04,515789,23829,20715,9623,839,8020,341,〃,〃,〃
2022-03-05,515917,23835,20717,9622,839,8020,341,〃,〃,〃
2022-03-06,516056,23840,20719,9621,839,8020,341,〃,〃,〃
2022-03-07,516117,23841,20721,9621,839,8022,341,〃,〃,〃
2022-03-08,516183,23841,20721,9619,839,8022,341,〃,〃,〃
2022-03-09,516239,23843,20721,9619,839,8029,341,〃,〃,〃
2022-03-10,516305,23845,20721,9619,839,8029,341,〃,〃,〃
2022-03-11,516372,23848,20723,9619,839,8029,341,〃,〃,〃
2022-03-12,516473,23851,20723,9620,839,8029,341,〃,〃,〃
2022-03-13,516561,23853,20723,9621,839,8029,341,〃,〃,〃
2022-03-14,516625,23858,20723,9620,839,8029,341,〃,〃,〃
2022-03-15,516682,23858,20723,9619,839,8029,341,〃,〃,〃
2022-03-16,516739,23860,20723,9620,839,8031,341,〃,〃,〃
2022-03-17,516816,23863,20725,9617,839,8031,341,〃,〃,〃
2022-03-18,516884,23865,20725,9618,839,8034,341,〃,〃,〃
2022-03-19,517022,23869,20728,9617,839,8034,341,〃,〃,〃
2022-03-20,517155,23872,20731,9617,839,8035,341,〃,〃,〃
2022-03-21,517221,23872,20731,9616,839,8035,341,〃,〃,〃
2022-03-22,517276,23872,20733,9617,839,8035,341,〃,〃,〃
2022-03-23,517336,23874,20733,9614,839,8037,341,〃,〃,〃
2022-03-24,517412,23877,20733,9613,839,8037,341,〃,〃,〃
2022-03-25,517479,23879,20735,9611,839,8037,341,〃,〃,〃
2022-03-26,517570,23881,20735,9609,839,8039,341,〃,〃,〃
2022-03-27,517673,23882,20735,9605,839,8040,341,〃,〃,〃
2022-03-28,517741,23884,20737,9605,839,8040,341,〃,〃,〃
2022-03-29,517806,23885,20737,9606,839,8040,341,〃,〃,〃
2022-03-30,517876,23890,20740,9606,839,8041,341,〃,〃,〃
2022-03-31,517939,23893,20742,9606,839,8044,341,〃,〃,〃
2022-04-01,518020,23895,20742,9605,841,8045,341,〃,〃,〃
2022-04-02,518090,23898,20743,9605,841,8048,341,〃,〃,〃
2022-04-03,518192,23903,20747,9606,841,8048,340,〃,〃,〃
2022-04-04,518289,23902,20747,9604,841,8051,340,〃,〃,〃
2022-04-05,518385,23908,20747,9604,841,8054,340,〃,〃,〃
2022-04-06,518475,23908,20747,9601,841,8057,340,〃,〃,〃
2022-04-07,518539,23911,20749,9600,841,8058,340,〃,〃,〃
2022-04-08,518630,23913,20751,9600,841,8062,340,〃,〃,〃
2022-04-09,518722,23918,20753,9598,841,8064,340,〃,〃,〃
2022-04-10,518833,23923,20754,9599,841,8066,340,〃,〃,〃
2022-04-11,518920,23925,20756,9596,841,8067,340,〃,〃,〃
2022-04-12,519001,23929,20763,9597,841,8070,340,〃,〃,〃
2022-04-13,519087,23931,20763,9598,841,8071,340,〃,〃,〃
2022-04-14,519155,23935,20763,9600,841,8071,340,〃,〃,〃
2022-04-15,519241,23938,20763,9599,841,8071,340,〃,〃,〃
2022-04-16,519361,23940,20767,9598,841,8073,341,〃,〃,〃
2022-04-17,519480,23948,20775,9599,841,8074,341,〃,〃,〃
2022-04-18,519554,23949,20775,9599,841,8074,341,〃,〃,〃
2022-04-19,519611,23952,20777,9598,841,8076,341,〃,〃,〃
2022-04-20,519674,23953,20777,9597,841,8079,341,〃,〃,〃
2022-04-21,519735,23954,20777,9597,841,8079,341,〃,〃,〃
2022-04-22,519810,23957,20777,9597,841,8081,341,〃,〃,〃
2022-04-23,519939,23961,20777,9599,841,8082,341,〃,〃,〃
2022-04-24,520022,23963,20778,9598,841,8082,341,〃,〃,〃
2022-04-25,520086,23964,20778,9598,841,8082,341,〃,〃,〃
2022-04-26,520153,23964,20778,9596,841,8082,341,〃,〃,〃
2022-04-27,520227,23966,20778,9595,841,8083,341,〃,〃,〃
