date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,413335,23641,5211,4136,529,942,534,用MC的方式打开《Q版泡泡堂》（原创多人对战小游戏）,"视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC

泡泡堂地图下载地址: https://pan.baidu.com/s/1gRaO2HfVdfi4OSATyA3l3w
提取码: wwcx
支持Minecraft Java版 1.12.2
金蛋工作室原创，转载时请注明作者GoldenEggs
=====================
【请不要在其他无关地方刷UP主】",http://i2.hdslb.com/bfs/archive/1e7cbdd26b6b1bfd351d79902ea292e4eb3ad6bf.jpg
2022-01-17,413368,23641,5211,4135,529,943,534,〃,〃,〃
2022-01-18,413518,23645,5211,4136,529,943,534,〃,〃,〃
2022-01-19,413694,23652,5213,4139,529,943,534,〃,〃,〃
2022-01-20,413857,23657,5215,4140,530,943,534,〃,〃,〃
2022-01-21,413992,23657,5215,4140,530,944,534,〃,〃,〃
2022-01-22,414090,23657,5215,4139,530,944,534,〃,〃,〃
2022-01-23,414195,23659,5217,4137,530,944,534,〃,〃,〃
2022-01-24,414323,23661,5217,4138,530,944,534,〃,〃,〃
2022-01-25,414441,23662,5217,4138,530,944,534,〃,〃,〃
2022-01-26,414542,23665,5219,4140,530,946,534,〃,〃,〃
2022-01-27,414677,23669,5219,4141,530,946,534,〃,〃,〃
2022-01-28,414807,23670,5221,4138,530,946,534,〃,〃,〃
2022-01-29,414912,23672,5221,4138,530,946,534,〃,〃,〃
2022-01-30,415031,23673,5221,4137,530,946,534,〃,〃,〃
2022-01-31,415127,23674,5221,4136,530,946,534,〃,〃,〃
2022-02-01,415246,23678,5221,4137,530,946,534,〃,〃,〃
2022-02-02,415351,23678,5221,4136,530,946,534,〃,〃,〃
2022-02-03,415455,23677,5221,4138,530,946,534,〃,〃,〃
2022-02-04,415559,23678,5221,4136,530,946,534,〃,〃,〃
2022-02-05,415673,23680,5221,4136,530,946,534,〃,〃,〃
2022-02-06,415818,23684,5221,4137,530,946,534,〃,〃,〃
2022-02-07,416044,23689,5221,4137,531,946,534,〃,〃,〃
2022-02-08,416217,23694,5223,4137,531,946,534,〃,〃,〃
2022-02-09,416381,23699,5223,4138,531,946,534,〃,〃,〃
2022-02-10,416545,23700,5223,4137,531,946,534,〃,〃,〃
2022-02-11,416699,23703,5227,4139,531,946,534,〃,〃,〃
2022-02-12,416851,23705,5227,4138,531,946,534,〃,〃,〃
2022-02-13,417006,23706,5228,4138,531,946,534,〃,〃,〃
2022-02-14,417144,23707,5228,4138,531,946,535,〃,〃,〃
2022-02-15,417248,23708,5228,4139,531,946,535,〃,〃,〃
2022-02-16,417337,23709,5230,4139,531,946,535,〃,〃,〃
2022-02-17,417394,23712,5230,4140,531,946,535,〃,〃,〃
2022-02-18,417475,23713,5230,4141,531,946,535,〃,〃,〃
2022-02-19,417593,23714,5230,4141,531,946,535,〃,〃,〃
2022-02-20,417692,23716,5232,4143,531,946,535,〃,〃,〃
2022-02-21,417736,23716,5232,4142,531,946,535,〃,〃,〃
2022-02-22,417778,23716,5232,4142,531,946,535,〃,〃,〃
2022-02-23,417821,23716,5232,4143,531,946,535,〃,〃,〃
2022-02-24,417871,23717,5232,4143,531,946,535,〃,〃,〃
2022-02-25,417947,23718,5232,4143,531,946,535,〃,〃,〃
2022-02-26,418057,23721,5232,4143,531,946,535,〃,〃,〃
2022-02-27,418159,23721,5232,4142,531,946,535,〃,〃,〃
2022-02-28,418198,23721,5232,4142,531,946,535,〃,〃,〃
2022-03-01,418232,23721,5232,4143,531,946,535,〃,〃,〃
2022-03-02,418273,23721,5232,4143,531,946,535,〃,〃,〃
2022-03-03,418312,23721,5232,4142,531,946,535,〃,〃,〃
2022-03-04,418372,23722,5232,4144,531,946,535,〃,〃,〃
2022-03-05,418496,23725,5232,4143,531,946,535,〃,〃,〃
2022-03-06,418586,23725,5232,4143,531,946,535,〃,〃,〃
2022-03-07,418626,23726,5232,4144,531,946,535,〃,〃,〃
2022-03-08,418669,23725,5232,4143,531,946,535,〃,〃,〃
2022-03-09,418722,23725,5232,4143,531,946,535,〃,〃,〃
2022-03-10,418758,23726,5232,4143,531,946,535,〃,〃,〃
2022-03-11,418797,23726,5236,4144,531,946,535,〃,〃,〃
2022-03-12,418875,23727,5236,4145,531,946,535,〃,〃,〃
2022-03-13,418971,23728,5236,4141,531,946,535,〃,〃,〃
2022-03-14,419001,23729,5236,4139,531,946,535,〃,〃,〃
2022-03-15,419033,23730,5236,4138,531,946,535,〃,〃,〃
2022-03-16,419060,23731,5236,4138,531,946,535,〃,〃,〃
2022-03-17,419097,23731,5236,4136,531,946,535,〃,〃,〃
2022-03-18,419140,23731,5236,4135,531,946,535,〃,〃,〃
