date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1746306,114939,84281,81242,28717,14270,3731,燃烧我的语文书！！！（我的世界乱入）,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
=============
1.事实证明，用《卡路里》背诗不仅事半功倍，还能收获语文老师关切的目光呢
2.这次视频本来是打算除夕发的......结果低估了工作量咕咕到现在......那不如就提前过明年除夕呗
3.计数菌の挑战：本期视频一共用MC还原了几首诗词的场景？
【请不要在其他无关地方刷UP主】
=============
本期视频主要用到的BGM：
【开头】春节序曲
【原曲】卡路里
=============",http://i0.hdslb.com/bfs/archive/6ff6c8c5d5ddfa41f11e7db95061e42b3d783213.jpg
2022-01-17,1746393,114942,84281,81243,28718,14270,3731,〃,〃,〃
2022-01-18,1746774,114962,84293,81252,28720,14271,3734,〃,〃,〃
2022-01-19,1747253,114982,84297,81252,28722,14272,3735,〃,〃,〃
2022-01-20,1747753,115000,84312,81244,28725,14272,3735,〃,〃,〃
2022-01-21,1748209,115019,84332,81238,28728,14277,3735,〃,〃,〃
2022-01-22,1748578,115031,84337,81228,28730,14278,3735,〃,〃,〃
2022-01-23,1749009,115041,84343,81223,28734,14278,3735,〃,〃,〃
2022-01-24,1749461,115056,84346,81213,28739,14278,3736,〃,〃,〃
2022-01-25,1749900,115067,84349,81212,28741,14280,3736,〃,〃,〃
2022-01-26,1750261,115082,84356,81202,28742,14281,3680,〃,〃,〃
2022-01-27,1750748,115103,84359,81199,28746,14282,3680,〃,〃,〃
2022-01-28,1751252,115119,84367,81200,28748,14282,3680,〃,〃,〃
2022-01-29,1751772,115142,84371,81198,28753,14282,3680,〃,〃,〃
2022-01-30,1752218,115156,84374,81185,28755,14282,3680,〃,〃,〃
2022-01-31,1752578,115164,84377,81178,28758,14283,3680,〃,〃,〃
2022-02-01,1752935,115178,84380,81169,28759,14284,3680,〃,〃,〃
2022-02-02,1753308,115185,84386,81153,28761,14284,3680,〃,〃,〃
2022-02-03,1753621,115193,84390,81148,28763,14284,3680,〃,〃,〃
2022-02-04,1753895,115199,84390,81132,28764,14285,3680,〃,〃,〃
2022-02-05,1754246,115207,84391,81124,28767,14285,3680,〃,〃,〃
2022-02-06,1754614,115215,84393,81112,28767,14285,3680,〃,〃,〃
2022-02-07,1755173,115241,84396,81111,28769,14285,3680,〃,〃,〃
2022-02-08,1755685,115256,84400,81098,28770,14285,3683,〃,〃,〃
2022-02-09,1756096,115278,84407,81092,28771,14285,3683,〃,〃,〃
2022-02-10,1756584,115281,84409,81079,28772,14285,3683,〃,〃,〃
2022-02-11,1756956,115289,84415,81071,28774,14287,3683,〃,〃,〃
2022-02-12,1757337,115299,84419,81057,28774,14288,3683,〃,〃,〃
2022-02-13,1757628,115307,84419,81047,28775,14291,3683,〃,〃,〃
2022-02-14,1757970,115316,84421,81037,28776,14292,3683,〃,〃,〃
2022-02-15,1758261,115324,84427,81035,28777,14292,3683,〃,〃,〃
2022-02-16,1758536,115332,84428,81022,28778,14300,3683,〃,〃,〃
2022-02-17,1758766,115342,84434,81026,28780,14300,3683,〃,〃,〃
2022-02-18,1759125,115350,84437,81024,28784,14300,3683,〃,〃,〃
2022-02-19,1759626,115372,84441,81026,28785,14303,3683,〃,〃,〃
2022-02-20,1760004,115388,84449,81031,28788,14304,3683,〃,〃,〃
2022-02-21,1760187,115397,84450,81037,28790,14306,3683,〃,〃,〃
2022-02-22,1760370,115400,84450,81037,28792,14307,3683,〃,〃,〃
2022-02-23,1760600,115407,84451,81033,28793,14307,3683,〃,〃,〃
2022-02-24,1760800,115413,84455,81027,28795,14307,3683,〃,〃,〃
2022-02-25,1761112,115424,84461,81024,28795,14307,3683,〃,〃,〃
2022-02-26,1761757,115438,84467,81026,28798,14310,3683,〃,〃,〃
2022-02-27,1762262,115454,84471,81022,28802,14315,3683,〃,〃,〃
2022-02-28,1762484,115464,84474,81026,28804,14317,3683,〃,〃,〃
2022-03-01,1762738,115474,84476,81027,28808,14317,3683,〃,〃,〃
2022-03-02,1762946,115482,84483,81035,28808,14317,3683,〃,〃,〃
2022-03-03,1763159,115489,84491,81036,28808,14323,3683,〃,〃,〃
2022-03-04,1763442,115494,84495,81039,28812,14323,3683,〃,〃,〃
2022-03-05,1764094,115516,84506,81047,28814,14324,3683,〃,〃,〃
2022-03-06,1764773,115536,84517,81053,28816,14328,3684,〃,〃,〃
2022-03-07,1765019,115548,84517,81054,28818,14329,3684,〃,〃,〃
2022-03-08,1765285,115558,84523,81057,28819,14329,3684,〃,〃,〃
2022-03-09,1765483,115564,84527,81061,28819,14331,3684,〃,〃,〃
2022-03-10,1765632,115569,84528,81059,28821,14331,3684,〃,〃,〃
2022-03-11,1765811,115572,84528,81062,28821,14331,3684,〃,〃,〃
2022-03-12,1766117,115583,84537,81060,28823,14331,3684,〃,〃,〃
2022-03-13,1766365,115593,84539,81056,28825,14331,3685,〃,〃,〃
2022-03-14,1766467,115594,84539,81050,28827,14331,3685,〃,〃,〃
2022-03-15,1766571,115600,84541,81046,28827,14335,3685,〃,〃,〃
2022-03-16,1766708,115604,84542,81038,28827,14336,3685,〃,〃,〃
2022-03-17,1766825,115606,84544,81035,28827,14336,3685,〃,〃,〃
2022-03-18,1766970,115611,84546,81034,28829,14337,3685,〃,〃,〃
2022-03-19,1767238,115617,84547,81030,28834,14337,3685,〃,〃,〃
2022-03-20,1767454,115624,84551,81028,28837,14337,3685,〃,〃,〃
2022-03-21,1767564,115625,84553,81019,28837,14337,3685,〃,〃,〃
2022-03-22,1767679,115631,84555,81018,28838,14337,3685,〃,〃,〃
2022-03-23,1767814,115636,84557,81011,28840,14347,3685,〃,〃,〃
2022-03-24,1767947,115638,84557,81000,28840,14348,3685,〃,〃,〃
2022-03-25,1768095,115646,84562,80996,28841,14348,3685,〃,〃,〃
2022-03-26,1768315,115648,84562,80985,28841,14348,3685,〃,〃,〃
2022-03-27,1768516,115656,84570,80980,28842,14348,3685,〃,〃,〃
2022-03-28,1768608,115659,84572,80973,28843,14348,3685,〃,〃,〃
2022-03-29,1768722,115661,84572,80967,28843,14348,3685,〃,〃,〃
2022-03-30,1768843,115665,84573,80961,28843,14349,3685,〃,〃,〃
2022-03-31,1768968,115671,84576,80952,28843,14349,3685,〃,〃,〃
2022-04-01,1769073,115673,84578,80944,28844,14349,3685,〃,〃,〃
2022-04-02,1769199,115672,84578,80932,28844,14351,3685,〃,〃,〃
2022-04-03,1769363,115677,84578,80922,28844,14351,3685,〃,〃,〃
2022-04-04,1769511,115681,84578,80907,28844,14352,3685,〃,〃,〃
2022-04-05,1769675,115689,84582,80900,28844,14353,3685,〃,〃,〃
2022-04-06,1769766,115692,84584,80894,28845,14353,3685,〃,〃,〃
2022-04-07,1769874,115695,84586,80884,28845,14353,3685,〃,〃,〃
2022-04-08,1769983,115698,84588,80881,28845,14353,3685,〃,〃,〃
2022-04-09,1770161,115704,84588,80866,28846,14353,3685,〃,〃,〃
2022-04-10,1770314,115710,84594,80858,28846,14353,3685,〃,〃,〃
2022-04-11,1770411,115712,84594,80850,28848,14354,3685,〃,〃,〃
2022-04-12,1770503,115714,84595,80846,28850,14354,3685,〃,〃,〃
2022-04-13,1770597,115717,84595,80845,28850,14354,3685,〃,〃,〃
2022-04-14,1770698,115722,84597,80838,28852,14355,3685,〃,〃,〃
2022-04-15,1770818,115728,84600,80833,28853,14355,3685,〃,〃,〃
2022-04-16,1770994,115734,84603,80820,28853,14355,3685,〃,〃,〃
2022-04-17,1771137,115739,84608,80816,28857,14355,3685,〃,〃,〃
2022-04-18,1771262,115746,84613,80813,28858,14356,3685,〃,〃,〃
2022-04-19,1771376,115750,84615,80810,28861,14356,3685,〃,〃,〃
2022-04-20,1771481,115753,84619,80806,28861,14356,3685,〃,〃,〃
2022-04-21,1771590,115757,84623,80808,28861,14357,3685,〃,〃,〃
