date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-07-30,62991,11641,2271,1411,413,791,252,MC 1.20 绝 密 内 容 曝 光,"1.有些设计师在用户头上悬挂一个钓竿，只不过诱饵并非钻石。
2.“刚出生的婴儿又有什么用呢？”创意提供者花岗岩先生如是说道。
===============
企划&拍摄 GoWon7
文案 GoWon7 LongingCha
配音 _小兰喵_
创意 GoWon7 ABCwewe
地图&Logo GoldenEggs_Block
材质 葫芦涂
剪辑 GoWon7 GoldenEggs_Block
猪灵模型来自 田头MichaelCreeper
===============
本期用到的BGM：
【开场】Destination DC
【第一节】Blue
【第二节】Shake Down
【第三节】Life In the Fast Lane
【结尾】你 被 骗 了
===============
本期用到的MOD：
Bluckbuster
Aperture",http://i0.hdslb.com/bfs/archive/8509727d051a133d759a60bb6f041bcc31f33d00.jpg
2022-07-31,87155,16153,2694,1946,532,971,279,我的世界2.0机密内容泄露,"1.有些设计师在用户头上悬挂一个钓竿，只不过诱饵并非钻石。
2.“刚出生的婴儿又有什么用呢？”创意提供者花岗岩先生如是说道。
===============
企划&拍摄 GoWon7
文案 GoWon7 LongingCha
配音 _小兰喵_
创意 GoWon7 ABCwewe
地图&Logo GoldenEggs_Block
材质 葫芦涂
剪辑 GoWon7 GoldenEggs_Block
猪灵模型 田头MichaelCreeper
===============
本期用到的BGM：
【开场】Destination DC
【第一节】Blue
【第二节】Shake Down
【第三节】Life In the Fast Lane
【结尾】你 被 骗 了
===============
本期用到的MOD：
Bluckbuster
Aperture",http://i2.hdslb.com/bfs/archive/98906dd6e7d5593e8544a7efcbc6e7ea39eb5299.jpg
2022-08-01,102600,19564,2901,2305,608,1202,295,〃,〃,〃
2022-08-02,111512,21461,3012,2512,645,1268,305,〃,〃,〃
2022-08-03,117718,22339,3086,2599,677,1306,311,〃,〃,〃
2022-08-04,121208,22818,3162,2666,689,1327,315,〃,〃,〃
2022-08-07,135978,24195,3321,3004,730,1382,323,〃,〃,〃
2022-08-08,140861,24553,3351,3143,738,1392,324,〃,〃,〃
2022-08-09,145040,24873,3405,3253,748,1401,326,〃,〃,〃
2022-08-10,149679,25183,3453,3356,754,1420,328,〃,〃,〃
2022-08-11,153137,25549,3496,3447,758,1434,332,〃,〃,〃
2022-08-12,156639,26051,3525,3542,769,1445,338,〃,〃,〃
2022-08-13,159749,26331,3555,3626,772,1449,338,〃,〃,〃
2022-08-14,163292,26777,3592,3709,781,1479,341,〃,〃,〃
2022-08-15,169388,27404,3650,3858,791,1488,344,〃,〃,〃
2022-08-16,175733,28054,3707,4069,798,1505,345,〃,〃,〃
2022-08-17,180432,28638,3726,4189,808,1524,347,〃,〃,〃
2022-08-18,184299,29030,3765,4295,810,1532,352,〃,〃,〃
2022-08-19,188143,29410,3797,4388,823,1539,354,〃,〃,〃
2022-08-20,192050,30221,3837,4538,835,1567,357,〃,〃,〃
2022-08-21,196061,30617,3869,4629,841,1581,359,〃,〃,〃
2022-08-22,200096,30894,3896,4731,852,1588,361,〃,〃,〃
2022-08-23,203121,31108,3924,4779,867,1608,361,〃,〃,〃
2022-08-24,206266,31348,3954,4867,871,1621,361,〃,〃,〃
2022-08-25,212434,31899,4014,5102,877,1639,362,〃,〃,〃
2022-08-26,216790,32195,4053,5263,879,1646,364,〃,〃,〃
2022-08-27,218677,32290,4064,5295,883,1662,365,〃,〃,〃
2022-08-28,220365,32373,4071,5326,886,1664,365,〃,〃,〃
2022-08-29,221632,32413,4075,5331,886,1664,365,〃,〃,〃
2022-08-30,222928,32453,4078,5340,890,1667,367,〃,〃,〃
2022-08-31,224396,32503,4086,5359,894,1671,367,〃,〃,〃
2022-09-01,224994,32518,4091,5361,895,1673,367,〃,〃,〃
2022-09-02,226560,32540,4102,5389,896,1679,367,〃,〃,〃
2022-09-03,228650,32586,4111,5426,897,1681,368,〃,〃,〃
2022-09-04,230228,32619,4111,5444,901,1685,368,〃,〃,〃
2022-09-05,230753,32637,4117,5450,901,1686,368,〃,〃,〃
2022-09-06,231067,32647,4119,5455,901,1686,368,〃,〃,〃
2022-09-07,231484,32660,4123,5461,901,1689,368,〃,〃,〃
2022-09-08,231858,32673,4123,5466,901,1689,369,〃,〃,〃
2022-09-09,232441,32693,4127,5473,904,1689,369,〃,〃,〃
2022-09-10,233773,32728,4135,5481,905,1690,370,〃,〃,〃
2022-09-11,235002,32763,4146,5493,907,1698,370,〃,〃,〃
2022-09-12,235879,32787,4148,5503,907,1700,370,〃,〃,〃
2022-09-13,236246,32799,4148,5509,907,1700,370,〃,〃,〃
