date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1820115,115408,28099,30638,5045,4354,846,MC 1.20 机 密 内 容 泄 露,"【更新日志】
* 修复了附着方块的阴影BUG
* 修复了某些字幕错误
* 在过山车段添加了窒息音效
* 移除Herobrine
* 更新了标题的版本号
=================
当所有人都以为愚人节更新时，何尝不是一个愚人节玩笑呢
创意：GoWon7
文案：GoWon7、Zhuym
配音：_小兰喵_
材质：Zhuym
拍摄：GoWon7 SilverEggs
剪辑：SilverEggs
英文字幕：LongingCha
音符盒音效：LongingCha
使用模组：Blockbuster、Aperture
=================
本期用到的BGM
开头：BS news jingle
上半场：Red
下半场：New Age（Original Mix）
=================
本期用到的MOD
BlockBuster
Aperture
minema
flexfov",http://i0.hdslb.com/bfs/archive/86a0391639d9c5270710e86df20cac00d1a62673.jpg
2022-01-17,1820350,115418,28101,30638,5045,4355,846,〃,〃,〃
2022-01-18,1821464,115451,28117,30648,5045,4364,846,〃,〃,〃
2022-01-19,1822650,115492,28132,30653,5045,4364,846,〃,〃,〃
2022-01-20,1824110,115531,28139,30654,5045,4367,849,〃,〃,〃
2022-01-21,1825098,115560,28142,30654,5046,4369,849,〃,〃,〃
2022-01-22,1825699,115579,28153,30654,5046,4369,849,〃,〃,〃
2022-01-23,1826256,115602,28157,30655,5046,4371,849,〃,〃,〃
2022-01-24,1826904,115619,28162,30656,5049,4373,849,〃,〃,〃
2022-01-25,1827564,115638,28162,30654,5049,4373,849,〃,〃,〃
2022-01-26,1828124,115658,28166,30655,5050,4376,849,〃,〃,〃
2022-01-27,1828843,115672,28172,30651,5050,4380,849,〃,〃,〃
2022-01-28,1829585,115689,28176,30648,5050,4380,850,〃,〃,〃
2022-01-29,1830287,115705,28179,30646,5050,4382,850,〃,〃,〃
2022-01-30,1830902,115720,28187,30639,5050,4384,850,〃,〃,〃
2022-01-31,1831413,115725,28192,30635,5050,4384,850,〃,〃,〃
2022-02-01,1832171,115743,28198,30634,5050,4385,852,〃,〃,〃
2022-02-02,1832850,115755,28198,30632,5050,4387,852,〃,〃,〃
2022-02-03,1833534,115771,28200,30632,5050,4387,852,〃,〃,〃
2022-02-04,1834294,115780,28202,30630,5050,4392,852,〃,〃,〃
2022-02-05,1834957,115800,28203,30629,5050,4393,853,〃,〃,〃
2022-02-06,1835645,115821,28211,30641,5050,4393,853,〃,〃,〃
2022-02-07,1837182,115870,28227,30653,5050,4400,853,〃,〃,〃
2022-02-08,1838154,115898,28232,30654,5050,4403,854,〃,〃,〃
2022-02-09,1838967,115915,28236,30659,5050,4405,854,〃,〃,〃
2022-02-10,1839836,115941,28236,30663,5050,4407,854,〃,〃,〃
2022-02-11,1840643,115962,28242,30661,5050,4408,854,〃,〃,〃
2022-02-12,1841321,115980,28244,30655,5050,4409,854,〃,〃,〃
2022-02-13,1841994,115998,28251,30648,5050,4413,851,〃,〃,〃
2022-02-14,1842575,116004,28251,30647,5050,4413,851,〃,〃,〃
2022-02-15,1843072,116010,28251,30644,5050,4413,851,〃,〃,〃
2022-02-16,1843515,116023,28255,30642,5050,4413,851,〃,〃,〃
2022-02-17,1843866,116029,28256,30638,5050,4413,851,〃,〃,〃
2022-02-18,1844278,116036,28258,30639,5052,4413,851,〃,〃,〃
2022-02-19,1844945,116048,28258,30635,5052,4413,851,〃,〃,〃
2022-02-20,1845541,116060,28258,30634,5053,4414,851,〃,〃,〃
2022-02-21,1845784,116064,28259,30633,5053,4414,851,〃,〃,〃
2022-02-22,1846059,116068,28259,30634,5053,4414,852,〃,〃,〃
2022-02-23,1846328,116075,28259,30631,5053,4414,852,〃,〃,〃
2022-02-24,1846595,116075,28259,30625,5054,4414,852,〃,〃,〃
2022-02-25,1846931,116081,28261,30623,5054,4414,853,〃,〃,〃
2022-02-26,1847516,116095,28263,30623,5054,4416,853,〃,〃,〃
2022-02-27,1848078,116106,28267,30623,5054,4416,853,〃,〃,〃
2022-02-28,1848324,116110,28269,30619,5054,4416,853,〃,〃,〃
2022-03-01,1848510,116111,28269,30616,5054,4418,853,〃,〃,〃
2022-03-02,1848716,116111,28269,30616,5054,4418,853,〃,〃,〃
2022-03-03,1848947,116115,28271,30618,5054,4418,853,〃,〃,〃
2022-03-04,1849283,116120,28271,30615,5054,4418,853,〃,〃,〃
2022-03-05,1849983,116138,28273,30611,5054,4419,853,〃,〃,〃
2022-03-06,1850604,116147,28273,30607,5054,4419,853,〃,〃,〃
