date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,2658929,133077,118000,62548,8992,10097,1228,我 的 猫 和 老 鼠,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
===================================
1.这期视频走猎奇崩坏路线，请年满18岁的成年人在未成年人的指导下观看
2.猫和老鼠可能是世界上最早疯狂踩点的番
3.高数如果不挂科就加更一期
===================================
本期视频主要用到的BGM：
【结尾花絮】Nyan Cat（彩虹猫）MIDI
===================================
【请不要在其他无关地方刷UP主】",http://i0.hdslb.com/bfs/archive/4b67f2407eaf846473bee41a89e3ea2f92c68fd7.jpg
2022-01-17,2659249,133086,118006,62550,8993,10097,1228,〃,〃,〃
2022-01-18,2661209,133138,118027,62554,8994,10098,1228,〃,〃,〃
2022-01-19,2663469,133205,118053,62575,8996,10103,1229,〃,〃,〃
2022-01-20,2665622,133246,118071,62574,8997,10103,1230,〃,〃,〃
2022-01-21,2667453,133279,118087,62574,8997,10103,1230,〃,〃,〃
2022-01-22,2669435,133301,118102,62567,8997,10104,1230,〃,〃,〃
2022-01-23,2671213,133326,118116,62578,8997,10107,1230,〃,〃,〃
2022-01-24,2673508,133355,118129,62583,8998,10111,1230,〃,〃,〃
2022-01-25,2675775,133393,118152,62579,9000,10112,1230,〃,〃,〃
2022-01-26,2678353,133423,118163,62586,9001,10113,1230,〃,〃,〃
2022-01-27,2682136,133462,118179,62597,9004,10115,1230,〃,〃,〃
2022-01-28,2685991,133489,118190,62597,9006,10115,1230,〃,〃,〃
2022-01-29,2688858,133517,118206,62597,9006,10124,1230,〃,〃,〃
2022-01-30,2691799,133539,118215,62602,9007,10124,1230,〃,〃,〃
2022-01-31,2694151,133552,118220,62607,9008,10124,1230,〃,〃,〃
2022-02-01,2696421,133578,118227,62602,9010,10125,1228,〃,〃,〃
2022-02-02,2698828,133602,118235,62611,9011,10127,1228,〃,〃,〃
2022-02-03,2701815,133634,118249,62618,9013,10129,1228,〃,〃,〃
2022-02-04,2704583,133670,118269,62619,9013,10132,1228,〃,〃,〃
2022-02-05,2707957,133700,118283,62614,9013,10140,1228,〃,〃,〃
2022-02-06,2711577,133736,118296,62620,9013,10141,1228,〃,〃,〃
2022-02-07,2715198,133792,118330,62642,9013,10142,1228,〃,〃,〃
2022-02-08,2718842,133830,118354,62653,9014,10145,1228,〃,〃,〃
2022-02-09,2722405,133874,118380,62667,9014,10149,1228,〃,〃,〃
2022-02-10,2727071,133903,118389,62677,9014,10154,1228,〃,〃,〃
2022-02-11,2730755,133928,118407,62681,9016,10155,1228,〃,〃,〃
2022-02-12,2733807,133945,118418,62687,9016,10155,1228,〃,〃,〃
2022-02-13,2737137,133967,118425,62698,9018,10157,1228,〃,〃,〃
2022-02-14,2740587,133992,118438,62709,9018,10159,1228,〃,〃,〃
2022-02-15,2743592,134005,118444,62712,9019,10159,1228,〃,〃,〃
2022-02-16,2745704,134023,118448,62711,9020,10160,1228,〃,〃,〃
2022-02-17,2747645,134037,118456,62712,9020,10160,1231,〃,〃,〃
2022-02-18,2750482,134073,118470,62726,9020,10160,1231,〃,〃,〃
2022-02-19,2754788,134105,118481,62749,9021,10162,1231,〃,〃,〃
2022-02-20,2758258,134131,118499,62766,9021,10167,1232,〃,〃,〃
2022-02-21,2759834,134144,118504,62775,9021,10168,1232,〃,〃,〃
2022-02-22,2762279,134159,118511,62783,9022,10170,1232,〃,〃,〃
