date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,276075,7855,4490,6270,1771,1760,820,【背书神曲】《刚好遇见-琵琶行》,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
==============
琵琶行完整修复版，更新内容如下
1.完整版，刚好等于《刚好遇见你》两遍
2.葛平不再高音炮
3.大量滑音，葛平声音更自然
4.修改部分断句
5.歌词更加精致
6.精美的MINECRAFT光影地图拍摄
7.2p为伴奏",http://i1.hdslb.com/bfs/archive/d19a58a1c9ed99e0c3f47ee93f1ed164f41a28b8.jpg
2022-01-17,276098,7855,4490,6270,1771,1760,820,〃,〃,〃
2022-01-18,276237,7858,4490,6275,1771,1760,820,〃,〃,〃
2022-01-19,276377,7861,4491,6276,1771,1760,820,〃,〃,〃
2022-01-20,276533,7863,4491,6275,1771,1760,820,〃,〃,〃
2022-01-21,276645,7863,4491,6273,1771,1761,820,〃,〃,〃
2022-01-22,276756,7864,4491,6270,1771,1761,820,〃,〃,〃
2022-01-23,276862,7869,4493,6270,1771,1761,820,〃,〃,〃
2022-01-24,276968,7870,4493,6269,1771,1761,820,〃,〃,〃
2022-01-25,277078,7873,4495,6269,1771,1761,820,〃,〃,〃
2022-01-26,277172,7877,4495,6269,1771,1761,820,〃,〃,〃
2022-01-27,277298,7880,4496,6269,1771,1761,820,〃,〃,〃
2022-01-28,277436,7882,4498,6270,1771,1778,820,〃,〃,〃
2022-01-29,277594,7883,4498,6267,1771,1803,820,〃,〃,〃
2022-01-30,277717,7887,4500,6268,1771,1803,820,〃,〃,〃
2022-01-31,277819,7889,4500,6269,1771,1803,820,〃,〃,〃
2022-02-01,277959,7890,4500,6266,1771,1805,820,〃,〃,〃
2022-02-02,278124,7892,4500,6268,1771,1805,820,〃,〃,〃
2022-02-03,278249,7896,4501,6269,1771,1805,820,〃,〃,〃
2022-02-04,278344,7897,4501,6270,1771,1805,820,〃,〃,〃
2022-02-05,278454,7901,4503,6272,1772,1805,820,〃,〃,〃
