date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,95044,12822,2046,1994,244,402,370,我们为粉丝准备了一个解谜挑战...（GoldenEggs）,"命题:GoWon7  GoldenEggs_Block  Yong_Hu_Ming  DeepBlue_IX  JP Jalapeno  Longingcha
文案:DeepBlue_IX  JP Jalapeno  LongingCha
剪辑:DeepBlue_IX
剪辑修复：GoldenEggs_Block
拍摄&字幕:Yong_Hu_Ming
配音:_小兰喵_  风谨言  LittleDream

GoldenEggs 100,0000｜感谢有你",http://i1.hdslb.com/bfs/archive/b398dbaec4905534b8c7624852a79bc8141ee8ac.jpg
2022-01-17,95446,12846,2048,1999,244,404,370,〃,〃,〃
2022-01-18,96877,12932,2058,2014,246,406,370,〃,〃,〃
2022-01-19,98758,13046,2072,2037,247,412,371,〃,〃,〃
2022-01-20,100227,13150,2090,2046,251,418,371,〃,〃,〃
2022-01-21,101699,13270,2106,2074,255,419,373,〃,〃,〃
2022-01-22,102537,13306,2108,2079,255,421,373,〃,〃,〃
2022-01-23,103188,13347,2110,2083,256,423,373,〃,〃,〃
2022-01-24,103836,13387,2117,2090,258,424,374,〃,〃,〃
2022-01-25,104494,13443,2124,2098,258,426,374,〃,〃,〃
2022-01-26,105132,13489,2133,2099,260,429,375,〃,〃,〃
2022-01-27,105754,13529,2139,2104,261,431,375,〃,〃,〃
2022-01-28,106460,13567,2141,2105,262,438,375,我们为你准备了一个解密挑战...（GoldenEggs / 谜题活动答案详解）,〃,〃
2022-01-29,107059,13603,2153,2107,265,440,376,〃,〃,〃
2022-01-30,107594,13633,2161,2115,267,445,377,〃,〃,〃
2022-01-31,108192,13666,2164,2118,269,449,377,〃,〃,〃
2022-02-01,109541,13750,2170,2131,270,450,380,我们为你准备了一个解谜挑战...（GoldenEggs / 谜题活动答案详解）,〃,〃
2022-02-02,110350,13788,2176,2132,270,449,380,〃,〃,〃
2022-02-03,111047,13838,2181,2140,272,452,382,〃,〃,〃
2022-02-04,111740,13871,2185,2144,274,453,382,〃,〃,〃
2022-02-05,112356,13909,2189,2148,275,454,382,〃,〃,〃
2022-02-06,112865,13938,2191,2152,275,456,383,〃,〃,〃
2022-02-07,114030,14006,2209,2164,278,460,385,〃,〃,〃
2022-02-08,114656,14041,2213,2171,278,463,385,〃,〃,〃
2022-02-09,115169,14076,2221,2173,278,465,385,〃,〃,〃
2022-02-10,115591,14091,2221,2173,280,465,385,〃,〃,〃
2022-02-11,115971,14114,2224,2178,281,466,385,〃,〃,〃
2022-02-12,116301,14123,2228,2180,281,466,385,〃,〃,〃
2022-02-13,116583,14133,2230,2182,282,466,385,〃,〃,〃
2022-02-14,116891,14147,2232,2184,283,466,385,〃,〃,〃
2022-02-15,117197,14157,2235,2185,284,467,385,〃,〃,〃
2022-02-16,117434,14167,2237,2188,285,468,386,〃,〃,〃
2022-02-17,117597,14171,2237,2188,285,470,386,〃,〃,〃
2022-02-18,117738,14177,2237,2189,286,470,386,〃,〃,〃
2022-02-19,118002,14186,2239,2195,289,472,386,〃,〃,〃
2022-02-20,118220,14196,2239,2195,289,472,386,〃,〃,〃
2022-02-21,118345,14201,2242,2195,290,472,386,〃,〃,〃
2022-02-22,118485,14202,2242,2195,290,472,386,〃,〃,〃
2022-02-23,118586,14204,2242,2196,290,472,386,〃,〃,〃
2022-02-24,118709,14212,2244,2195,290,473,386,〃,〃,〃
2022-02-25,118826,14222,2245,2196,290,473,386,〃,〃,〃
2022-02-26,119077,14231,2247,2197,290,474,387,〃,〃,〃
2022-02-27,119329,14241,2247,2197,290,474,387,〃,〃,〃
2022-02-28,119414,14244,2247,2197,290,474,387,〃,〃,〃
2022-03-01,119481,14245,2247,2197,290,474,388,〃,〃,〃
2022-03-02,119560,14249,2247,2198,291,474,388,〃,〃,〃
2022-03-03,119628,14249,2247,2198,291,475,388,〃,〃,〃
2022-03-04,119749,14252,2247,2199,291,475,388,〃,〃,〃
2022-03-05,119956,14263,2247,2202,292,477,388,〃,〃,〃
2022-03-06,120161,14271,2248,2203,292,480,388,〃,〃,〃
2022-03-07,120249,14273,2248,2202,292,480,388,〃,〃,〃
2022-03-08,120338,14277,2248,2202,292,480,388,〃,〃,〃
2022-03-09,120400,14279,2248,2202,292,480,388,〃,〃,〃
2022-03-10,120469,14280,2248,2201,293,480,389,〃,〃,〃
2022-03-11,120556,14283,2248,2200,293,480,389,〃,〃,〃
2022-03-12,120753,14287,2248,2199,293,479,389,〃,〃,〃
2022-03-13,120922,14296,2248,2200,293,479,389,〃,〃,〃
2022-03-14,121004,14298,2249,2201,293,480,389,〃,〃,〃
2022-03-15,121092,14303,2249,2203,293,480,389,〃,〃,〃
2022-03-16,121184,14303,2249,2203,294,480,389,〃,〃,〃
2022-03-17,121280,14306,2249,2203,294,480,389,〃,〃,〃
2022-03-18,121389,14311,2249,2204,294,481,389,〃,〃,〃
2022-03-19,121575,14313,2249,2204,294,482,389,〃,〃,〃
2022-03-20,121769,14318,2249,2205,294,482,389,〃,〃,〃
2022-03-21,121874,14320,2249,2205,294,483,389,〃,〃,〃
2022-03-22,121955,14320,2250,2204,294,483,389,〃,〃,〃
2022-03-23,122072,14323,2252,2204,294,483,389,〃,〃,〃
2022-03-24,122180,14325,2252,2207,294,484,389,〃,〃,〃
2022-03-25,122286,14327,2252,2207,294,484,389,〃,〃,〃
2022-03-26,122487,14333,2254,2207,297,484,389,〃,〃,〃
2022-03-27,122672,14340,2254,2206,298,484,389,〃,〃,〃
2022-03-28,122795,14343,2254,2206,300,484,389,〃,〃,〃
2022-03-29,122914,14345,2255,2206,300,484,389,〃,〃,〃
2022-03-30,123034,14347,2256,2206,300,484,389,〃,〃,〃
2022-03-31,123152,14350,2256,2207,300,484,389,〃,〃,〃
2022-04-01,123280,14356,2256,2207,300,484,389,〃,〃,〃
2022-04-02,123407,14361,2258,2209,300,486,389,〃,〃,〃
2022-04-03,123584,14370,2260,2209,302,487,389,〃,〃,〃
2022-04-04,123798,14375,2260,2209,302,489,391,〃,〃,〃
2022-04-05,123979,14381,2262,2209,302,489,391,〃,〃,〃
2022-04-06,124085,14386,2264,2210,302,489,391,〃,〃,〃
2022-04-07,124213,14393,2264,2208,303,489,391,〃,〃,〃
2022-04-08,124354,14395,2264,2208,303,490,391,〃,〃,〃
2022-04-09,124527,14400,2264,2207,304,490,391,〃,〃,〃
2022-04-10,124708,14408,2264,2206,305,490,391,〃,〃,〃
2022-04-11,124844,14419,2266,2209,305,491,391,〃,〃,〃
2022-04-12,124978,14425,2267,2210,305,491,391,〃,〃,〃
2022-04-13,125079,14429,2269,2210,306,491,391,〃,〃,〃
2022-04-14,125191,14433,2269,2209,307,491,391,〃,〃,〃
2022-04-15,125309,14436,2269,2209,307,491,391,〃,〃,〃
2022-04-16,125482,14445,2269,2209,307,491,391,〃,〃,〃
2022-04-17,125662,14452,2269,2212,307,494,391,〃,〃,〃
