date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,62259,1589,1481,1796,765,725,220,【屈原&葛平&朴树】《离骚之路》,"1.背书神曲第二弹
2.之前评论区有人建议离骚，于是就尝试了一下
3.这应该是我目前剪辑时间最久的视频...（PR字幕功能感人）
4.左下角的动画其实是改编自《屈子行吟图》
5.《离骚》带有很多陈代明行书所没有的生僻字...以至于我不得不用宋体...眼力好的可以去找找（可以借此复习一下易错字）
6.视频里藏了几个彩蛋，找到的可以发弹幕
7.这一条隐形了
8.不知道调音技术是否可以升级为4毛~
9.欢迎翻唱
10.高三党慎入！诶等等，我不就是么..
11.本曲最后一句话请无视~",http://i1.hdslb.com/bfs/archive/841e042f74ac0e901c7dc25b3483cb00d31b14b8.jpg
2022-01-17,62277,1589,1481,1796,765,725,220,〃,〃,〃
2022-01-18,62367,1590,1481,1798,765,725,220,〃,〃,〃
2022-01-19,62461,1593,1481,1799,765,726,220,〃,〃,〃
2022-01-20,62521,1595,1481,1800,765,726,220,〃,〃,〃
2022-01-21,62576,1597,1481,1801,765,726,220,〃,〃,〃
2022-01-22,62618,1598,1481,1802,765,726,220,〃,〃,〃
2022-01-23,62657,1599,1481,1802,765,726,220,〃,〃,〃
2022-01-24,62697,1599,1481,1801,765,726,220,〃,〃,〃
2022-01-25,62753,1600,1483,1802,765,726,220,〃,〃,〃
2022-01-26,62804,1600,1483,1802,765,726,220,〃,〃,〃
2022-01-27,62867,1601,1483,1803,765,726,220,〃,〃,〃
2022-01-28,62935,1602,1483,1802,765,726,220,〃,〃,〃
2022-01-29,63000,1602,1483,1803,765,726,220,〃,〃,〃
2022-01-30,63064,1603,1486,1802,766,726,220,〃,〃,〃
2022-01-31,63128,1605,1486,1803,766,726,220,〃,〃,〃
2022-02-01,63196,1605,1486,1802,766,726,220,〃,〃,〃
2022-02-02,63294,1607,1486,1803,766,726,220,〃,〃,〃
2022-02-03,63344,1608,1486,1804,766,726,220,〃,〃,〃
2022-02-04,63396,1610,1486,1803,766,726,220,〃,〃,〃
2022-02-05,63460,1612,1486,1803,766,726,220,〃,〃,〃
2022-02-06,63533,1615,1486,1802,766,726,221,〃,〃,〃
2022-02-07,64494,1661,1488,1807,767,726,221,〃,〃,〃
2022-02-08,64851,1677,1488,1814,768,726,221,〃,〃,〃
2022-02-09,65069,1682,1488,1814,768,726,221,〃,〃,〃
2022-02-10,65240,1683,1488,1814,768,726,221,〃,〃,〃
2022-02-11,65402,1686,1490,1815,768,726,221,〃,〃,〃
2022-02-12,65501,1686,1490,1817,768,726,221,〃,〃,〃
2022-02-13,65597,1687,1490,1818,768,726,221,〃,〃,〃
2022-02-14,65666,1689,1490,1818,768,726,221,〃,〃,〃
2022-02-15,65706,1689,1490,1817,768,726,221,〃,〃,〃
2022-02-16,65749,1689,1490,1816,768,726,221,〃,〃,〃
2022-02-17,65776,1689,1490,1816,768,726,221,〃,〃,〃
2022-02-18,65817,1689,1490,1816,768,726,221,〃,〃,〃
2022-02-19,65880,1689,1490,1816,768,726,221,〃,〃,〃
2022-02-20,65918,1689,1490,1816,768,726,221,〃,〃,〃
2022-02-21,65941,1689,1490,1816,769,726,221,〃,〃,〃
2022-02-22,65957,1690,1490,1814,769,726,221,〃,〃,〃
2022-02-23,65988,1690,1490,1813,769,726,221,〃,〃,〃
2022-02-24,66007,1690,1490,1813,769,726,221,〃,〃,〃
2022-02-25,66053,1690,1490,1813,769,726,221,〃,〃,〃
2022-02-26,66120,1692,1490,1814,769,726,221,〃,〃,〃
2022-02-27,66181,1693,1490,1813,769,726,221,〃,〃,〃
2022-02-28,66211,1694,1490,1813,769,726,221,〃,〃,〃
2022-03-01,66242,1694,1490,1813,770,726,221,〃,〃,〃
2022-03-02,66271,1694,1490,1812,770,726,221,〃,〃,〃
2022-03-03,66292,1694,1490,1812,770,726,221,〃,〃,〃
2022-03-04,66343,1695,1492,1814,770,726,221,〃,〃,〃
2022-03-05,66379,1696,1492,1814,770,726,221,〃,〃,〃
2022-03-06,66432,1696,1492,1816,770,727,221,〃,〃,〃
2022-03-07,66449,1697,1492,1816,770,727,221,〃,〃,〃
2022-03-08,66472,1698,1494,1816,770,727,221,〃,〃,〃
2022-03-09,66492,1699,1494,1816,770,727,221,〃,〃,〃
2022-03-10,66510,1699,1494,1816,771,727,221,〃,〃,〃
