date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,512515,38606,21657,14961,1678,15979,1860,红色世界：无夜镇（拾色冒险-番外互动）,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
【非互动版】BV1oz4y1R76r
===================================
1.之所以称之为无夜镇，是因为这里的居民在夜晚都会失去意识
2.本期视频融入的部分元素
猜拳、川剧变脸、斗地主、音乐剧《马戏之王》、千与千寻BGM、植物精灵模式
3.（结尾补充）建筑人员：青栀ζ留㿟
===================================
本期视频主要用到的BGM：
【正门】CHINA-新春
【广场】彩蝶舞夏
【猜拳】行街
【斗地主】QQ斗地主背景音乐（welcome）
【变脸】谁说女子不如男 
【占卜室】おクサレ神
【入夜】カオナシ
【沉睡的熊孩子】Lullaby for Mergo
【引诱成功】Fever~Fever クリア (ドクターマリオ)
===================================",http://i0.hdslb.com/bfs/archive/8eaed47a153761beeb1841ffe36ef37d18308679.jpg
2022-01-17,512596,38610,21657,14962,1678,15980,1860,〃,〃,〃
2022-01-18,513010,38635,21672,14970,1678,15986,1860,〃,〃,〃
2022-01-19,513495,38654,21678,14973,1678,15987,1861,〃,〃,〃
2022-01-20,513886,38666,21678,14978,1679,15994,1863,〃,〃,〃
2022-01-21,514264,38686,21683,14984,1679,15995,1863,〃,〃,〃
2022-01-22,514585,38706,21692,14983,1682,15998,1863,〃,〃,〃
2022-01-23,514882,38717,21697,14986,1682,15998,1863,〃,〃,〃
2022-01-24,515149,38726,21699,14987,1682,16001,1863,〃,〃,〃
2022-01-25,515450,38738,21701,14988,1682,16004,1863,〃,〃,〃
2022-01-26,515797,38750,21707,14987,1682,16009,1866,〃,〃,〃
2022-01-27,516110,38760,21708,14985,1682,16012,1866,〃,〃,〃
2022-01-28,516452,38770,21711,14987,1682,16018,1866,〃,〃,〃
2022-01-29,516762,38780,21715,14991,1682,16019,1867,〃,〃,〃
2022-01-30,517060,38798,21720,14989,1685,16020,1867,〃,〃,〃
2022-01-31,517325,38810,21725,14993,1685,16021,1867,〃,〃,〃
2022-02-01,517665,38816,21730,14997,1685,16024,1868,〃,〃,〃
2022-02-02,517990,38828,21732,14995,1685,16026,1869,〃,〃,〃
2022-02-03,518277,38840,21736,14997,1685,16034,1869,〃,〃,〃
2022-02-04,518590,38847,21736,15001,1685,16035,1870,〃,〃,〃
2022-02-05,518856,38858,21736,14999,1685,16037,1870,〃,〃,〃
2022-02-06,519087,38863,21740,14996,1685,16037,1870,〃,〃,〃
2022-02-07,519610,38891,21752,15004,1687,16040,1871,〃,〃,〃
2022-02-08,519993,38904,21757,15006,1687,16045,1872,〃,〃,〃
2022-02-09,520338,38917,21758,15001,1687,16051,1872,〃,〃,〃
2022-02-10,520593,38926,21761,15000,1688,16059,1872,〃,〃,〃
2022-02-11,520880,38934,21764,15005,1688,16066,1872,〃,〃,〃
2022-02-12,521127,38943,21770,15008,1688,16068,1872,〃,〃,〃
2022-02-13,521354,38950,21774,15009,1688,16072,1876,〃,〃,〃
2022-02-14,521583,38958,21778,15011,1689,16078,1876,〃,〃,〃
2022-02-15,521831,38968,21778,15012,1689,16084,1877,〃,〃,〃
2022-02-16,521990,38975,21778,15013,1689,16085,1860,〃,〃,〃
2022-02-17,522163,38980,21780,15011,1690,16086,1860,〃,〃,〃
2022-02-18,522300,38983,21780,15015,1690,16088,1860,〃,〃,〃
