date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1136673,96566,46466,44525,5069,35147,2400,从『0维空间』到『5维时空』，改变这个世界的维度！我的世界 & 互动视频《维度跃迁者》,"共计55个分P，3个结局
非互动版：BV1dT4y1P7hK

主创：GoldenEggs
配音：_小兰喵_
本视频采用Minecraft-Blockbuster模组拍摄
以下是本游戏的一些设定
==================
0维空间
主观视角：虚无
全局视角：一个点

1维空间
维度构成：长
主观视角：一个点
全局视角：一条线

2维空间
维度构成：长宽
主观视角：一条线
全局视角：一个面

3维空间
维度构成：长宽高
主观视角：一个面
全局视角：一个立方

4维时空
维度构成：3维空间+1维时间，长宽高+时间
主观视角：一个时间点，我们的世界
全局视角：一条时间线
主观规则：沿时间轴前进，不可后退（只能随时间正向流逝）

5维时空
维度构成：3维空间+2维时间，长宽高+时间+可能性分支
主观视角：一条时间线
全局视角：一个时间平面，包含所有平行的可能性
主观规则：可浏览、回溯（保留生命、能量、蛋壳等属性）当前经历的时间轴并做出改动，但不知道每个选择对应的结果

=================
本期用到的BGM
《塞尔达传说：旷野之息》OST
《奥日与黑暗森林》OST
《空洞骑士》OST
《FEZ》OST
零维空间 From This Day Until Our Last
初入一维 - NoMoreCreepers Linear{主界面音乐 }
一维空间 - Minecraft (by C418)
村民 - 得过且过的勇者 (VOCALOID版伴奏) (by ilem
一维追逐战 - 金牛座 The Taurus
二维恶魂 -「刻俄柏的灰蕈秘境」boss战
五维时空 - 开启新征程
归零 - Pacific Rim",http://i2.hdslb.com/bfs/archive/c2edaee121c9ef1373b11999fe8517032a3249f9.jpg
2022-01-17,1136888,96574,46472,44527,5069,35158,2400,〃,〃,〃
2022-01-18,1137740,96604,46478,44538,5069,35178,2401,〃,〃,〃
2022-01-19,1138878,96662,46489,44561,5075,35208,2403,〃,〃,〃
2022-01-20,1139936,96701,46501,44568,5079,35240,2404,〃,〃,〃
2022-01-21,1141080,96748,46515,44578,5079,35265,2404,〃,〃,〃
2022-01-22,1141885,96775,46527,44591,5081,35278,2405,〃,〃,〃
2022-01-23,1142627,96803,46547,44598,5084,35305,2405,〃,〃,〃
2022-01-24,1143421,96847,46560,44607,5088,35329,2405,〃,〃,〃
2022-01-25,1144238,96879,46573,44626,5088,35345,2405,〃,〃,〃
2022-01-26,1145186,96917,46600,44647,5092,35374,2406,〃,〃,〃
2022-01-27,1146135,96979,46626,44667,5093,35385,2406,〃,〃,〃
2022-01-28,1147237,97031,46637,44675,5096,35411,2406,〃,〃,〃
2022-01-29,1148549,97116,46670,44705,5101,35455,2406,〃,〃,〃
2022-01-30,1149666,97163,46692,44726,5102,35468,2406,〃,〃,〃
2022-01-31,1150590,97199,46707,44737,5105,35483,2406,〃,〃,〃
2022-02-01,1151692,97246,46725,44744,5106,35526,2406,〃,〃,〃
2022-02-02,1152729,97295,46742,44754,5108,35545,2406,〃,〃,〃
2022-02-03,1153733,97336,46751,44761,5108,35560,2406,〃,〃,〃
2022-02-04,1154731,97367,46763,44771,5108,35583,2406,〃,〃,〃
2022-02-05,1155760,97411,46785,44793,5109,35592,2406,〃,〃,〃
2022-02-06,1156868,97465,46796,44804,5111,35610,2407,〃,〃,〃
