date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1260591,127435,78944,40880,3980,21196,5999,当你把MC玩成开放世界RPG（第一章：绿色世界）,"本次拾色冒险建议佩戴耳机，放松身心。请注意弹幕评论礼仪，友善交流，祝您旅途愉快！
============
这是一个全新的尝试，为了给大家带来沉浸式的拾色旅行体验，无论是场景、剧情流程还是人物动作模型，都筹备了一段时间，解决了不少技术问题（可以说是在各种mod的基础上整了一个新的mod）
但毕竟视频篇幅有限制，不得不把这些内容尽可能压缩至20分钟里，所以总体进展显得比较仓促，还是有很多点子没有在本次冒险里呈现，但愿以后有机会续写（下一章的拾色冒险在制作了）
============
【本视频主要用到的模组】
Blockbuster（导演，制作粒子和随机动画伪装）
Aperture（拍摄）
Walljump（蹬墙跳，提供攀岩机制）
Paraglider（滑翔伞，提供缓降机制）
ShoulderSurfing（越肩视角）
Macros（宏，执行指令）
============
【颜色反应】
同色相斥，反色相吸
即：同色伤害降低，反色伤害提升
以下为反色表：
红-青
橙-靛
黄-蓝
绿-品红
紫-黄绿

【基础能力】
能量回转（被动，着地满一秒且未使用技能时每秒能量+5，初始能量上限100）
冲刺（移速增加，每秒能量-4，遗迹里冲刺不消耗能量）
攀岩（垂直向上攀爬，每秒能量-5）
游泳（游于水上，每秒能量-4）
滑翔伞（在空中缓降，每秒能量-2）
传送（传送到某个塔上，能量-50）
颜色提取器（吸管，提取脚下5x5方块的颜色，每提取一个方块，能量+2）

【新技能】
风怒（原地释放风场起飞，能量-30）
风暴（攻击范围扩大，每次造成4点伤害的群体攻击，每秒能量-5）
============
【参与人员名单】
编剧：GoldenEggs 卷一发试卷 LongingCha 小溪
建筑：GoldenEggs Yong_Hu_Ming GoWon7 ABCwewe 小假LittleFalse DeepBlue 卷一发试卷 soxyan Zhuym LemonTree terminator7211 小z听说北冥有条鲲
服务器支持：Yong_Hu_Ming DeepBlue
配音：[Complex Studio]镜像工作室-冬日の烟花 _小兰喵_
技术顾问：Yong_Hu_Ming GoWon7 Zhuym MC动画木木 ABCwewe terminator7211
============
【更新日志】
1.之前一直有观众反馈部分音效/BGM太出戏，故微调一些游戏元素的占比，采用统一风格的音效，以降低突兀感，提升沉浸探索体验
2.在开塔片段添加滤色蒙版，修复了主城未褪色的BUG
3.调整了部分UI的位置、大小
4.修复了部分文本中的字体错误
5.调整了部分音频的响度
6.结尾追加一段制作花絮
============
【写在最后】
我们工作室有主机玩家，也有手游玩家。
本视频流程设计之初是为了让不同身份的玩家都能在冒险中找到自己的快乐回忆。
还是建议多关注讨论视频本身内容，少点不必要的戾气。
（下期冒险开始会减少使用非MC的游戏元素）
（P.S. Minecraft属于沙盒，而不属于RPG分类下的开放世界，别搞混了哦）",http://i0.hdslb.com/bfs/archive/4ea1193b16651b491cb75cf614e9043291fc6450.jpg
2022-01-17,1261199,127479,78967,40886,3982,21216,6003,〃,〃,〃
2022-01-18,1263498,127613,79066,40916,3986,21290,6010,〃,〃,〃
2022-01-19,1266671,127757,79156,40948,3993,21350,6058,〃,〃,〃
2022-01-20,1269312,127873,79220,40968,3996,21423,6065,〃,〃,〃
2022-01-21,1272062,127995,79320,40999,3997,21472,6065,〃,〃,〃
2022-01-22,1274048,128091,79377,41021,4001,21508,6065,〃,〃,〃
2022-01-23,1275916,128167,79419,41030,4002,21527,6067,〃,〃,〃
2022-01-24,1277429,128250,79472,41042,4004,21541,6068,〃,〃,〃
2022-01-25,1278903,128311,79500,41049,4007,21560,6066,〃,〃,〃
2022-01-26,1280350,128384,79547,41058,4011,21579,6067,〃,〃,〃
2022-01-27,1282016,128453,79597,41078,4012,21598,6072,〃,〃,〃
2022-01-28,1283809,128535,79655,41090,4014,21634,6077,〃,〃,〃
2022-01-29,1285699,128597,79688,41107,4017,21661,6084,〃,〃,〃
2022-01-30,1287248,128656,79721,41107,4019,21673,6087,〃,〃,〃
2022-01-31,1288567,128712,79751,41111,4019,21691,6087,〃,〃,〃
2022-02-01,1290651,128847,79815,41127,4021,21742,6095,〃,〃,〃
2022-02-02,1292194,128914,79843,41131,4022,21755,6104,〃,〃,〃
2022-02-03,1293554,128995,79878,41151,4028,21785,6112,〃,〃,〃
2022-02-04,1295112,129084,79923,41163,4033,21832,6114,〃,〃,〃
2022-02-05,1296448,129172,79976,41177,4036,21858,6119,〃,〃,〃
2022-02-06,1297788,129227,80019,41185,4036,21879,6121,〃,〃,〃
2022-02-07,1300680,129398,80118,41206,4040,21950,6127,〃,〃,〃
2022-02-08,1302534,129500,80175,41226,4041,21997,6133,〃,〃,〃
2022-02-09,1304062,129577,80226,41234,4043,22034,6134,〃,〃,〃
2022-02-10,1305791,129664,80272,41248,4046,22063,5330,〃,〃,〃
2022-02-11,1307169,129727,80309,41262,4048,22083,5330,〃,〃,〃
2022-02-12,1308396,129772,80337,41270,4048,22106,5334,〃,〃,〃
2022-02-13,1309484,129815,80363,41274,4049,22130,5318,〃,〃,〃
2022-02-14,1310554,129850,80386,41273,4051,22139,5318,〃,〃,〃
2022-02-15,1311695,129902,80409,41280,4052,22151,5318,〃,〃,〃
2022-02-16,1312471,129929,80422,41279,4052,22166,5321,〃,〃,〃
2022-02-17,1312967,129955,80435,41282,4053,22169,5320,〃,〃,〃
2022-02-18,1313507,129974,80448,41280,4053,22172,5325,〃,〃,〃
2022-02-19,1314498,130019,80480,41294,4055,22173,5325,〃,〃,〃
2022-02-20,1316273,130078,80515,41316,4057,22202,5326,〃,〃,〃
2022-02-21,1316659,130090,80520,41317,4058,22208,5326,〃,〃,〃
2022-02-22,1317115,130109,80526,41319,4058,22216,5326,〃,〃,〃
2022-02-23,1317558,130127,80532,41321,4059,22235,5322,〃,〃,〃
2022-02-24,1317905,130138,80539,41318,4061,22239,5322,〃,〃,〃
2022-02-25,1318339,130154,80550,41319,4064,22247,5323,〃,〃,〃
2022-02-26,1319198,130191,80574,41316,4066,22256,5323,〃,〃,〃
2022-02-27,1319992,130222,80584,41307,4069,22260,5324,〃,〃,〃
2022-02-28,1320292,130230,80592,41302,4069,22262,5324,〃,〃,〃
2022-03-01,1320519,130236,80594,41302,4069,22266,5324,〃,〃,〃
2022-03-02,1320779,130241,80597,41298,4069,22267,5325,〃,〃,〃
2022-03-03,1321016,130251,80597,41293,4071,22267,5326,〃,〃,〃
2022-03-04,1321382,130262,80602,41288,4071,22268,5326,〃,〃,〃
2022-03-05,1322265,130285,80611,41294,4072,22274,5326,〃,〃,〃
2022-03-06,1323130,130319,80635,41302,4073,22290,5328,〃,〃,〃
2022-03-07,1323414,130326,80638,41296,4073,22290,5328,〃,〃,〃
2022-03-08,1323675,130335,80641,41289,4073,22291,5329,〃,〃,〃
2022-03-09,1323974,130344,80642,41281,4073,22295,5329,〃,〃,〃
2022-03-10,1324310,130354,80651,41283,4073,22302,5329,〃,〃,〃
2022-03-11,1324712,130370,80658,41280,4074,22303,5329,〃,〃,〃
2022-03-12,1325577,130414,80679,41297,4074,22307,5331,〃,〃,〃
2022-03-13,1326577,130456,80693,41314,4074,22318,5330,〃,〃,〃
2022-03-14,1327250,130486,80711,41329,4077,22325,5330,〃,〃,〃
2022-03-15,1327846,130508,80718,41339,4077,22333,5331,〃,〃,〃
2022-03-16,1328390,130526,80728,41342,4077,22343,5332,〃,〃,〃
2022-03-17,1328863,130548,80740,41350,4077,22347,5333,〃,〃,〃
2022-03-18,1329576,130585,80755,41360,4079,22355,5333,〃,〃,〃
2022-03-19,1332674,130749,80817,41473,4079,22367,5333,〃,〃,〃
2022-03-20,1377372,132617,81397,43499,4086,22383,5335,〃,〃,〃
2022-03-21,1400805,133577,81800,44571,4088,22400,5339,〃,〃,〃
2022-03-22,1409627,134196,82001,45184,4093,22410,5341,〃,〃,〃
2022-03-23,1413441,134446,82138,45423,4094,22418,5343,〃,〃,〃
