date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1447631,61017,14830,21923,4074,11309,1461,土  豆  服  务  器，用育碧的方式打开MC,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
【前作】拼夕夕版MC：BV13t411d7Zt
==========================
本次出现的mc特性：（部分由金蛋生存服真实事件改编[笑哭]）
1.生物模型错误
2.延迟过高
3.方块生成特性
4.经典穿模
5.传送特性
6.遗迹结构缺失
7.区块加载失败
8.实体AI丢失
9.AI紊乱
10.偏离床位
11.背刺
12.误封

然并卵的计数挑战：德国boy一共敲了几次键盘？
==========================
拍摄&后期：GoWon7  GoldenEggs
配音：冬日の烟花  是盗士不是道士
【请不要在其他无关地方刷UP主】
==========================
本期视频所使用mod
Blockbuster
Aperture",http://i0.hdslb.com/bfs/archive/1c41c10e1c0cdcc9ac95684ded481b85aea99e8e.jpg
2022-01-17,1447800,61021,14830,21923,4074,11309,1461,〃,〃,〃
2022-01-18,1448575,61044,14834,21929,4076,11314,1461,〃,〃,〃
2022-01-19,1449440,61062,14839,21932,4076,11316,1461,〃,〃,〃
2022-01-20,1450224,61076,14845,21933,4078,11323,1461,〃,〃,〃
2022-01-21,1450902,61094,14854,21934,4080,11324,1461,〃,〃,〃
2022-01-22,1451474,61112,14858,21933,4083,11328,1462,〃,〃,〃
2022-01-23,1451931,61128,14872,21932,4083,11328,1462,〃,〃,〃
2022-01-24,1452449,61140,14874,21934,4084,11329,1462,〃,〃,〃
2022-01-25,1453004,61153,14876,21933,4084,11332,1462,〃,〃,〃
2022-01-26,1453528,61170,14889,21939,4084,11333,1462,〃,〃,〃
2022-01-27,1454049,61182,14891,21939,4086,11333,1462,〃,〃,〃
2022-01-28,1454572,61191,14895,21938,4088,11334,1462,〃,〃,〃
2022-01-29,1455061,61201,14897,21940,4088,11337,1462,〃,〃,〃
2022-01-30,1455513,61206,14899,21938,4090,11337,1462,〃,〃,〃
2022-01-31,1455939,61213,14899,21937,4091,11342,1462,〃,〃,〃
2022-02-01,1456537,61229,14905,21944,4091,11343,1462,〃,〃,〃
2022-02-02,1457128,61245,14914,21943,4091,11348,1462,〃,〃,〃
2022-02-03,1457642,61260,14914,21948,4091,11351,1464,〃,〃,〃
2022-02-04,1458196,61270,14916,21945,4094,11351,1465,〃,〃,〃
2022-02-05,1458749,61280,14920,21946,4094,11351,1465,〃,〃,〃
2022-02-06,1459302,61291,14926,21950,4095,11377,1466,〃,〃,〃
2022-02-07,1460378,61329,14936,21966,4096,11380,1466,〃,〃,〃
2022-02-08,1461218,61347,14942,21971,4097,11399,1466,〃,〃,〃
2022-02-09,1461959,61360,14944,21971,4097,11406,1466,〃,〃,〃
2022-02-10,1462668,61375,14947,21970,4098,11408,1466,〃,〃,〃
2022-02-11,1463346,61383,14951,21970,4099,11408,1466,〃,〃,〃
2022-02-12,1463902,61390,14951,21967,4100,11409,1466,〃,〃,〃
2022-02-13,1464413,61401,14953,21971,4101,11411,1469,〃,〃,〃
2022-02-14,1464941,61413,14958,21975,4103,11414,1469,〃,〃,〃
2022-02-15,1465369,61421,14960,21976,4104,11416,1469,〃,〃,〃
2022-02-16,1465751,61429,14960,21977,4107,11417,1469,〃,〃,〃
2022-02-17,1466020,61430,14960,21977,4109,11421,1469,〃,〃,〃
2022-02-18,1466326,61439,14964,21979,4110,11423,1469,〃,〃,〃
2022-02-19,1466904,61445,14969,21979,4110,11423,1469,〃,〃,〃
2022-02-20,1467424,61461,14975,21979,4111,11425,1469,〃,〃,〃
2022-02-21,1467634,61465,14975,21977,4111,11425,1469,〃,〃,〃
2022-02-22,1467871,61469,14976,21974,4111,11426,1469,〃,〃,〃
2022-02-23,1468110,61472,14977,21973,4111,11426,1469,〃,〃,〃
2022-02-24,1468356,61474,14979,21975,4111,11426,1469,〃,〃,〃
2022-02-25,1468697,61483,14981,21976,4111,11426,1469,〃,〃,〃
2022-02-26,1469287,61489,14983,21975,4111,11427,1469,〃,〃,〃
2022-02-27,1469857,61502,14987,21980,4111,11428,1469,〃,〃,〃
2022-02-28,1470104,61506,14987,21982,4111,11428,1469,〃,〃,〃
2022-03-01,1470316,61509,14987,21984,4111,11428,1469,〃,〃,〃
2022-03-02,1470548,61514,14989,21987,4111,11428,1467,〃,〃,〃
2022-03-03,1470802,61519,14991,21991,4111,11428,1467,〃,〃,〃
2022-03-04,1471190,61527,14992,21991,4112,11430,1467,〃,〃,〃
2022-03-05,1471985,61537,14993,21992,4112,11431,1467,〃,〃,〃
2022-03-06,1472610,61552,14995,21998,4112,11433,1468,〃,〃,〃
2022-03-07,1472827,61557,14995,21998,4112,11433,1468,〃,〃,〃
2022-03-08,1473104,61563,14995,22001,4112,11433,1468,〃,〃,〃
2022-03-09,1473376,61569,14997,22001,4112,11435,1468,〃,〃,〃
2022-03-10,1473605,61573,14999,22002,4112,11439,1468,〃,〃,〃
2022-03-11,1473910,61576,15001,22000,4112,11439,1468,〃,〃,〃
2022-03-12,1474423,61583,15001,22003,4112,11439,1468,〃,〃,〃
2022-03-13,1474987,61595,15003,22008,4112,11441,1468,〃,〃,〃
2022-03-14,1475292,61602,15007,22014,4115,11444,1468,〃,〃,〃
2022-03-15,1475578,61605,15009,22013,4117,11445,1468,〃,〃,〃
2022-03-16,1475855,61611,15011,22017,4117,11445,1469,〃,〃,〃
2022-03-17,1476221,61619,15012,22022,4117,11446,1469,〃,〃,〃
2022-03-18,1476631,61628,15018,22031,4117,11446,1469,〃,〃,〃
2022-03-19,1477906,61644,15026,22035,4117,11447,1469,〃,〃,〃
2022-03-20,1479218,61680,15033,22055,4118,11456,1469,〃,〃,〃
2022-03-21,1479859,61693,15034,22061,4118,11458,1469,〃,〃,〃
2022-03-22,1480281,61703,15038,22065,4118,11462,1469,〃,〃,〃
2022-03-23,1480708,61714,15042,22071,4119,11466,1470,〃,〃,〃
2022-03-24,1481155,61722,15045,22070,4120,11466,1470,〃,〃,〃
2022-03-25,1481607,61730,15045,22072,4120,11470,1470,〃,〃,〃
2022-03-26,1482221,61739,15049,22072,4122,11472,1470,〃,〃,〃
2022-03-27,1482706,61749,15055,22068,4122,11472,1470,〃,〃,〃
2022-03-28,1483024,61750,15057,22070,4123,11472,1470,〃,〃,〃
2022-03-29,1483341,61757,15062,22075,4123,11472,1470,〃,〃,〃
2022-03-30,1483637,61760,15062,22071,4123,11473,1470,〃,〃,〃
2022-03-31,1483894,61766,15063,22073,4123,11475,1470,〃,〃,〃
2022-04-01,1484211,61771,15063,22071,4123,11475,1470,〃,〃,〃
2022-04-02,1484584,61777,15067,22072,4123,11475,1470,〃,〃,〃
2022-04-03,1485140,61790,15071,22075,4124,11475,1470,〃,〃,〃
2022-04-04,1485669,61797,15073,22074,4125,11477,1470,〃,〃,〃
2022-04-05,1486170,61813,15076,22082,4126,11479,1471,〃,〃,〃
2022-04-06,1486515,61817,15079,22085,4128,11482,1471,〃,〃,〃
2022-04-07,1486875,61825,15083,22088,4130,11482,1471,〃,〃,〃
2022-04-08,1487314,61837,15086,22093,4133,11482,1471,〃,〃,〃
2022-04-09,1487943,61851,15091,22106,4133,11484,1471,〃,〃,〃
2022-04-10,1488589,61860,15095,22113,4133,11484,1471,〃,〃,〃
2022-04-11,1488993,61872,15099,22120,4133,11485,1471,〃,〃,〃
2022-04-12,1489439,61883,15102,22122,4133,11488,1471,〃,〃,〃
2022-04-13,1489857,61891,15104,22122,4134,11496,1471,〃,〃,〃
2022-04-14,1490375,61899,15108,22131,4134,11498,1471,〃,〃,〃
2022-04-15,1490990,61909,15112,22136,4134,11501,1472,〃,〃,〃
2022-04-16,1491825,61927,15114,22140,4134,11503,1472,〃,〃,〃
2022-04-17,1492527,61941,15117,22144,4134,11519,1472,〃,〃,〃
2022-04-18,1492927,61948,15117,22145,4134,11538,1472,〃,〃,〃
2022-04-19,1493279,61951,15122,22149,4134,11538,1472,〃,〃,〃
2022-04-20,1493584,61955,15122,22148,4134,11539,1471,〃,〃,〃
2022-04-21,1493912,61963,15124,22147,4136,11541,1471,〃,〃,〃
2022-04-22,1494358,61968,15126,22152,4136,11545,1471,〃,〃,〃
2022-04-23,1495043,61978,15128,22156,4136,11546,1471,〃,〃,〃
2022-04-24,1495408,61989,15132,22160,4139,11546,1471,〃,〃,〃
2022-04-25,1495670,62000,15132,22160,4140,11546,1471,〃,〃,〃
2022-04-26,1495971,62007,15134,22162,4140,11547,1471,〃,〃,〃
2022-04-27,1496293,62013,15137,22163,4140,11548,1471,〃,〃,〃
2022-04-28,1496616,62018,15142,22168,4140,11549,1471,〃,〃,〃
2022-04-29,1497192,62027,15143,22167,4142,11551,1471,〃,〃,〃
2022-04-30,1497768,62036,15144,22167,4144,11553,1471,〃,〃,〃
2022-05-01,1498277,62050,15149,22177,4145,11560,1472,〃,〃,〃
2022-05-02,1498759,62054,15151,22177,4145,11563,1472,〃,〃,〃
2022-05-03,1499260,62060,15153,22175,4145,11564,1472,〃,〃,〃
2022-05-04,1499821,62070,15157,22178,4145,11567,1472,〃,〃,〃
2022-05-05,1500109,62077,15160,22176,4145,11570,1472,〃,〃,〃
2022-05-06,1500372,62087,15162,22179,4146,11570,1472,〃,〃,〃
2022-05-07,1500742,62096,15166,22187,4146,11573,1472,〃,〃,〃
2022-05-08,1501269,62107,15168,22189,4146,11573,1472,〃,〃,〃
2022-05-09,1501543,62108,15172,22194,4148,11574,1472,〃,〃,〃
2022-05-10,1501822,62111,15174,22194,4148,11574,1472,〃,〃,〃
2022-05-11,1502100,62112,15175,22194,4149,11578,1472,〃,〃,〃
2022-05-12,1502393,62123,15179,22196,4149,11579,1472,〃,〃,〃
2022-05-13,1502618,62127,15179,22196,4149,11579,1472,〃,〃,〃
2022-05-14,1503086,62132,15181,22194,4149,11581,1472,〃,〃,〃
2022-05-15,1503648,62147,15185,22199,4149,11584,1472,〃,〃,〃
2022-05-16,1503870,62152,15185,22200,4149,11586,1472,〃,〃,〃
2022-05-17,1504109,62161,15192,22201,4149,11588,1472,〃,〃,〃
2022-05-18,1504321,62162,15193,22202,4151,11591,1472,〃,〃,〃
2022-05-19,1504500,62164,15197,22201,4151,11591,1472,〃,〃,〃
2022-05-20,1504731,62168,15197,22203,4151,11591,1472,〃,〃,〃
2022-05-21,1505203,62179,15201,22210,4151,11591,1472,〃,〃,〃
2022-05-22,1505887,62187,15203,22210,4153,11591,1472,〃,〃,〃
2022-05-23,1506140,62189,15203,22212,4153,11591,1472,〃,〃,〃
2022-05-24,1506347,62195,15206,22217,4155,11591,1472,〃,〃,〃
2022-05-25,1506634,62204,15208,22217,4155,11593,1472,〃,〃,〃
2022-05-26,1507006,62213,15215,22218,4155,11594,1472,〃,〃,〃
2022-05-27,1507527,62219,15219,22220,4155,11594,1472,〃,〃,〃
2022-05-28,1508344,62244,15228,22226,4156,11594,1472,〃,〃,〃
2022-05-29,1508945,62256,15230,22233,4156,11596,1472,〃,〃,〃
2022-05-30,1509192,62265,15237,22236,4156,11596,1472,〃,〃,〃
2022-05-31,1509428,62272,15238,22237,4156,11597,1472,〃,〃,〃
2022-06-01,1509852,62278,15238,22240,4156,11599,1473,〃,〃,〃
2022-06-02,1510599,62297,15244,22241,4156,11602,1473,〃,〃,〃
2022-06-03,1512172,62324,15249,22242,4157,11604,1473,〃,〃,〃
2022-06-04,1513338,62346,15255,22244,4159,11608,1473,〃,〃,〃
2022-06-05,1514936,62375,15265,22269,4160,11611,1473,〃,〃,〃
2022-06-06,1515655,62385,15267,22274,4162,11611,1473,〃,〃,〃
2022-06-07,1516217,62396,15270,22276,4162,11613,1473,〃,〃,〃
2022-06-08,1516704,62409,15275,22280,4163,11617,1473,〃,〃,〃
2022-06-09,1517106,62418,15277,22290,4163,11618,1473,〃,〃,〃
2022-06-10,1517489,62427,15277,22295,4163,11619,1473,〃,〃,〃
2022-06-11,1518359,62447,15278,22309,4163,11621,1473,〃,〃,〃
2022-06-12,1519102,62459,15280,22312,4163,11623,1473,〃,〃,〃
2022-06-13,1519488,62469,15282,22315,4163,11623,1473,〃,〃,〃
2022-06-14,1519886,62482,15284,22322,4164,11624,1474,〃,〃,〃
2022-06-17,1521221,62511,15296,22339,4164,11627,1474,〃,〃,〃
2022-06-18,1521983,62533,15304,22355,4167,11631,1474,〃,〃,〃
2022-06-19,1522697,62555,15313,22367,4167,11631,1474,〃,〃,〃
2022-06-20,1523110,62567,15317,22376,4167,11631,1474,〃,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
【前作】拼夕夕版MC：BV13t411d7Zt
==========================
本次出现的mc特性：（部分由金蛋生存服真实事件改编[笑哭]）
1.生物模型错误
2.延迟过高
3.方块生成特性
4.经典穿模
5.传送特性
6.遗迹结构缺失
7.区块加载失败
8.实体AI丢失
9.AI紊乱
10.偏离床位
11.背刺
12.误封

然并卵的计数挑战：德国boy一共敲了几次键盘？
==========================
拍摄&后期：GoWon7  GoldenEggs
配音：冬日の烟花  是盗士不是道士
【请不要在其他无关地方刷UP主】
==========================
本期视频所使用mod
Blockbuster
Aperture",〃
2022-06-21,1523475,62575,15317,22378,4168,11631,1474,〃,〃,〃
2022-06-22,1523816,62577,15319,22377,4168,11635,1474,〃,〃,〃
2022-06-23,1524158,62584,15323,22376,4168,11635,1474,〃,〃,〃
2022-06-24,1524552,62589,15323,22378,4170,11640,1474,〃,〃,〃
2022-06-25,1525253,62602,15325,22385,4170,11641,1474,〃,〃,〃
2022-06-26,1525935,62617,15329,22395,4171,11646,1474,〃,〃,〃
2022-06-27,1526396,62627,15333,22399,4172,11648,1474,〃,〃,〃
2022-06-28,1526866,62641,15337,22404,4172,11649,1474,〃,〃,〃
2022-06-29,1527328,62650,15341,22410,4172,11651,1474,〃,〃,〃
2022-06-30,1527772,62658,15346,22410,4173,11653,1474,〃,〃,〃
2022-07-01,1528222,62669,15351,22415,4174,11654,1474,〃,〃,〃
2022-07-02,1528790,62681,15356,22425,4175,11661,1474,〃,〃,〃
2022-07-03,1529260,62689,15359,22428,4177,11662,1474,〃,〃,〃
2022-07-05,1530198,62717,15367,22421,4177,11668,1474,〃,〃,〃
2022-07-06,1530610,62730,15371,22421,4178,11669,1474,〃,〃,〃
2022-07-07,1531062,62738,15375,22428,4178,11669,1474,〃,〃,〃
2022-07-08,1531542,62756,15375,22430,4180,11671,1475,〃,〃,〃
2022-07-09,1531999,62772,15388,22439,4181,11672,1475,〃,〃,〃
2022-07-10,1532369,62781,15388,22437,4181,11673,1475,〃,〃,〃
2022-07-11,1532722,62789,15392,22441,4181,11674,1475,〃,〃,〃
2022-07-12,1533126,62802,15394,22445,4181,11675,1475,〃,〃,〃
2022-07-13,1533527,62810,15400,22449,4181,11677,1475,〃,〃,〃
2022-07-14,1533953,62819,15409,22456,4182,11679,1475,〃,〃,〃
2022-07-15,1534332,62833,15414,22463,4184,11680,1475,〃,〃,〃
2022-07-16,1534662,62841,15417,22453,4185,11682,1475,〃,〃,〃
2022-07-17,1535051,62849,15422,22453,4186,11684,1476,〃,〃,〃
2022-07-18,1535488,62863,15426,22458,4186,11689,1477,〃,〃,〃
2022-07-19,1536016,62875,15426,22465,4187,11691,1477,〃,〃,〃
2022-07-20,1536587,62887,15426,22468,4187,11691,1478,〃,〃,〃
2022-07-21,1537228,62901,15429,22464,4187,11691,1478,〃,〃,〃
2022-07-22,1537931,62922,15433,22466,4189,11691,1478,〃,〃,〃
2022-07-23,1538690,62936,15439,22470,4190,11697,1478,〃,〃,〃
2022-07-24,1539295,62946,15439,22473,4190,11698,1478,〃,〃,〃
2022-07-25,1539974,62964,15447,22482,4190,11704,1478,〃,〃,〃
2022-07-26,1540638,62978,15450,22491,4192,11717,1480,〃,〃,〃
2022-07-27,1541277,63004,15457,22499,4192,11717,1480,〃,〃,〃
2022-07-28,1542075,63025,15463,22505,4192,11717,1480,〃,〃,〃
2022-07-29,1542863,63040,15463,22511,4193,11720,1480,〃,〃,〃
2022-07-30,1544642,63086,15464,22523,4195,11721,1480,〃,〃,〃
2022-07-31,1545884,63107,15470,22530,4195,11726,1480,〃,〃,〃
2022-08-01,1546834,63140,15482,22540,4196,11728,1480,〃,〃,〃
2022-08-02,1547708,63171,15493,22551,4196,11732,1480,〃,〃,〃
2022-08-03,1548641,63185,15495,22558,4198,11738,1480,〃,〃,〃
2022-08-04,1549617,63206,15502,22568,4199,11741,1480,〃,〃,〃
