date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,599849,26967,8561,7492,392,3519,801,当你忘记关电脑时，桌面会发生什么...（我的世界-沙雕特效）,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
===================================
〇.中秋快乐
1.录完这个视频，差点被室友当成制杖..
2.这次的拍摄难度在于，特效出来之前，你在游戏、桌面、现实里的一举一动都只能靠节奏脑补，太难受了QAQ
 ===================================
更新说明：
1.添加圆形阴影
2.软件图标更换
3.减少两个现实场景抖动
4.修改苦力怕亮度，更贴合场景
5.增加现实场景亮度
6.微调部分语音细节
7.新增两处字幕注释
8.增加开头某处渐变时长
9.更清晰的画质 
===================================
本期视频主要用到的BGM：
【发现丛林神殿】Micmacs A La Gare
【穿越边境墙】Adelais
【第一次跑酷】70亿人类 - The Data Is Wranglin' Itself
【翻文件夹】人生一串2 OST - 行街
【入侵现实】Hanuman
【花絮】传送门 - Still Alive
===================================
【请不要在其他无关地方刷UP主】",http://i2.hdslb.com/bfs/archive/0f61e6b0eb290c5156090467188c3083d649bbf7.jpg
2022-01-17,599950,26969,8561,7493,392,3519,801,〃,〃,〃
2022-01-18,600337,26986,8561,7494,392,3520,801,〃,〃,〃
2022-01-19,600762,26997,8565,7496,392,3526,802,〃,〃,〃
2022-01-20,601177,27010,8567,7498,392,3529,802,〃,〃,〃
2022-01-21,601470,27016,8569,7497,392,3531,802,〃,〃,〃
2022-01-22,601643,27026,8569,7498,392,3532,802,〃,〃,〃
2022-01-23,601821,27035,8570,7498,392,3533,803,〃,〃,〃
2022-01-24,601963,27040,8570,7498,392,3533,803,〃,〃,〃
2022-01-25,602131,27045,8572,7498,392,3533,803,〃,〃,〃
2022-01-26,602295,27049,8572,7497,392,3533,803,〃,〃,〃
2022-01-27,602479,27055,8572,7497,392,3533,803,〃,〃,〃
2022-01-28,602641,27062,8572,7496,392,3535,803,〃,〃,〃
2022-01-29,602790,27072,8573,7499,392,3536,803,〃,〃,〃
2022-01-30,602913,27076,8575,7499,392,3536,803,〃,〃,〃
2022-01-31,603000,27078,8575,7497,392,3536,803,〃,〃,〃
2022-02-01,603138,27082,8575,7496,392,3536,803,〃,〃,〃
2022-02-02,603267,27084,8575,7495,392,3540,803,〃,〃,〃
2022-02-03,603405,27089,8575,7497,392,3540,803,〃,〃,〃
2022-02-04,603526,27089,8575,7497,392,3540,803,〃,〃,〃
2022-02-05,603646,27091,8575,7495,392,3540,803,〃,〃,〃
2022-02-06,603800,27096,8575,7494,392,3541,803,〃,〃,〃
2022-02-07,604106,27104,8575,7493,392,3541,804,〃,〃,〃
2022-02-08,604370,27109,8575,7494,392,3542,805,〃,〃,〃
2022-02-09,604547,27110,8575,7490,392,3543,805,〃,〃,〃
2022-02-10,604743,27117,8577,7489,392,3543,813,〃,〃,〃
2022-02-11,604956,27120,8579,7487,392,3547,813,〃,〃,〃
2022-02-12,605096,27122,8579,7483,392,3549,813,〃,〃,〃
2022-02-13,605226,27125,8581,7485,392,3549,813,〃,〃,〃
2022-02-14,605338,27128,8581,7486,392,3551,813,〃,〃,〃
2022-02-15,605427,27129,8581,7485,392,3553,813,〃,〃,〃
2022-02-16,605505,27131,8581,7483,392,3554,813,〃,〃,〃
2022-02-17,605567,27131,8581,7483,392,3554,813,〃,〃,〃
2022-02-18,605634,27133,8581,7483,392,3554,813,〃,〃,〃
2022-02-19,605744,27137,8583,7482,392,3554,813,〃,〃,〃
2022-02-20,605831,27137,8583,7479,392,3554,813,〃,〃,〃
2022-02-21,605875,27138,8583,7479,392,3554,813,〃,〃,〃
2022-02-22,605923,27141,8583,7479,392,3554,813,〃,〃,〃
2022-02-23,605962,27144,8583,7479,392,3554,813,〃,〃,〃
2022-02-24,606009,27144,8583,7479,392,3554,813,〃,〃,〃
2022-02-25,606060,27144,8583,7478,392,3556,813,〃,〃,〃
2022-02-26,606170,27146,8584,7477,392,3556,813,〃,〃,〃
2022-02-27,606284,27146,8584,7477,392,3556,813,〃,〃,〃
2022-02-28,606334,27146,8584,7477,392,3556,813,〃,〃,〃
2022-03-01,606369,27147,8584,7477,392,3556,813,〃,〃,〃
2022-03-02,606416,27147,8584,7478,392,3556,813,〃,〃,〃
2022-03-03,606454,27149,8584,7479,392,3556,813,〃,〃,〃
2022-03-04,606510,27150,8584,7475,392,3556,813,〃,〃,〃
2022-03-05,606607,27153,8586,7474,392,3556,813,〃,〃,〃
2022-03-06,606709,27155,8586,7474,392,3556,813,〃,〃,〃
2022-03-07,606751,27155,8586,7474,392,3556,813,〃,〃,〃
2022-03-08,606790,27156,8586,7473,392,3557,813,〃,〃,〃
2022-03-09,606837,27158,8586,7472,392,3557,813,〃,〃,〃
2022-03-10,606880,27160,8586,7471,392,3557,813,〃,〃,〃
