date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,51838,1450,387,559,171,364,115,【衬衫的价格为9磅15便士】mc还原2017高考英语听力,"相关游戏: Minecraft
简介补充: 0.介于很多人觉得旁白时间过长，故放出加速版
1.这次工作量似乎比符咒篇还要大...一堆的转场特效，算是业界良心了吧...
2.一题1.5分，共20小题。欢迎将你的答案分享到弹幕或评论区里，过几天会公布答案和听力材料
3.这个视频嘛，论画面就是MC短片，论音源就是极好的听力真题训练
4.最后一段听力来自某周报，由于各种版权约束，是手动录制手机外放声音的...所以听起来和别的音源不一样...不过这倒也符合了广播的风格
5.以后可能会出同人配（gui）音（chu）版，想参与的欢迎加入我们的工作室(°∀°)ﾉ",http://i2.hdslb.com/bfs/archive/89b1a713f038779ef70883d79b1aa142ad30bba5.jpg
2022-01-17,51891,1450,387,559,171,364,115,〃,〃,〃
2022-01-18,52143,1454,389,561,171,366,115,〃,〃,〃
2022-01-19,52427,1462,389,564,171,367,116,〃,〃,〃
2022-01-20,52623,1465,389,564,171,367,116,〃,〃,〃
2022-01-21,52791,1472,391,564,171,370,116,〃,〃,〃
2022-01-22,52908,1479,395,568,171,370,117,〃,〃,〃
2022-01-23,52995,1479,395,569,171,370,101,〃,〃,〃
2022-01-24,53085,1481,395,569,171,370,101,〃,〃,〃
2022-01-25,53196,1483,395,568,171,370,101,〃,〃,〃
2022-01-26,53307,1486,395,568,171,374,101,〃,〃,〃
2022-01-27,53457,1488,397,570,172,377,101,〃,〃,〃
2022-01-28,53590,1489,397,570,172,377,101,〃,〃,〃
2022-01-29,53673,1490,397,570,172,377,101,〃,〃,〃
2022-01-30,53741,1491,397,570,172,377,101,〃,〃,〃
2022-01-31,53800,1492,397,571,172,377,101,〃,〃,〃
2022-02-01,53880,1496,397,571,172,377,101,〃,〃,〃
2022-02-02,53964,1499,397,571,172,377,101,〃,〃,〃
2022-02-03,54037,1502,397,573,172,377,101,〃,〃,〃
2022-02-04,54125,1503,397,573,172,377,101,〃,〃,〃
2022-02-05,54210,1504,397,573,172,377,101,〃,〃,〃
2022-02-06,54286,1504,397,571,173,377,101,〃,〃,〃
2022-02-07,54495,1507,397,573,174,378,101,〃,〃,〃
2022-02-08,54651,1510,397,576,174,382,101,〃,〃,〃
2022-02-09,54798,1511,397,576,174,382,101,〃,〃,〃
2022-02-10,54918,1513,397,576,174,382,101,〃,〃,〃
2022-02-11,55017,1514,399,577,174,382,101,〃,〃,〃
2022-02-12,55104,1515,399,577,174,382,101,〃,〃,〃
2022-02-13,55172,1516,399,577,174,382,101,〃,〃,〃
2022-02-14,55253,1517,399,577,174,382,101,〃,〃,〃
2022-02-15,55316,1517,399,577,174,385,101,〃,〃,〃
2022-02-16,55373,1517,399,577,174,385,101,〃,〃,〃
2022-02-17,55413,1517,399,576,174,385,101,〃,〃,〃
2022-02-18,55452,1517,399,576,174,385,101,〃,〃,〃
2022-02-19,55535,1519,399,577,174,385,101,〃,〃,〃
2022-02-20,55590,1519,399,578,174,385,101,〃,〃,〃
2022-02-21,55632,1519,399,578,174,385,101,〃,〃,〃
2022-02-22,55667,1519,399,578,174,385,101,〃,〃,〃
2022-02-23,55709,1519,399,579,174,385,101,〃,〃,〃
2022-02-24,55738,1520,399,579,174,385,101,〃,〃,〃
2022-02-25,55773,1520,399,579,174,385,101,〃,〃,〃
2022-02-26,55860,1520,399,579,174,385,101,〃,〃,〃
2022-02-27,55941,1520,399,579,174,385,101,〃,〃,〃
2022-02-28,55976,1520,399,579,174,385,101,〃,〃,〃
2022-03-01,56015,1520,399,579,174,385,101,〃,〃,〃
2022-03-02,56052,1521,399,579,174,385,101,〃,〃,〃
2022-03-03,56077,1521,399,579,174,385,101,〃,〃,〃
2022-03-04,56132,1521,399,579,174,385,101,〃,〃,〃
2022-03-05,56218,1523,399,578,174,385,101,〃,〃,〃
2022-03-06,56327,1525,399,578,174,386,101,〃,〃,〃
2022-03-07,56365,1525,399,578,174,386,101,〃,〃,〃
2022-03-08,56401,1526,399,578,174,387,101,〃,〃,〃
2022-03-09,56444,1527,399,578,174,387,101,〃,〃,〃
2022-03-10,56476,1527,399,578,174,387,101,〃,〃,〃
2022-03-11,56502,1527,399,578,174,387,101,〃,〃,〃
2022-03-12,56540,1527,399,578,174,387,101,〃,〃,〃
2022-03-13,56583,1528,399,578,174,387,101,〃,〃,〃
2022-03-14,56602,1528,399,578,174,387,101,〃,〃,〃
2022-03-15,56630,1528,399,578,174,387,101,〃,〃,〃
2022-03-16,56651,1528,399,578,174,387,101,〃,〃,〃
2022-03-17,56667,1528,399,577,174,387,101,〃,〃,〃
2022-03-18,56684,1528,399,577,174,387,101,〃,〃,〃
2022-03-19,56726,1528,399,577,174,387,101,〃,〃,〃
2022-03-20,56763,1529,399,577,174,387,101,〃,〃,〃
2022-03-21,56777,1529,399,577,174,387,101,〃,〃,〃
2022-03-22,56795,1529,399,577,174,387,101,〃,〃,〃
2022-03-23,56827,1529,399,577,174,387,101,〃,〃,〃
2022-03-24,56853,1529,399,577,174,387,101,〃,〃,〃
2022-03-25,56877,1529,399,577,174,387,101,〃,〃,〃
2022-03-26,56903,1531,399,577,174,387,101,〃,〃,〃
2022-03-27,56930,1531,399,577,174,387,101,〃,〃,〃
