date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,9914949,206926,95368,109676,40292,37284,2881,当蔡徐坤穿越到《我的世界》生存,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
=========
一直都想做一期“打破次元壁”“真人+游戏”“鬼畜区+游戏区”的视频，突然发现我家坤坤正适合当男主，于是就有了这个鬼畜。
=========
本期视频主要用到的BGM：
【主题曲】只因你太美
【从天而降】Minecraft
【追鸡】空 洞 骑 士 - Nosk
【屠龙】Star Wars Main Title
【进击的坤坤】战争 - 刘小山/娄云青
=========
【请不要在其他无关地方刷UP主】",http://i2.hdslb.com/bfs/archive/a2a4704d3468cbd06cce0f6620326cf2942159ce.jpg
2022-01-17,9915545,206936,95371,109676,40295,37284,2881,〃,〃,〃
2022-01-18,9918968,206983,95378,109679,40299,37287,2881,〃,〃,〃
2022-01-19,9922263,207031,95390,109669,40307,37300,2881,〃,〃,〃
2022-01-20,9925574,207072,95401,109662,40311,37309,2882,〃,〃,〃
2022-01-21,9928963,207120,95404,109657,40319,37311,2882,〃,〃,〃
2022-01-22,9931199,207157,95414,109646,40325,37311,2882,〃,〃,〃
2022-01-23,9933326,207192,95422,109632,40332,37314,2883,〃,〃,〃
2022-01-24,9936509,207243,95429,109630,40337,37316,2883,〃,〃,〃
2022-01-25,9939601,207300,95444,109626,40341,37321,2883,〃,〃,〃
2022-01-26,9942600,207340,95458,109608,40345,37325,2883,〃,〃,〃
2022-01-27,9947900,207403,95466,109610,40349,37331,2884,〃,〃,〃
2022-01-28,9953123,207469,95481,109607,40355,37333,2884,〃,〃,〃
2022-01-29,9959062,207529,95493,109588,40363,37339,2884,〃,〃,〃
2022-01-30,9964240,207603,95507,109589,40373,37343,2884,〃,〃,〃
2022-01-31,9969681,207647,95524,109591,40377,37349,2884,〃,〃,〃
2022-02-01,9975128,207716,95552,109603,40385,37357,2885,〃,〃,〃
2022-02-02,9983319,207798,95582,109607,40388,37359,2886,〃,〃,〃
2022-02-03,9988945,207849,95597,109604,40391,37362,2908,〃,〃,〃
2022-02-04,9994831,207921,95610,109601,40397,37373,2908,〃,〃,〃
2022-02-05,10003481,208010,95631,109626,40402,37380,2911,〃,〃,〃
2022-02-06,10012946,208128,95650,109664,40413,37402,2914,〃,〃,〃
2022-02-07,10022229,208265,95698,109697,40425,37414,2916,〃,〃,〃
2022-02-08,10033408,208409,95732,109757,40436,37424,2919,〃,〃,〃
2022-02-09,10043722,208528,95766,109782,40448,37432,2919,〃,〃,〃
2022-02-10,10054952,208662,95796,109821,40469,37442,2920,〃,〃,〃
2022-02-11,10064888,208779,95834,109862,40483,37447,2923,〃,〃,〃
2022-02-12,10071386,208871,95851,109867,40493,37461,2923,〃,〃,〃
2022-02-13,10079007,208968,95880,109888,40503,37464,2924,〃,〃,〃
2022-02-14,10087357,209094,95910,109919,40521,37474,2927,〃,〃,〃
2022-02-15,10093142,209175,95914,109924,40532,37481,2927,〃,〃,〃
2022-02-16,10098744,209256,95940,109943,40545,37486,2930,〃,〃,〃
2022-02-17,10102807,209334,95949,109961,40553,37488,2931,〃,〃,〃
2022-02-18,10106915,209420,95965,109980,40561,37489,2931,〃,〃,〃
2022-02-19,10113381,209535,96002,110012,40573,37502,2933,〃,〃,〃
2022-02-20,10118684,209640,96020,110041,40587,37505,2934,〃,〃,〃
2022-02-21,10121000,209691,96031,110045,40594,37511,2934,〃,〃,〃
2022-02-22,10123475,209734,96042,110052,40599,37516,2935,〃,〃,〃
2022-02-23,10125736,209768,96045,110060,40603,37517,2934,〃,〃,〃
2022-02-24,10127992,209807,96053,110073,40609,37524,2935,〃,〃,〃
2022-02-25,10130983,209846,96074,110086,40622,37530,2935,〃,〃,〃
2022-02-26,10135684,209912,96098,110107,40633,37533,2936,〃,〃,〃
2022-02-27,10140012,209991,96127,110123,40642,37542,2935,〃,〃,〃
2022-02-28,10142242,210034,96141,110134,40648,37542,2935,〃,〃,〃
2022-03-01,10143946,210072,96150,110141,40651,37545,2937,〃,〃,〃
2022-03-02,10145602,210098,96159,110149,40655,37545,2937,〃,〃,〃
2022-03-03,10147035,210123,96163,110152,40659,37545,2937,〃,〃,〃
2022-03-04,10148933,210156,96170,110154,40669,37545,2938,〃,〃,〃
2022-03-05,10153256,210221,96182,110176,40681,37546,2938,〃,〃,〃
2022-03-06,10157543,210285,96202,110185,40687,37549,2939,〃,〃,〃
2022-03-07,10159550,210316,96216,110207,40692,37550,2939,〃,〃,〃
2022-03-08,10161539,210339,96224,110213,40694,37554,2939,〃,〃,〃
2022-03-09,10163525,210363,96231,110223,40699,37557,2939,〃,〃,〃
2022-03-10,10164778,210384,96233,110219,40705,37559,2939,〃,〃,〃
2022-03-11,10165982,210406,96237,110226,40709,37559,2939,〃,〃,〃
2022-03-12,10168904,210431,96242,110218,40713,37561,2939,〃,〃,〃
2022-03-13,10172084,210472,96252,110218,40720,37562,2939,〃,〃,〃
2022-03-14,10173565,210496,96260,110225,40727,37563,2939,〃,〃,〃
2022-03-15,10174679,210513,96267,110227,40734,37563,2939,〃,〃,〃
2022-03-16,10175488,210537,96273,110231,40736,37566,2939,〃,〃,〃
2022-03-17,10176296,210554,96278,110218,40740,37571,2939,〃,〃,〃
2022-03-18,10177260,210579,96279,110209,40745,37572,2940,〃,〃,〃
2022-03-19,10178773,210604,96279,110198,40750,37581,2940,〃,〃,〃
2022-03-20,10180280,210631,96284,110196,40755,37581,2940,〃,〃,〃
2022-03-21,10181175,210652,96291,110195,40760,37582,2941,〃,〃,〃
2022-03-22,10182003,210668,96295,110183,40767,37586,2941,〃,〃,〃
2022-03-23,10182812,210681,96297,110176,40772,37589,2941,〃,〃,〃
2022-03-24,10183601,210706,96297,110166,40779,37596,2941,〃,〃,〃
2022-03-25,10184681,210732,96304,110159,40782,37601,2941,〃,〃,〃
2022-03-26,10186295,210753,96308,110140,40788,37601,2942,〃,〃,〃
2022-03-27,10187732,210770,96316,110128,40794,37607,2942,〃,〃,〃
2022-03-28,10188572,210789,96324,110120,40799,37608,2942,〃,〃,〃
2022-03-29,10189552,210812,96328,110121,40800,37610,2942,〃,〃,〃
2022-03-30,10190453,210834,96331,110122,40804,37610,2942,〃,〃,〃
2022-03-31,10191458,210859,96335,110120,40808,37614,2942,〃,〃,〃
2022-04-01,10192494,210879,96338,110113,40812,37616,2943,〃,〃,〃
2022-04-02,10193932,210904,96344,110113,40819,37618,2943,〃,〃,〃
2022-04-03,10195893,210943,96352,110102,40826,37620,2946,〃,〃,〃
2022-04-04,10197698,210981,96361,110099,40835,37623,2946,〃,〃,〃
2022-04-05,10199254,211012,96365,110096,40839,37629,2946,〃,〃,〃
2022-04-06,10200376,211045,96376,110103,40843,37632,2946,〃,〃,〃
2022-04-07,10201461,211063,96378,110107,40848,37636,2946,〃,〃,〃
2022-04-08,10202540,211089,96380,110101,40852,37636,2946,〃,〃,〃
2022-04-09,10204381,211115,96381,110089,40856,37641,2946,〃,〃,〃
2022-04-10,10205974,211146,96387,110088,40861,37642,2947,〃,〃,〃
2022-04-11,10207038,211172,96392,110084,40867,37642,2948,〃,〃,〃
2022-04-12,10208012,211190,96396,110085,40872,37644,2949,〃,〃,〃
2022-04-13,10209042,211221,96406,110084,40875,37644,2949,〃,〃,〃
2022-04-14,10209901,211250,96408,110084,40881,37649,2949,〃,〃,〃
2022-04-15,10211065,211276,96410,110088,40884,37649,2950,〃,〃,〃
2022-04-16,10212686,211312,96419,110088,40890,37649,2950,〃,〃,〃
2022-04-17,10214175,211341,96427,110064,40896,37650,2951,〃,〃,〃
2022-04-18,10214982,211361,96427,110054,40896,37650,2951,〃,〃,〃
2022-04-19,10215747,211378,96431,110045,40900,37653,2950,〃,〃,〃
2022-04-20,10216594,211399,96438,110042,40902,37658,2950,〃,〃,〃
