date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,359622,4606,1505,2601,141,1179,279,跳舞的线 + 植物大战僵尸 = ？？？（持续更新）,"1.本合集持续更新
2.此脑洞为站军姿产物之一
3.经过两周的军训，已经可以10钻3皇冠完美通过《运动员进行曲》《歌唱祖国》《打靶归来》...
4.优质的游戏往往搭配着出色的bgm，pvz便是典例。
5.倘若真的存在pvz版DL，不考虑判定、视角因素，关卡难度分类应如下：
新手关：主界面、选卡界面
中等关：前院白天、前院夜晚、破罐者模式、泳池夜晚
魔王关：泳池白天（后半段高速连点）、《Zombies on your Lawn》
保龄球、传送带、僵王、屋顶白天",http://i0.hdslb.com/bfs/archive/bcecbb9e443fb556c471470d7d0b006c9583540e.jpg
2022-01-17,359641,4606,1505,2600,141,1179,279,〃,〃,〃
2022-01-18,359717,4607,1505,2599,141,1179,279,〃,〃,〃
2022-01-19,359817,4609,1505,2599,141,1179,279,〃,〃,〃
2022-01-20,359904,4609,1505,2599,141,1179,279,〃,〃,〃
2022-01-21,360022,4610,1505,2598,141,1179,279,〃,〃,〃
2022-01-22,360117,4611,1505,2598,141,1179,279,〃,〃,〃
2022-01-23,360204,4612,1505,2597,141,1179,279,〃,〃,〃
2022-01-24,360283,4613,1505,2597,141,1179,279,〃,〃,〃
2022-01-25,360381,4614,1505,2596,141,1179,279,〃,〃,〃
2022-01-26,360461,4615,1505,2596,141,1179,279,〃,〃,〃
2022-01-27,360541,4615,1505,2596,141,1179,279,〃,〃,〃
2022-01-28,360629,4615,1505,2594,141,1179,279,〃,〃,〃
2022-01-29,360713,4617,1505,2594,141,1179,279,〃,〃,〃
2022-01-30,360823,4619,1505,2594,141,1179,279,〃,〃,〃
2022-01-31,360907,4620,1505,2595,141,1179,279,〃,〃,〃
2022-02-01,361030,4622,1505,2594,141,1180,279,〃,〃,〃
2022-02-02,361158,4623,1505,2594,141,1180,279,〃,〃,〃
2022-02-03,361300,4626,1505,2595,141,1180,279,〃,〃,〃
2022-02-04,361397,4627,1505,2593,141,1180,279,〃,〃,〃
2022-02-05,361502,4629,1505,2593,141,1180,279,〃,〃,〃
2022-02-06,361628,4629,1505,2592,141,1180,279,〃,〃,〃
2022-02-07,361809,4634,1507,2594,141,1180,279,〃,〃,〃
2022-02-08,361992,4635,1507,2593,141,1181,279,〃,〃,〃
2022-02-09,362144,4636,1507,2593,141,1182,279,〃,〃,〃
2022-02-10,362310,4637,1507,2594,141,1182,279,〃,〃,〃
2022-02-11,362453,4640,1509,2596,141,1182,279,〃,〃,〃
2022-02-12,362591,4640,1509,2594,141,1182,279,〃,〃,〃
2022-02-13,362696,4640,1509,2593,141,1182,279,〃,〃,〃
2022-02-14,362820,4641,1509,2593,141,1182,279,〃,〃,〃
2022-02-15,362928,4643,1509,2593,141,1182,279,〃,〃,〃
2022-02-16,363039,4643,1509,2592,141,1182,279,〃,〃,〃
2022-02-17,363097,4643,1509,2592,141,1182,279,〃,〃,〃
2022-02-18,363193,4643,1509,2591,141,1182,279,〃,〃,〃
2022-02-19,363305,4643,1509,2591,141,1182,279,〃,〃,〃
2022-02-20,363398,4643,1509,2592,141,1182,279,〃,〃,〃
2022-02-21,363454,4644,1509,2592,141,1182,279,〃,〃,〃
2022-02-22,363525,4645,1509,2592,141,1182,279,〃,〃,〃
2022-02-23,363571,4645,1509,2593,141,1182,279,〃,〃,〃
2022-02-24,363630,4645,1509,2592,141,1182,279,〃,〃,〃
2022-02-25,363676,4647,1509,2593,141,1182,279,〃,〃,〃
2022-02-26,363780,4647,1509,2593,141,1182,279,〃,〃,〃
2022-02-27,363860,4647,1509,2594,141,1182,279,〃,〃,〃
2022-02-28,363885,4648,1509,2595,142,1182,279,〃,〃,〃
2022-03-01,363917,4648,1509,2595,142,1182,279,〃,〃,〃
2022-03-02,363975,4648,1509,2595,142,1182,279,〃,〃,〃
2022-03-03,364034,4648,1509,2595,142,1182,279,〃,〃,〃
2022-03-04,364136,4648,1509,2595,142,1182,279,〃,〃,〃
2022-03-05,364390,4650,1509,2597,142,1182,279,〃,〃,〃
2022-03-06,364653,4652,1509,2598,142,1183,279,〃,〃,〃
2022-03-07,364798,4652,1509,2598,142,1183,279,〃,〃,〃
2022-03-08,364928,4652,1509,2598,142,1183,279,〃,〃,〃
2022-03-09,365106,4652,1509,2598,142,1183,279,〃,〃,〃
2022-03-10,365284,4652,1509,2598,142,1183,279,〃,〃,〃
2022-03-11,365482,4654,1509,2599,142,1183,279,〃,〃,〃
2022-03-12,365780,4655,1509,2598,142,1183,279,〃,〃,〃
2022-03-13,365914,4655,1509,2597,142,1183,279,〃,〃,〃
2022-03-14,365962,4656,1509,2597,142,1184,279,〃,〃,〃
2022-03-15,366006,4656,1509,2598,142,1184,279,〃,〃,〃
2022-03-16,366034,4656,1509,2598,142,1184,279,〃,〃,〃
2022-03-17,366066,4657,1509,2599,142,1184,279,〃,〃,〃
2022-03-18,366141,4657,1509,2599,142,1184,279,〃,〃,〃
2022-03-19,366237,4658,1509,2601,142,1184,279,〃,〃,〃
2022-03-20,366323,4659,1509,2601,142,1183,279,〃,〃,〃
2022-03-21,366355,4659,1509,2601,142,1183,279,〃,〃,〃
2022-03-22,366395,4659,1509,2601,142,1183,279,〃,〃,〃
2022-03-23,366436,4659,1509,2601,142,1183,279,〃,〃,〃
2022-03-24,366484,4659,1509,2601,142,1183,279,〃,〃,〃
2022-03-25,366564,4660,1509,2601,142,1183,279,〃,〃,〃
2022-03-26,366699,4660,1509,2602,142,1184,279,〃,〃,〃
2022-03-27,366801,4660,1509,2603,142,1184,279,〃,〃,〃
2022-03-28,366861,4660,1509,2603,142,1184,279,〃,〃,〃
2022-03-29,366923,4660,1509,2603,142,1184,279,〃,〃,〃
2022-03-30,366982,4662,1509,2604,142,1184,279,〃,〃,〃
2022-03-31,367057,4663,1509,2605,142,1184,279,〃,〃,〃
2022-04-01,367126,4663,1509,2605,142,1184,279,〃,〃,〃
2022-04-02,367207,4665,1509,2606,142,1184,279,〃,〃,〃
2022-04-03,367317,4666,1509,2607,142,1184,279,〃,〃,〃
2022-04-04,367419,4667,1509,2606,142,1184,279,〃,〃,〃
2022-04-05,367518,4667,1509,2606,142,1184,279,〃,〃,〃
2022-04-06,367596,4668,1509,2604,142,1184,279,〃,〃,〃
2022-04-07,367678,4670,1509,2605,142,1184,279,〃,〃,〃
2022-04-08,367769,4670,1509,2606,142,1184,279,〃,〃,〃
2022-04-09,367913,4672,1509,2606,142,1184,279,〃,〃,〃
2022-04-10,368035,4673,1509,2608,142,1184,279,〃,〃,〃
2022-04-11,368117,4673,1509,2608,142,1184,279,〃,〃,〃
2022-04-12,368187,4673,1509,2608,142,1184,279,〃,〃,〃
2022-04-13,368261,4673,1509,2609,142,1184,279,〃,〃,〃
2022-04-14,368328,4674,1509,2609,142,1184,279,〃,〃,〃
2022-04-15,368407,4675,1509,2609,142,1184,279,〃,〃,〃
2022-04-16,368520,4676,1509,2609,142,1184,279,〃,〃,〃
2022-04-17,368631,4676,1509,2609,142,1184,279,〃,〃,〃
2022-04-18,368690,4678,1509,2610,142,1184,279,〃,〃,〃
2022-04-19,368762,4678,1509,2610,142,1184,279,〃,〃,〃
2022-04-20,368819,4678,1509,2610,142,1184,279,〃,〃,〃
2022-04-21,368870,4678,1509,2610,142,1184,279,〃,〃,〃
2022-04-22,368919,4678,1509,2610,142,1184,279,〃,〃,〃
2022-04-23,369058,4679,1510,2610,142,1184,279,〃,〃,〃
2022-04-24,369116,4679,1510,2610,142,1184,279,〃,〃,〃
2022-04-25,369178,4679,1510,2610,142,1184,279,〃,〃,〃
2022-04-26,369228,4679,1510,2609,142,1184,279,〃,〃,〃
2022-04-27,369284,4679,1510,2609,142,1184,279,〃,〃,〃
2022-04-28,369347,4680,1512,2610,142,1184,279,〃,〃,〃
2022-04-29,369466,4680,1512,2611,142,1164,278,〃,〃,〃
2022-04-30,369585,4681,1512,2613,142,1144,277,〃,〃,〃
2022-05-01,369693,4681,1512,2614,142,1144,277,〃,〃,〃
2022-05-02,369770,4684,1512,2614,142,1144,277,〃,〃,〃
2022-05-03,369850,4684,1512,2614,142,1144,277,〃,〃,〃
2022-05-04,369906,4685,1512,2613,142,1144,277,〃,〃,〃
2022-05-05,369943,4685,1512,2612,142,1144,277,〃,〃,〃
2022-05-06,369974,4686,1512,2613,142,1144,277,〃,〃,〃
2022-05-07,370009,4687,1512,2613,142,1144,277,〃,〃,〃
2022-05-08,370080,4688,1512,2614,142,1144,277,〃,〃,〃
2022-05-09,370109,4688,1512,2614,142,1144,277,〃,〃,〃
2022-05-10,370144,4689,1512,2615,142,1144,277,〃,〃,〃
2022-05-11,370180,4691,1512,2616,142,1144,277,〃,〃,〃
2022-05-12,370237,4691,1512,2615,142,1144,277,〃,〃,〃
2022-05-13,370302,4691,1512,2615,142,1144,277,〃,〃,〃
2022-05-14,370373,4691,1512,2616,142,1144,277,〃,〃,〃
2022-05-15,370483,4691,1512,2614,142,1144,277,〃,〃,〃
2022-05-16,370507,4691,1512,2614,142,1144,277,〃,〃,〃
2022-05-17,370537,4691,1512,2615,142,1144,277,〃,〃,〃
2022-05-18,370557,4691,1512,2615,142,1144,277,〃,〃,〃
2022-05-19,370581,4692,1514,2616,142,1144,277,〃,〃,〃
2022-05-20,370612,4692,1514,2617,142,1145,277,〃,〃,〃
2022-05-21,370687,4692,1514,2617,142,1145,277,〃,〃,〃
2022-05-22,370755,4692,1514,2616,142,1145,277,〃,〃,〃
2022-05-23,370788,4692,1514,2616,142,1145,277,〃,〃,〃
2022-05-24,370810,4692,1514,2616,142,1145,277,〃,〃,〃
2022-05-25,370844,4693,1514,2617,142,1145,277,〃,〃,〃
2022-05-26,370871,4694,1514,2618,142,1145,277,〃,〃,〃
2022-05-27,370915,4694,1514,2618,142,1145,277,〃,〃,〃
2022-05-28,370977,4695,1514,2620,142,1145,277,〃,〃,〃
2022-05-29,371027,4696,1514,2621,142,1145,277,〃,〃,〃
2022-05-30,371047,4696,1514,2621,142,1145,277,〃,〃,〃
2022-05-31,371083,4696,1514,2621,142,1145,277,〃,〃,〃
2022-06-01,371139,4697,1514,2621,142,1145,277,〃,〃,〃
2022-06-02,371179,4699,1514,2622,142,1145,277,〃,〃,〃
2022-06-03,371255,4700,1514,2622,142,1145,277,〃,〃,〃
2022-06-04,371336,4700,1514,2622,142,1145,277,〃,〃,〃
2022-06-05,371433,4700,1514,2622,142,1145,277,〃,〃,〃
2022-06-06,371458,4700,1514,2622,142,1144,277,〃,〃,〃
2022-06-07,371501,4702,1514,2623,142,1144,277,〃,〃,〃
2022-06-08,371534,4702,1514,2622,142,1144,277,〃,〃,〃
2022-06-09,371555,4702,1514,2622,142,1144,277,〃,〃,〃
2022-06-10,371578,4702,1514,2622,142,1144,277,〃,〃,〃
2022-06-11,371639,4702,1514,2622,142,1144,277,〃,〃,〃
2022-06-12,371671,4702,1514,2622,142,1144,277,〃,〃,〃
2022-06-13,371689,4702,1514,2622,142,1144,277,〃,〃,〃
2022-06-14,371707,4702,1514,2622,142,1144,277,〃,〃,〃
2022-06-17,371776,4703,1516,2623,142,1144,277,〃,〃,〃
2022-06-18,371817,4704,1516,2625,142,1144,277,〃,〃,〃
2022-06-19,371860,4707,1518,2625,142,1144,277,〃,〃,〃
