date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,1130903,70172,78272,38951,6314,7896,1082,我的世界 史上最吊『连锁反应』：序〈群系主题〉（金蛋/GoldenEggs原创作品）,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
===================================
1.脑洞突破天际的一期
2.本次连锁反应的主题是“探索的时光”，一场连锁封印就将17种各具特色的群系空岛串联在一起
3.这期讲述了牛顿无意中躲开苹果，导致一系列事件，最终造成一堆苹果砸死牛顿的惨案
4.此次连锁的细节实在是太多，这里就不再详述，70个左右的成就除了玩梗，也有着注释说明的作用
5.别忘完成本期视频的挑战哦
6.return 0；
===================================
本期视频主要用到的BGM：
【挑战界面】 FC《坦克大战》战前BGM
【牛顿与苹果树】幼女幻奏
【连锁反应第一段】Nyan Cat（彩虹猫）MIDI
【骷髅对视x1】Refrain
【骷髅对视x2】前前前世 (movie ver.)
【猪飞天】云宫迅音
【零糖麦片x1】温泉わくわくしんちゃん
【连锁反应第一点五段】西班牙斗牛士
【马飞飞x1】大风车
【连锁反应第二段】Easy Breeze
【羊驼叫】如何用100秒让张杰感受UP主的爱
【马飞飞x2】天国と地狱
【连锁反应第三段】旅立ちの序曲 ～OVERTURE:FAIRY TAIL メインテーマ～
【停电】Main Titles
【谋杀真相】The Final Zepp (Remix of Zepp Fivefrom Saw V)
【牛顿回到树下】BGM1 - V.A.
【牛顿被苹果砸死】小苹果 日文版(dub remix)
【P3-第一人称视角版】Nevada (feat. Cozi Zuehlsdorff)
===================================
【请不要在其他无关地方刷UP主】",http://i0.hdslb.com/bfs/archive/3a966e6f9825ff9b1db4eba463eaec02c6298c00.jpg
2022-01-17,1130979,70175,78274,38950,6314,7896,1082,〃,〃,〃
2022-01-18,1131220,70183,78279,38953,6314,7898,1082,〃,〃,〃
2022-01-19,1131477,70193,78285,38955,6315,7901,1082,〃,〃,〃
2022-01-20,1131696,70201,78285,38954,6315,7901,1082,〃,〃,〃
2022-01-21,1131941,70208,78290,38948,6315,7902,1082,〃,〃,〃
2022-01-22,1132113,70213,78291,38943,6315,7902,1082,〃,〃,〃
2022-01-23,1132242,70214,78295,38940,6315,7905,1082,〃,〃,〃
2022-01-24,1132394,70223,78297,38937,6315,7905,1082,〃,〃,〃
2022-01-25,1132563,70230,78301,38932,6315,7905,1082,〃,〃,〃
2022-01-26,1132694,70235,78305,38932,6315,7906,1082,〃,〃,〃
2022-01-27,1132846,70239,78307,38928,6315,7907,1082,〃,〃,〃
2022-01-28,1133006,70247,78309,38926,6315,7907,1082,〃,〃,〃
2022-01-29,1133161,70250,78309,38920,6315,7907,1082,〃,〃,〃
2022-01-30,1133282,70258,78312,38915,6315,7910,1082,〃,〃,〃
2022-01-31,1133415,70264,78314,38911,6315,7910,1082,〃,〃,〃
2022-02-01,1133573,70269,78314,38904,6315,7910,1082,〃,〃,〃
2022-02-02,1133731,70272,78321,38900,6315,7910,1082,〃,〃,〃
2022-02-03,1133868,70276,78321,38894,6315,7910,1082,〃,〃,〃
2022-02-04,1134002,70278,78321,38886,6315,7910,1082,〃,〃,〃
2022-02-05,1134158,70283,78321,38879,6315,7910,1082,〃,〃,〃
2022-02-06,1134316,70293,78323,38878,6315,7910,1082,〃,〃,〃
2022-02-07,1136064,70418,78360,38900,6315,7914,1082,〃,〃,〃
2022-02-08,1136757,70449,78366,38901,6318,7917,1082,〃,〃,〃
2022-02-09,1137206,70468,78374,38900,6319,7918,1083,〃,〃,〃
2022-02-10,1137527,70484,78375,38897,6319,7919,1083,〃,〃,〃
2022-02-11,1137790,70496,78381,38897,6319,7919,1083,〃,〃,〃
2022-02-12,1137987,70505,78381,38891,6319,7919,1083,〃,〃,〃
2022-02-13,1138169,70507,78381,38887,6319,7920,1083,〃,〃,〃
2022-02-14,1138323,70517,78381,38886,6319,7920,1083,〃,〃,〃
2022-02-15,1138492,70524,78386,38884,6319,7921,1083,〃,〃,〃
