date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,2178654,194156,188502,87146,10341,18840,1792,我的世界 史上最雕『连锁反应』：破〈逃亡主题〉（金蛋/GoldenEggs原创作品）,"本视频为原创，基于此游戏拍摄：我的世界 / Minecraft / MC
使用replay+aperture模组（不要问为啥脚踏两条船，因为模组BUG实在太多了啊啊啊啊）
===================================
0.暑假的大招之一应该就是它了...等等，暑假怎么就结束了？！
1.这次是逃亡主题（强行总结 = =）
2.第一部是史上最刁 ，第二部是史上最吊 ，第三部是史上最雕，那么第四部是....史上最DIO？
3.地图设计师还有很多骚到令人喷饭的骚话要给各位分享，请大家自觉忽略并拉黑
4.听说视频工作量一节更比六节强
===================================
连锁3高清重制版已更新，做了一些小改动
1.补拍了一个新的特写镜头（阿基米德踩压力板）
2.新的开头注释（为方便萌新理解）
3.室内亮度提高
4.挑战挪到最后，改成正片开始
5.字幕改动（注释、加省略号）
6.删改不和谐的音效（比如放屁音效改成pvz僵尸落水音效）
7.VBR 2次，更清晰的画质
8.抬头看到200000时，画面亮度对比度陡然提高
===================================
本期视频主要用到的BGM：
【阿基米德得罪国王】帝国のマーチ(ダース・ベイダーのテーマ)
【阿基米德被追杀】Pacific Rim
【连锁反应第一段】捣蛋猪 - begin
【村民发呆】小心な侵入者
【村民被僵尸追赶】対武器ボス戦
【连锁反应第二段】To Victory
【西瓜投手】pvz - Graze the Roof IN-GAME
【连锁反应第三段】カワキヲアメク（家有女友 OP）（Cover：美波）
【20w粉纪念曲】Into The Sun
===================================
【请不要在其他无关地方刷UP主】",http://i0.hdslb.com/bfs/archive/6ff761f256ef53de3df46be66396b44f8ff0d979.jpg
2022-01-17,2178759,194160,188502,87142,10341,18840,1792,〃,〃,〃
2022-01-18,2179153,194177,188521,87144,10341,18846,1792,〃,〃,〃
2022-01-19,2179573,194192,188541,87145,10341,18847,1792,〃,〃,〃
2022-01-20,2179980,194207,188551,87139,10341,18850,1792,〃,〃,〃
2022-01-21,2180375,194221,188565,87130,10341,18850,1792,〃,〃,〃
2022-01-22,2180671,194226,188567,87124,10341,18863,1792,〃,〃,〃
2022-01-23,2180911,194227,188568,87110,10341,18863,1792,〃,〃,〃
2022-01-24,2181158,194236,188570,87104,10341,18863,1792,〃,〃,〃
2022-01-25,2181415,194241,188574,87083,10341,18864,1792,〃,〃,〃
2022-01-26,2181678,194253,188581,87076,10342,18864,1792,〃,〃,〃
2022-01-27,2181929,194259,188585,87063,10342,18864,1792,〃,〃,〃
2022-01-28,2182218,194263,188587,87051,10343,18864,1792,〃,〃,〃
2022-01-29,2182470,194272,188589,87039,10344,18865,1792,〃,〃,〃
2022-01-30,2182694,194282,188592,87024,10344,18867,1792,〃,〃,〃
2022-01-31,2182907,194288,188596,87016,10344,18867,1792,〃,〃,〃
2022-02-01,2183210,194296,188598,87011,10344,18867,1792,〃,〃,〃
2022-02-02,2183491,194298,188598,86997,10344,18867,1792,〃,〃,〃
2022-02-03,2183715,194305,188600,86990,10345,18867,1792,〃,〃,〃
2022-02-04,2183929,194308,188600,86974,10345,18867,1792,〃,〃,〃
2022-02-05,2184166,194312,188602,86959,10345,18867,1792,〃,〃,〃
2022-02-06,2184431,194327,188609,86947,10346,18868,1792,〃,〃,〃
2022-02-07,2187973,194558,188720,86993,10347,18882,1792,〃,〃,〃
2022-02-08,2189324,194659,188782,87003,10347,18887,1792,〃,〃,〃
2022-02-09,2190138,194694,188804,86995,10348,18889,1792,〃,〃,〃
2022-02-10,2190706,194721,188823,86992,10349,18890,1792,〃,〃,〃
2022-02-11,2191156,194742,188836,86990,10349,18894,1792,〃,〃,〃
2022-02-12,2191513,194764,188852,86980,10349,18908,1792,〃,〃,〃
2022-02-13,2191839,194777,188856,86974,10349,18910,1792,〃,〃,〃
2022-02-14,2192131,194793,188860,86962,10349,18911,1792,〃,〃,〃
2022-02-15,2192422,194811,188875,86957,10349,18913,1792,〃,〃,〃
2022-02-16,2192681,194822,188883,86949,10349,18917,1792,〃,〃,〃
2022-02-17,2192862,194830,188889,86945,10349,18918,1792,〃,〃,〃
2022-02-18,2193052,194832,188891,86939,10349,18918,1792,〃,〃,〃
2022-02-19,2193309,194842,188899,86934,10349,18920,1792,〃,〃,〃
2022-02-20,2193564,194855,188904,86922,10349,18920,1792,〃,〃,〃
2022-02-21,2193689,194865,188907,86920,10349,18922,1792,〃,〃,〃
2022-02-22,2193822,194866,188907,86913,10349,18922,1792,〃,〃,〃
2022-02-23,2193959,194867,188907,86912,10349,18922,1792,〃,〃,〃
2022-02-24,2194127,194872,188907,86909,10349,18923,1792,〃,〃,〃
2022-02-25,2194287,194880,188912,86905,10349,18923,1792,〃,〃,〃
2022-02-26,2194554,194889,188918,86897,10349,18923,1792,〃,〃,〃
2022-02-27,2194785,194896,188919,86888,10349,18926,1792,〃,〃,〃
2022-02-28,2194886,194900,188923,86884,10350,18927,1792,〃,〃,〃
2022-03-01,2194962,194903,188927,86884,10350,18927,1792,〃,〃,〃
2022-03-02,2195049,194908,188931,86883,10350,18927,1792,〃,〃,〃
2022-03-03,2195164,194909,188933,86879,10350,18927,1792,〃,〃,〃
2022-03-04,2195277,194911,188937,86869,10350,18927,1792,〃,〃,〃
2022-03-05,2195565,194922,188943,86862,10351,18930,1792,〃,〃,〃
2022-03-06,2195828,194932,188950,86859,10352,18934,1792,〃,〃,〃
2022-03-07,2195935,194935,188952,86859,10352,18934,1792,〃,〃,〃
2022-03-08,2196045,194938,188954,86854,10352,18936,1792,〃,〃,〃
2022-03-09,2196142,194940,188955,86851,10352,18936,1792,〃,〃,〃
2022-03-10,2196214,194944,188958,86847,10352,18936,1792,〃,〃,〃
2022-03-11,2196322,194947,188958,86841,10352,18936,1792,〃,〃,〃
2022-03-12,2196514,194952,188963,86829,10352,18936,1792,〃,〃,〃
2022-03-13,2196677,194953,188963,86820,10352,18936,1792,〃,〃,〃
2022-03-14,2196773,194955,188965,86813,10352,18936,1792,〃,〃,〃
2022-03-15,2196879,194956,188965,86805,10352,18936,1792,〃,〃,〃
2022-03-16,2196968,194958,188965,86794,10352,18941,1792,〃,〃,〃
2022-03-17,2197045,194961,188969,86788,10352,18941,1792,〃,〃,〃
2022-03-18,2197159,194961,188971,86777,10352,18941,1792,〃,〃,〃
2022-03-19,2197357,194968,188975,86767,10352,18941,1792,〃,〃,〃
2022-03-20,2197544,194975,188977,86754,10352,18941,1791,〃,〃,〃
2022-03-21,2197653,194979,188982,86746,10352,18941,1791,〃,〃,〃
2022-03-22,2197758,194981,188986,86746,10352,18941,1791,〃,〃,〃
2022-03-23,2197875,194984,188991,86740,10352,18941,1791,〃,〃,〃
2022-03-24,2197971,194985,188991,86730,10352,18941,1791,〃,〃,〃
2022-03-25,2198103,194989,188995,86715,10352,18941,1791,〃,〃,〃
2022-03-26,2198291,194997,189000,86704,10352,18942,1791,〃,〃,〃
2022-03-27,2198480,195002,189002,86695,10352,18943,1791,〃,〃,〃
2022-03-28,2198600,195004,189009,86686,10352,18943,1791,〃,〃,〃
2022-03-29,2198707,195008,189009,86682,10352,18943,1791,〃,〃,〃
2022-03-30,2198810,195009,189011,86677,10352,18943,1791,〃,〃,〃
2022-03-31,2198946,195012,189013,86668,10352,18943,1791,〃,〃,〃
