date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,448508,3674,1610,1750,160,1847,305,【Minecraft】颠倒の世界（第1集）,"本视频基于此游戏拍摄：我的世界 / Minecraft / MC
1.创意源自电影《逆世界》
2.开头模仿了一番君名，但剧情还是偏MC生存化了..
3.说赔脖子的，你可以用手机端打开这个视频，然后把手机屏幕旋转180度
4.如果你有更好的创意，欢迎加入我们的工作室~",http://i0.hdslb.com/bfs/archive/38696fa029d2e08826c77ab684bcd2e4a9a94345.jpg
2022-01-17,448563,3678,1610,1750,160,1848,305,〃,〃,〃
2022-01-18,448848,3689,1610,1750,160,1849,305,〃,〃,〃
2022-01-19,449189,3704,1610,1753,160,1850,306,〃,〃,〃
2022-01-20,449519,3708,1610,1755,160,1850,306,〃,〃,〃
2022-01-21,449797,3712,1610,1756,160,1852,306,〃,〃,〃
2022-01-22,449968,3717,1612,1758,160,1852,306,〃,〃,〃
2022-01-23,450111,3720,1612,1759,160,1852,306,〃,〃,〃
2022-01-24,450280,3723,1612,1760,160,1853,306,〃,〃,〃
2022-01-25,450465,3728,1612,1759,160,1853,306,〃,〃,〃
2022-01-26,450653,3732,1612,1759,160,1853,306,〃,〃,〃
2022-01-27,451080,3739,1612,1759,160,1853,306,〃,〃,〃
2022-01-28,451457,3741,1613,1758,160,1853,306,〃,〃,〃
2022-01-29,451878,3745,1615,1759,160,1853,306,〃,〃,〃
2022-01-30,452276,3748,1615,1758,160,1854,306,〃,〃,〃
2022-01-31,452662,3749,1617,1759,160,1854,306,〃,〃,〃
2022-02-01,452990,3751,1617,1759,160,1854,306,〃,〃,〃
2022-02-02,453509,3755,1617,1760,160,1854,306,〃,〃,〃
2022-02-03,453872,3760,1617,1762,160,1854,306,〃,〃,〃
2022-02-04,454219,3760,1617,1761,160,1854,306,〃,〃,〃
2022-02-05,454751,3761,1617,1763,160,1854,306,〃,〃,〃
2022-02-06,455260,3762,1617,1765,160,1854,306,〃,〃,〃
2022-02-07,455874,3772,1617,1769,160,1856,306,〃,〃,〃
2022-02-08,456491,3775,1617,1769,160,1857,306,〃,〃,〃
2022-02-09,457095,3781,1617,1769,160,1857,306,〃,〃,〃
2022-02-10,457711,3791,1620,1773,160,1857,306,〃,〃,〃
2022-02-11,458216,3794,1622,1774,160,1857,306,〃,〃,〃
2022-02-12,458526,3795,1622,1774,160,1857,306,〃,〃,〃
2022-02-13,458843,3798,1624,1774,160,1858,306,〃,〃,〃
2022-02-14,459184,3801,1624,1775,160,1858,306,〃,〃,〃
2022-02-15,459445,3803,1624,1775,160,1858,306,〃,〃,〃
2022-02-16,459714,3804,1624,1775,160,1858,306,〃,〃,〃
2022-02-17,459900,3804,1624,1775,160,1858,306,〃,〃,〃
