date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-01-16,3316383,125338,44990,64321,13611,102341,4203,在孤岛上，如何活下来？（可调戏旁白+六种结局+彩蛋）我的世界 & 互动视频《鲁滨伟漂流记》,"本视频基于此游戏拍摄：我的世界 / Minecraft / MC
灵感源自《史丹利的寓言》
【非互动版】BV1L5411s7av
===================================
本视频使用aperture+blockbuster模组拍摄
制作不易，未经授权，请勿商用
===================================
1.最近会出一个专栏介绍各种结局
2.哇这工作量丧心病狂
3.肝疼头疼眼睛疼
4.金蛋视频工作室x
金蛋游戏工作室√
5.史丹利和艾希觉得很赞
6.连续肝24小时都快忘了怎么写简介不管了就这样写吧
===================================
本期视频主要用到的BGM：
【开头】pvz2 - 海盗港湾
【孤岛醒来】Work To Be Done
【中毒结局】Promise(Reprise)
【发现船体残骸】Countdown
【幸福结局】Jesu Joy Of Man's Desire
【发现紫黑色方块】Lullaby
【深入&逃离矿洞】Smoke of Deceit
【返回地面】空洞骑士 - Greenpath
【崩坏结局】Dream Is Collapsing
【掉入深渊】The X Files End Credits (Extended #1)
【自由结局】开启新征程
===================================",http://i1.hdslb.com/bfs/archive/7b6a8f05d11fbcafab6eb6997e105838d91e5f7c.jpg
2022-01-17,3316558,125342,44990,64325,13611,102344,4203,〃,〃,〃
2022-01-18,3317606,125365,44998,64330,13612,102356,4205,〃,〃,〃
2022-01-19,3318866,125404,45004,64328,13615,102375,4206,〃,〃,〃
2022-01-20,3320029,125448,45016,64332,13623,102393,4207,〃,〃,〃
2022-01-21,3321334,125494,45040,64341,13623,102415,4208,〃,〃,〃
2022-01-22,3322551,125521,45052,64339,13626,102433,4209,〃,〃,〃
2022-01-23,3323733,125564,45065,64339,13629,102461,4210,〃,〃,〃
2022-01-24,3325058,125605,45071,64344,13629,102488,4210,〃,〃,〃
2022-01-25,3326425,125641,45081,64353,13631,102503,4211,〃,〃,〃
2022-01-26,3327822,125683,45095,64364,13631,102512,4211,〃,〃,〃
