date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-02-01 11:14:41,165638,62329,61071,24791,3472,20859,3264,2022我的世界拜年纪,"拜托观众老爷这次三连给上吧！
真的真的肝爆了！（我的世界拜年纪）",http://i1.hdslb.com/bfs/archive/fcf4fb506bce1a98aaa13069c87b785d68425d0c.jpg
2022-02-01 12:05:00,310812,108068,117802,47446,6793,39824,4663,〃,〃,〃
2022-02-01 13:05:00,446970,147727,168307,67567,9484,59241,5639,〃,〃,〃
2022-02-01 14:05:00,563575,178897,208816,83556,11482,73860,6358,〃,〃,〃
2022-02-01 15:05:00,652553,203009,239807,95726,12890,84582,6885,〃,〃,〃
2022-02-01 16:05:00,748352,225191,267354,106454,14076,94553,7361,〃,〃,〃
2022-02-01 17:05:00,843320,244871,291689,115996,15141,102885,7743,〃,〃,〃
2022-02-01 18:05:00,944419,264689,315540,125419,16199,110465,8122,〃,〃,〃
2022-02-01 19:05:00,1042083,282426,337449,134128,17269,117095,8433,〃,〃,〃
2022-02-01 20:05:00,1119756,297852,357061,141854,18262,123799,8748,〃,〃,〃
2022-02-01 21:05:00,1190427,310083,372581,148122,18938,128956,8976,〃,〃,〃
2022-02-01 22:05:00,1264711,325421,392775,156227,19888,134892,9252,〃,〃,〃
2022-02-01 23:05:00,1340443,340432,413469,164472,20831,140496,9523,〃,〃,〃
2022-02-02 00:05:00,1403351,352686,430112,171034,21634,144878,9740,〃,〃,〃
2022-02-02 01:05:00,1445651,360669,440956,175169,22083,147815,9883,〃,〃,〃
2022-02-02 02:05:00,1471898,365619,447866,177805,22341,149432,9955,〃,〃,〃
2022-02-02 03:05:00,1487258,368468,451751,179291,22487,150432,10013,〃,〃,〃
2022-02-02 04:05:00,1496189,370036,454021,180187,22552,150887,10040,〃,〃,〃
2022-02-02 05:05:00,1501726,370962,455273,180684,22597,151097,10043,〃,〃,〃
2022-02-02 06:05:00,1505674,371564,456075,180992,22628,151255,10056,〃,〃,〃
2022-02-02 07:05:00,1510128,372117,456833,181285,22660,151402,10064,〃,〃,〃
2022-02-02 08:05:00,1521753,373464,458563,181993,22726,151815,10078,〃,〃,〃
2022-02-02 09:05:00,1547779,376625,462646,183609,22897,152830,10120,〃,〃,〃
2022-02-02 10:05:00,1586167,381939,469579,186478,23224,154856,10206,〃,〃,〃
2022-02-02 11:05:00,1625170,388222,477813,189801,23631,157451,10297,〃,〃,〃
2022-02-02 12:05:00,1673942,394934,486782,193370,24078,160429,10419,〃,〃,〃
2022-02-02 13:05:00,1712903,401253,495199,196630,24487,163115,10526,〃,〃,〃
2022-02-02 14:05:00,1743947,406689,502466,199522,24860,165624,10600,〃,〃,〃
2022-02-02 15:05:00,1773540,411820,509191,202199,25213,167847,10698,〃,〃,〃
2022-02-02 16:05:00,1801412,416342,515084,204551,25501,169628,10778,〃,〃,〃
2022-02-02 17:05:00,1828284,420614,520606,206700,25727,171668,10852,〃,〃,〃
2022-02-02 18:05:00,1857266,425280,526549,209070,25976,173596,10956,〃,〃,〃
2022-02-02 19:05:00,1886896,430000,532594,211464,26265,175674,11063,〃,〃,〃
2022-02-02 20:05:00,1915111,434722,538716,213899,26568,177736,11142,〃,〃,〃
2022-02-02 21:05:00,1940363,438656,543764,215881,26806,179368,11211,〃,〃,〃
2022-02-02 22:05:00,1969537,443323,549779,218400,27069,181466,11272,〃,〃,〃
2022-02-02 23:05:00,1996993,448108,555868,220903,27327,183222,11340,〃,〃,〃
2022-02-03 00:05:00,2020288,452031,561075,223014,27580,184743,11410,〃,〃,〃
2022-02-03 01:05:00,2037184,454869,564859,224432,27717,185796,11441,〃,〃,〃
2022-02-03 02:05:00,2048590,456676,567305,225354,27795,186290,11490,〃,〃,〃
2022-02-03 03:05:00,2055863,457818,568836,225938,27842,186499,11517,〃,〃,〃
2022-02-03 04:05:00,2060104,458478,569706,226290,27868,186624,11528,〃,〃,〃
2022-02-03 05:05:00,2062562,458854,570171,226474,27889,186681,11536,〃,〃,〃
2022-02-03 06:05:00,2064352,459139,570554,226601,27894,186757,11527,〃,〃,〃
2022-02-03 07:05:00,2066148,459368,570859,226718,27910,186805,11531,〃,〃,〃
2022-02-03 08:05:00,2070803,459938,571633,227056,27942,186941,11536,〃,〃,〃
2022-02-03 09:05:00,2081138,461178,573171,227735,28004,187270,11569,〃,〃,〃
2022-02-03 10:05:00,2098252,463526,576104,228971,28133,187943,11595,〃,〃,〃
2022-02-03 11:05:00,2121506,466765,580082,230694,28282,188940,11641,〃,〃,〃
2022-02-03 12:05:00,2148631,470239,584401,232545,28459,190024,11696,〃,〃,〃
2022-02-03 13:05:00,2172395,473572,588633,234315,28650,191175,11765,〃,〃,〃
2022-02-03 14:05:00,2193651,476628,592606,235963,28813,192217,11822,〃,〃,〃
2022-02-03 15:05:00,2213290,479243,596027,237399,28958,193166,11879,〃,〃,〃
2022-02-03 16:05:00,2232328,481779,599211,238780,29087,193935,11918,〃,〃,〃
2022-02-03 17:05:00,2251394,484224,602196,240044,29191,194830,11950,〃,〃,〃
2022-02-03 18:05:00,2271675,486706,605331,241371,29321,195646,11984,〃,〃,〃
2022-02-03 19:05:00,2301424,491009,610148,243514,29521,197029,12038,〃,〃,〃
2022-02-03 20:05:00,2332296,495697,615551,245963,29771,198421,12094,〃,〃,〃
2022-02-03 21:05:00,2361974,499947,620309,248196,29993,199837,12144,〃,〃,〃
2022-02-03 22:05:00,2392469,504727,625710,250726,30262,201447,12209,〃,〃,〃
2022-02-03 23:05:00,2419366,508912,630480,252895,30475,202859,12267,〃,〃,〃
2022-02-04 00:05:00,2439968,512247,634460,254583,30651,203871,12320,〃,〃,〃
2022-02-04 01:05:00,2454316,514565,637375,255733,30745,204465,12336,〃,〃,〃
2022-02-04 02:05:00,2463819,516012,639100,256453,30798,204848,12354,〃,〃,〃
2022-02-04 03:05:00,2469434,516930,640244,256917,30829,205082,12362,〃,〃,〃
2022-02-04 04:05:00,2472748,517427,640847,257145,30842,205202,12366,〃,〃,〃
2022-02-04 05:05:00,2474709,517714,641205,257290,30860,205255,12370,〃,〃,〃
2022-02-04 06:05:00,2476177,517937,641483,257390,30871,205327,12364,〃,〃,〃
2022-02-04 07:05:00,2477925,518168,641743,257499,30881,205373,12367,〃,〃,〃
2022-02-04 08:05:00,2482357,518802,642404,257815,30905,205485,12373,〃,〃,〃
2022-02-04 09:05:00,2493378,520495,644172,258627,30984,205860,12384,〃,〃,〃
2022-02-04 10:05:00,2510022,523162,647135,259986,31109,206630,12415,〃,〃,〃
2022-02-04 11:05:00,2528948,525957,650405,261490,31249,207515,12447,〃,〃,〃
2022-02-04 12:05:00,2548842,528742,653878,263024,31397,208547,12492,〃,〃,〃
2022-02-04 13:05:00,2568529,531674,657377,264596,31550,209631,12533,〃,〃,〃
2022-02-04 14:05:00,2586980,534242,660531,265981,31696,210498,12571,〃,〃,〃
2022-02-04 15:05:00,2604205,536602,663369,267247,31808,211279,12604,〃,〃,〃
2022-02-04 16:05:00,2621002,538825,665914,268369,31919,212178,12632,〃,〃,〃
2022-02-04 17:05:00,2637974,540998,668489,269465,32031,213044,12654,〃,〃,〃
2022-02-04 18:05:00,2656023,543358,671130,270676,32150,213856,12673,〃,〃,〃
2022-02-04 19:05:00,2674777,545702,673892,271877,32291,214660,12688,〃,〃,〃
2022-02-04 20:05:00,2692987,548040,676637,273050,32408,215456,12719,〃,〃,〃
2022-02-04 21:05:00,2707138,549669,678522,273889,32490,216122,12741,〃,〃,〃
2022-02-04 22:05:00,2722608,551662,680765,274931,32578,216804,12767,〃,〃,〃
2022-02-04 23:05:00,2738513,553822,683159,276036,32670,217508,12795,〃,〃,〃
2022-02-05 00:05:00,2751237,555661,685187,276918,32753,218202,12809,〃,〃,〃
2022-02-05 01:05:00,2758046,556515,686278,277339,32797,218435,12821,〃,〃,〃
2022-02-05 02:05:00,2761957,557017,686949,277603,32826,218550,12826,〃,〃,〃
2022-02-05 03:05:00,2764421,557348,687370,277778,32833,218631,12828,〃,〃,〃
2022-02-05 04:05:00,2765968,557543,687649,277880,32841,218667,12830,〃,〃,〃
2022-02-05 05:05:00,2766844,557658,687815,277937,32845,218690,12843,〃,〃,〃
2022-02-05 06:05:00,2767473,557719,687885,277961,32849,218700,12845,〃,〃,〃
2022-02-05 07:05:00,2768161,557783,687974,277998,32855,218721,12845,〃,〃,〃
2022-02-05 08:05:00,2769740,557931,688162,278074,32861,218758,12849,〃,〃,〃
2022-02-05 09:05:00,2773058,558240,688539,278219,32877,218853,12854,〃,〃,〃
2022-02-05 10:05:00,2778803,558894,689370,278564,32910,219074,12866,〃,〃,〃
2022-02-05 11:05:00,2785887,559657,690348,278974,32963,219352,12880,〃,〃,〃
2022-02-05 12:05:00,2794635,560624,691524,279479,33018,219645,12885,〃,〃,〃
2022-02-05 13:05:00,2804960,561774,693019,280081,33077,220020,12903,〃,〃,〃
