date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-10-03 21:05:00,45542,9630,5000,1814,209,1352,373,历经半年，把MC打造成开放世界RPG！,"1.久等了!
2.享受旅行的同时也别忘记弹幕礼仪，友善发言哦
3.由于这期要交代的东西有点多，互动这一形式就留给下次了（而且为什么互动视频无法加入合集啊啊啊啊）
4.上期有观众问“为什么主城居民不搬到别处去”，实际上主城周围存在一个隐形屏障，这个屏障隔绝了颜色粒子的向外流失，也提高了主城居民与外界往来的门槛
5.古人云，“一行白鹭上青天“，可见天空是青色的，所以结尾天空并没有恢复颜色（实际上如果天空都恢复了，那青色世界还有必要去吗（恼））
==========
拍摄&演员&剪辑：GoldeEggs_Block
剧本文案：GoldeEggs_Block 卷一
蓝色世界建筑：GoWon7 YongHuMing 金蛋建筑组
特别鸣谢：EpicWork史诗工坊 LongingCha DeepBlue
主要使用模组：BlockBuster
==========
制作不易，如果您喜欢这个视频，请别忘记三连。
您的每一次支持，都有可能让视频被更多人看到！
我们将在达成 5万投币 后制作下一个世界",http://i1.hdslb.com/bfs/archive/7b80dca7360a463ab87a9166c5f120cc2fac9b53.jpg
2022-10-03 22:05:00,78301,13555,6780,2723,294,1680,468,〃,〃,〃
2022-10-03 23:05:00,110084,17315,8647,3720,389,2004,531,〃,"1.久等了!
2.享受旅行的同时也别忘记弹幕礼仪，友善发言哦
3.由于这期要交代的东西有点多，互动这一形式就留给下次了（而且为什么互动视频无法加入合集啊啊啊啊）
4.上期有观众问“为什么主城居民不搬到别处去”，实际上主城周围存在一个隐形屏障，这个屏障隔绝了颜色粒子的向外流失，也提高了主城居民与外界往来的门槛
5.古人云，“一行白鹭上青天“，可见天空是青色的，所以结尾天空并没有恢复颜色（实际上如果天空都恢复了，那青色世界还有必要去吗（恼））
6.关于蓝色技能其实想过各种各样的，最终还是以“水是粘合剂”为出发点选择了较符合开放世界游戏性的“组装”，
同时也确定了有色弓的功能，并限定范围为显眼的动态物件。从世界各地搜集物件组装成各种一次性道具，本身就是一件有意思的事情呢。不过由于时长有限，这次并没有着重深挖，希望以后有机会续写。
==========
拍摄&演员&剪辑：GoldeEggs_Block
剧本文案：GoldeEggs_Block 卷一
配音：_小兰喵_ 于德谦
蓝色世界建筑：GoWon7 YongHuMing 金蛋建筑组
特别鸣谢：EpicWork史诗工坊 LongingCha DeepBlue
模组：BlockBuster，Aperture，Paraglider，walljump，journeymap
==========
【本期视频用到的BGM】
苍绿之谷：Falling blossoms，GooseGogs-easy2
无夜镇：AngryBirdsSeason-dragon_ambient，The Last Emperor
猩红之渊：炎の神獣 ヴァ・ルーダニア
提取黄色：A Quiet Departure
鱿鱼傀儡：Shake Down
海天之港：天空之城，卡农
海上航行：Luma Pools
幽蓝遗迹：Mind of frenzy，Charlie Clouser - Main title
跌落时刻：End Credits
==========
制作不易，如果您喜欢这个视频，请别忘记三连。
您的每一次支持，都有可能让视频被更多人看到！
我们将在达成【5万投币】后制作下一个世界",〃
2022-10-04 00:05:00,133976,19734,9738,4274,477,2113,573,〃,〃,〃
2022-10-04 01:05:00,148012,21077,10351,4613,525,2180,633,〃,〃,〃
2022-10-04 02:05:00,154257,21670,10633,4751,531,2213,670,〃,〃,〃
2022-10-04 03:05:00,157472,21977,10774,4814,539,2242,674,〃,〃,〃
2022-10-04 04:05:00,159093,22128,10840,4866,545,2243,677,〃,〃,〃
2022-10-04 05:05:00,160083,22214,10883,4899,549,2241,677,〃,〃,〃
2022-10-04 06:05:00,161076,22301,10913,4926,554,2238,686,〃,〃,〃
2022-10-04 07:05:00,164215,22605,11042,4996,557,2248,692,〃,〃,〃
2022-10-04 08:05:00,171970,23491,11397,5204,596,2279,681,〃,〃,〃
2022-10-04 09:05:00,182696,24793,11991,5577,632,2367,703,〃,〃,〃
2022-10-04 10:05:00,196635,26345,12646,5952,662,2477,715,〃,〃,〃
2022-10-04 11:05:00,212054,28057,13476,6376,700,2589,760,〃,〃,〃
2022-10-04 12:05:00,226489,29526,14110,6759,745,2720,771,〃,〃,〃
2022-10-04 13:05:00,240611,31027,14738,7114,794,2830,793,〃,〃,〃
2022-10-04 14:05:00,251981,32199,15253,7432,825,2904,821,〃,〃,〃
2022-10-04 15:05:00,259490,32965,15545,7618,851,2945,835,〃,〃,http://i0.hdslb.com/bfs/archive/82e82155f8a995bb5b940efd0dcddc7c7a977815.jpg
2022-10-04 16:05:00,265984,33633,15817,7776,872,2983,850,〃,〃,〃
2022-10-04 17:05:00,271823,34251,16113,7942,891,3862,874,〃,〃,〃
2022-10-04 18:05:00,276201,34669,16315,8041,903,3905,897,〃,〃,〃
