date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-06-02 17:05:00,397,208,37,23,3,29,47,我的世界，但是太空版,"游戏和视频制作：GoldenEggs_Block
配音：王均霆(COMPLEX STUDIO) IBM_Official
顾问：GoWon7
================
1.好久不见，上次更新仿佛还在上一次
2.预计下次的内容将会在下一次更新
3.所以这次你可以这次一定吗？",http://i0.hdslb.com/bfs/archive/aa4531758d1b94c818777b70860fd489f9a1cddf.jpg
2022-06-02 18:05:00,8699,2502,838,385,48,316,185,〃,〃,〃
2022-06-02 19:05:00,14325,3893,1360,639,78,393,238,〃,〃,〃
2022-06-02 20:05:00,21939,5180,1877,919,110,448,299,〃,"游戏和视频制作：GoldenEggs_Block
配音：王均霆(COMPLEX STUDIO) IBM_Official
顾问：GoWon7
================
1.好久不见，上次更新仿佛还在上一次
2.预计下次的内容将会在下一次更新
3.所以这次你可以这次一定吗？
4.某位配音好像把MinePlanet读成MyPlant了...不要在意
5.如果喜欢别忘了投个币，让视频被更多人看到
================
【最新版Unity工程文件】
链接：https://pan.baidu.com/s/1K0oowZvdHvMx2J7E_u3snA 
提取码：2333",〃
2022-06-02 21:05:00,33088,6645,2446,1299,131,504,345,〃,〃,〃
2022-06-02 22:05:00,41481,7839,2945,1619,150,552,391,〃,〃,〃
2022-06-02 23:05:00,46738,8737,3283,1838,167,587,413,〃,〃,〃
2022-06-03 00:05:00,52874,9521,3553,2037,185,593,430,〃,〃,〃
2022-06-03 01:05:00,55909,9947,3727,2137,193,595,435,〃,〃,〃
2022-06-03 02:05:00,57822,10178,3797,2181,199,603,444,〃,〃,〃
2022-06-03 03:05:00,58778,10271,3827,2214,201,607,448,〃,〃,〃
2022-06-03 04:05:00,59360,10331,3852,2228,201,607,451,〃,〃,〃
2022-06-03 05:05:00,59887,10370,3873,2240,202,609,454,〃,〃,〃
2022-06-03 06:05:00,60580,10436,3898,2257,206,611,454,〃,〃,〃
2022-06-03 07:05:00,62356,10594,3961,2302,208,614,458,〃,〃,〃
2022-06-03 08:05:00,65767,10938,4093,2404,215,628,464,〃,〃,〃
2022-06-03 09:05:00,70743,11395,4275,2569,225,645,475,〃,〃,〃
2022-06-03 10:05:00,76667,11949,4511,2763,233,660,483,〃,〃,〃
2022-06-03 11:05:00,83379,12535,4794,2983,252,680,495,〃,〃,〃
2022-06-03 12:05:00,90418,13102,5018,3169,274,710,514,〃,〃,〃
2022-06-03 13:05:00,97231,13632,5281,3356,287,734,530,〃,〃,〃
2022-06-03 14:05:00,102873,14074,5451,3504,297,745,545,〃,〃,〃
2022-06-03 15:05:00,108365,14452,5641,3646,304,754,554,〃,〃,〃
2022-06-03 16:05:00,113273,14783,5766,3772,310,764,569,〃,〃,〃
2022-06-03 17:05:00,118237,15111,5914,3888,317,782,580,〃,〃,〃
2022-06-03 18:05:00,122482,15411,6053,4003,329,790,588,〃,〃,〃
2022-06-03 19:05:00,126145,15653,6152,4088,340,801,599,〃,"游戏和视频制作：GoldenEggs_Block
配音：王均霆(COMPLEX STUDIO) IBM_Official
顾问：GoWon7
================
1.好久不见，上次更新仿佛还在上一次
2.预计下次的内容将会在下一次更新
3.所以这次你可以这次一定吗？
4.某位配音好像把MinePlanet读成MyPlant了...不要在意
5.如果喜欢别忘了投个币，让视频被更多人看到
================
【最新版Unity工程文件】
链接：https://pan.baidu.com/s/1K0oowZvdHvMx2J7E_u3snA
提取码：2333",〃
2022-06-03 20:05:00,129410,15857,6235,4160,348,808,602,〃,〃,〃
2022-06-03 21:05:00,132717,16093,6341,4241,355,817,611,〃,〃,〃
2022-06-03 22:05:00,136120,16339,6432,4328,359,838,616,〃,〃,〃
2022-06-03 23:05:00,138968,16581,6533,4413,369,847,620,〃,〃,〃
2022-06-04 00:05:00,140968,16746,6606,4465,371,856,626,〃,〃,〃
2022-06-04 01:05:00,142194,16847,6639,4493,373,858,630,〃,"游戏和视频制作：GoldenEggs_Block
配音：王均霆(COMPLEX STUDIO) IBM_Official
顾问：GoWon7
================
1.好久不见，上次更新仿佛还在上一次
2.预计下次的内容将会在下一次更新
3.所以这次你可以这次一定吗？
4.某位配音好像把MinePlanet读成MyPlant了...不要在意
5.如果喜欢别忘了投个币，让视频被更多人看到~
本系列的下期视频将在硬币数达成3万后开始制作
================
【最新版Unity工程文件】
链接：https://pan.baidu.com/s/1K0oowZvdHvMx2J7E_u3snA
提取码：2333",〃
2022-06-04 02:05:00,142854,16904,6663,4509,373,858,632,〃,〃,〃
2022-06-04 03:05:00,143225,16933,6683,4519,374,858,632,〃,〃,〃
2022-06-04 04:05:00,143458,16955,6687,4525,374,858,632,〃,〃,〃
2022-06-04 05:05:00,143625,16964,6689,4529,374,856,633,〃,〃,〃
2022-06-04 06:05:00,143826,16980,6691,4536,375,856,633,〃,〃,〃
2022-06-04 07:05:00,144337,17014,6698,4545,376,859,633,〃,〃,〃
2022-06-04 08:05:00,145363,17088,6729,4569,377,862,635,〃,〃,〃
2022-06-04 09:05:00,147113,17205,6770,4609,380,865,638,〃,〃,〃
2022-06-04 10:05:00,149506,17385,6836,4659,385,874,639,〃,〃,〃
2022-06-04 11:05:00,152421,17566,6907,4720,390,878,643,〃,〃,〃
2022-06-04 12:05:00,155202,17735,7007,4784,395,885,647,〃,〃,〃
2022-06-04 13:05:00,158171,17938,7106,4848,395,890,648,〃,〃,〃
2022-06-04 14:05:00,161077,18133,7184,4906,401,896,653,〃,〃,〃
2022-06-04 15:05:00,163814,18291,7239,4955,402,897,660,〃,〃,〃
2022-06-04 16:05:00,166253,18447,7293,5010,406,897,662,〃,〃,〃
2022-06-04 17:05:00,168479,18577,7365,5060,410,900,665,〃,〃,〃
2022-06-04 18:05:00,170624,18695,7420,5114,413,908,671,〃,〃,〃
2022-06-04 19:05:00,172692,18817,7483,5146,418,916,676,〃,〃,〃
2022-06-04 20:05:00,174497,18947,7541,5188,422,920,678,〃,〃,〃
2022-06-04 21:05:00,176117,19062,7603,5229,424,924,681,〃,〃,〃
2022-06-04 22:05:00,177871,19184,7670,5278,431,927,684,〃,〃,〃
2022-06-04 23:05:00,179571,19319,7740,5319,438,934,684,〃,〃,〃
2022-06-05 00:05:00,180832,19417,7789,5349,441,934,686,〃,〃,〃
2022-06-05 01:05:00,181594,19478,7819,5371,444,939,690,〃,〃,〃
2022-06-05 02:05:00,182179,19521,7842,5398,446,939,691,〃,〃,〃
2022-06-05 03:05:00,182639,19548,7845,5411,447,941,692,〃,〃,〃
2022-06-05 04:05:00,182938,19562,7851,5417,447,941,693,〃,〃,〃
2022-06-05 05:05:00,183119,19566,7853,5417,447,941,693,〃,〃,〃
2022-06-05 06:05:00,183349,19571,7853,5419,447,941,694,〃,〃,〃
2022-06-05 07:05:00,184129,19617,7871,5450,447,941,695,〃,〃,〃
2022-06-05 08:05:00,185770,19691,7897,5501,451,944,696,〃,〃,〃
2022-06-05 09:05:00,188187,19804,7942,5569,452,950,697,〃,〃,〃
2022-06-05 10:05:00,192798,20014,8016,5741,452,952,701,〃,〃,〃
2022-06-05 11:05:00,201454,20324,8126,6005,455,954,703,〃,〃,〃
2022-06-05 12:05:00,208970,20610,8229,6221,461,964,703,〃,〃,〃
2022-06-05 13:05:00,218441,21113,8423,6509,473,973,709,〃,〃,〃
2022-06-05 14:05:00,228197,21549,8582,6791,483,982,713,〃,〃,〃
2022-06-05 15:05:00,235765,21844,8681,6950,485,985,737,〃,〃,〃
2022-06-05 16:05:00,241181,22056,8754,7073,489,990,776,〃,〃,〃
2022-06-05 17:05:00,248875,22317,8857,7259,497,991,783,〃,〃,〃
2022-06-05 18:05:00,257777,22640,8998,7488,500,995,790,〃,〃,〃
2022-06-05 19:05:00,265555,22894,9113,7702,502,998,792,〃,〃,〃
2022-06-05 20:05:00,272990,23199,9225,7934,505,999,773,〃,〃,〃
2022-06-05 21:05:00,281120,23481,9321,8164,510,1149,782,〃,〃,〃
2022-06-05 22:05:00,286664,23690,9392,8314,514,1149,789,〃,〃,〃
2022-06-05 23:05:00,289036,23820,9470,8384,515,1158,792,〃,〃,〃
2022-06-06 00:05:00,290578,23924,9523,8420,519,1163,798,〃,〃,〃
2022-06-06 01:05:00,291474,23985,9546,8441,523,1166,798,〃,〃,〃
2022-06-06 02:05:00,292051,24011,9562,8449,525,1166,800,〃,〃,〃
