number,bvid,aid,tid,tname,title,pubdate,ctime,state,duration,dynamic,cid,width,height,is_stein_gate
1,BV14x411S7kF,9702105,17,单机游戏,【当《中国新歌声》撞上Minecraft】歌曲《New World》舞台剧演示,2017-04-08 21:10:52,2017-06-14 17:29:40,0,306,,16034938,620,360,0
2,BV1sx411D7SL,9923420,17,单机游戏,《MC新歌声》第一期+舞台剧《New World》,2017-04-18 13:37:57,2017-06-14 17:29:40,0,1106,,16405329,620,360,0
3,BV1Xx411v7Ei,10721176,17,单机游戏,【Minecraft】创意降雪片头,2017-05-21 14:35:49,2017-06-14 17:29:40,0,42,,17689734,620,360,0
4,BV1Ex411a7tr,11104749,17,单机游戏,【用mc还原pvz2关卡】巨浪沙滩浮岛+建筑+Day5.5关卡全程,2017-06-06 04:02:19,2017-06-14 17:29:40,0,726,,18377604,620,360,0
5,BV1nx411B7ja,12287292,17,单机游戏,【还有这种操作？】愤怒的小鸟自制创意关卡①：五环之歌（仿08年奥运五环）,2017-07-17 15:43:19,2017-07-17 15:43:19,0,135,,20246012,602,360,0
6,BV1fx411v7Kf,12348322,17,单机游戏,【冰封战场】【当mc撞上pvz2关卡】极寒冰窟浮岛+建筑+MiniGames冰封战场part1.5关卡全程演示,2017-07-19 11:28:04,2017-07-19 11:28:04,0,643,,20339635,602,360,0
7,BV1ax411W7p6,12736892,22,鬼畜调教,【哲♂学Dark战僵尸】妖王的复仇,2017-07-30 04:52:33,2017-07-30 04:52:32,0,272,,20941976,480,360,0
8,BV1sx411p7hU,13012352,126,人力VOCALOID,【白居易听了想打人】《刚好遇见-琵琶行》,2017-08-06 06:18:49,2017-08-06 06:18:49,0,202,,21366344,640,360,0
9,BV1wx411H7zD,13298486,17,单机游戏,【童年向】Minecraft版《森林冰火人》,2017-08-13 04:59:17,2017-08-13 04:59:17,0,252,,370705657,1920,1080,0
10,BV1ox411J7FU,13578152,17,单机游戏,【还原童年】《战争进化史》植物大战僵尸版,2017-08-20 09:11:36,2017-08-20 09:11:36,0,292,,22223647,640,360,0
11,BV15x411b76L,13651990,126,人力VOCALOID,【屈原&葛平&朴树】《离骚之路》,2017-08-22 03:52:39,2017-08-22 03:52:39,0,303,,22336716,640,360,0
12,BV14x411b7mh,13693177,17,单机游戏,用《愤怒的小鸟》还原《我的世界》,2017-08-23 05:07:08,2017-08-23 05:07:08,0,220,,22400550,602,360,0
13,BV1cx41187Fc,13774822,17,单机游戏,【pvz新地形】雨林瀑布（原屋顶）,2017-08-25 08:07:25,2017-08-25 08:07:25,0,555,,22521441,480,360,0
14,BV1Nx41187nv,13815981,17,单机游戏,【99999只绿猪参演】《一口气全念炸》愤怒的小鸟 自制关卡串烧,2017-08-26 07:19:43,2017-08-26 07:19:43,0,179,,22582467,620,360,0
15,BV1nx411473y,14302658,17,单机游戏,【在怒鸟里“噶韭菜”】120秒教你创作怒鸟自制关卡，打开新世界的大门,2017-09-09 14:16:41,2017-09-09 14:16:44,0,409,,23342600,576,360,0
16,BV13x41137Yf,15014806,17,单机游戏,用mc还原《冰冻双侠》,2017-10-03 05:27:23,2017-10-03 05:27:25,0,171,,24457151,640,360,0
17,BV1Bx411E7PQ,15937909,17,单机游戏,【如果超平坦和主世界地形融合起来】鬼畜mc服半年成果展示,2017-11-02 06:34:18,2017-11-02 06:34:21,0,293,三个字，加特技,26009141,620,360,0
18,BV1Zx411575z,16309289,17,单机游戏,【某意义不明的活塞机械】两个mc片头,2017-11-14 02:46:20,2017-11-14 02:46:20,0,42,"相关游戏: Minecraft
简介补充: MC符咒篇工作量巨大...看样子最近几天是剪不完的了。先放个概念版片头吧╮(￣▽￣)╭",28222167,620,360,0
19,BV1kx411V7YJ,16554356,17,单机游戏,在mc中使用《成龙》虎符咒、鸡符咒、鼠符咒等十二生肖符咒（符咒主题PVP）,2017-11-22 02:10:13,2017-11-22 02:10:14,0,499,有生之年系列,370829158,1440,836,0
20,BV1LW4118748,17402830,17,单机游戏,【衬衫的价格为9磅15便士】mc还原2017高考英语听力,2017-12-19 01:26:13,2017-12-19 01:26:13,0,615,"首先，我们团队真的是非常用心在做这件事，短短十分钟的视频，每一帧都是经过精心策划的.....
其次，制作过程十分不易，光是11段对话就录制了几周.....而且加了非常多很黑很亮的特技.....
最后，貌似B站目前还没有人尝试过将英语听力和MC结合起来，这样的创意应该让更多人看到...
无论结果如何，感谢！",370839293,1440,900,0
21,BV1pW411t7rr,17595683,17,单机游戏,用mc还原《坏蛋冰淇淋》,2017-12-25 01:07:21,2017-12-25 01:07:22,0,220,"相关游戏: Minecraft
简介补充: 1.氧化还原游戏系列第三弹
2.原版高仿的梗已经玩了三回了233
3.特别感谢@ssr42 dalao连续四周赶制红石装置，也感谢@器皿好不会后悔 的友情出演(°∀°)ﾉ
4.其实@ssr42 就是之前视频名单里@BB宝 ，出演过很多（nv zhuang）角色
5.由于时间紧迫，我们只做了第一关香蕉部分的还原，如果你愿意支持我们继续做下去，请为我们点个赞吧~",28723901,640,360,0
22,BV1XW411q7wD,17841466,17,单机游戏,【pvz-雾夜】动态光源+保龄球,2018-01-01 06:27:30,2018-01-01 06:27:31,0,186,不务正业系列,29127548,576,360,0
23,BV1wW411w7dm,24677545,17,单机游戏,【如果mc主世界只剩下一个平面！】二维世界生存 Ep1,2018-06-11 04:32:53,2018-06-11 04:32:53,0,789,#Minecraft##我的世界#    好久不见，我们回来了！  (°∀°)ﾉ   录制花絮在2p,370741132,1440,836,0
24,BV1is411j7VZ,25200845,17,单机游戏,用《我的世界》还原《最强大脑》& 蜂巢迷宫,2018-06-19 15:28:40,2018-06-19 15:28:40,0,1063,"#我的世界##MINECRAFT##单机联机#  
完善了一下2P",370842323,1440,836,0
25,BV1Ls41177V4,25361291,17,单机游戏,【纵享丝♂滑】用mc还原德芙巧克力广告,2018-06-22 11:35:01,2018-06-22 11:35:01,0,166,"#MINECRAFT##MC##我的世界#
删去pvz片头
更换哲♂学标题
降低封面亮度",43079729,1440,836,0
26,BV1ks411L7WS,25581529,17,单机游戏,【如果mc地狱只剩下一个平面！】二维世界生存 Ep2,2018-06-25 19:40:51,2018-06-25 19:40:51,0,791,#我的世界##MINECRAFT##MC#   二维暮色生存  第二集  已经更新！,43582225,1440,836,0
27,BV1ws41157om,25783111,17,单机游戏,mc版《成龙》十二符咒 vs 山、风、月、电、地、天、水、火之恶魔（符咒主题PVP 第二弹）,2018-06-29 12:00:48,2018-06-29 12:00:52,0,564,#MC##我的世界##成龙历险记#,44028022,1440,836,0
28,BV1Ys41157Sp,25885949,17,单机游戏,【MC音乐微电影】《青石巷》,2018-06-30 19:07:43,2018-06-30 19:07:43,0,163,#单机联机##MINECRAFT##MC#  青石巷,113205538,1920,1080,0
29,BV1fs41157GP,25935019,17,单机游戏,【Test】MC相声,2018-07-01 14:07:41,2018-07-01 14:07:41,0,824,None,364413052,1920,1000,0
30,BV1ws411V7v5,26109001,17,单机游戏,【2018】mc还原《森林冰火人》,2018-07-04 03:36:53,2018-07-04 03:36:53,0,121,"#MC##我的世界##MINECRAFT#   
(°∀°)ﾉ新增冰火人视角（玩家视角）",44776223,1440,836,0
31,BV1Ks411p7F4,26307641,17,单机游戏,【童年】用mc还原《僵尸危机》,2018-07-07 07:00:51,2018-07-07 03:31:32,0,477,"#单机联机##MC##MINECRAFT#
刚开始还一本正经地还原，后来有人发明了僵尸迫击炮，于是场面就失控了...
【这次还展示了“会爆炸的雪球”、“自带闪电的箭”等新型指令武器】",45182075,1440,836,0
32,BV1cs411H7gs,26586003,17,单机游戏,我的世界版《天线宝宝》（毁童年）,2018-07-11 07:00:08,2018-07-11 07:00:10,0,443,#我的世界##单机联机##MC#    这个真好玩，一点都不恐怖哦,45718214,1440,836,0
33,BV15s411H7TF,26664333,17,单机游戏,"『一城 , 一角 , 一曲』印象-上海",2018-07-12 06:14:55,2018-07-12 06:14:55,0,359,"#我的世界##MC##MINECRAFT#    光影6分钟,渲染4小时 .jpg",45865602,1440,836,0
34,BV1fs41177NH,27038136,17,单机游戏,如果把36个经典游戏串成一个连锁反应会发生什么？,2018-07-17 07:08:26,2018-07-17 07:08:26,0,277,"#MC##我的世界##MINECRAFT#     
这些游戏都玩过的举个手",46576836,1440,900,0
35,BV1Zs411N7hJ,27349212,17,单机游戏,【Minecraft】颠倒の世界（第1集）,2018-07-21 06:34:31,2018-07-21 06:34:31,0,527,#单机联机##MINECRAFT##MC#   视觉大片~,371125909,1440,836,0
36,BV1ks411P7ft,27602482,17,单机游戏,【补档】用mc全方位还原《暴走大事件第五季》,2018-07-24 13:14:38,2018-07-24 13:14:38,0,485,"#单机联机##MC##MINECRAFT#     
新增完美字幕的版本！
（为了给星座30s飞速台词配上字幕，我把空耳的技能都使出来了....）",47670120,1440,900,0
37,BV19s411A7zn,27965475,17,单机游戏,我的世界 史上最刁『连锁反应』〈第一代：生存主题〉,2018-07-28 22:14:25,2018-07-28 22:14:25,0,339,#MINECRAFT##我的世界##单机联机#  更新！这次的视频是“连锁反应”+“恶魂打碟”,48344405,1440,836,0
38,BV1ns41137L2,28397632,17,单机游戏,别再秀光影了，看看mc的星空材质包！,2018-08-03 10:25:02,2018-08-03 10:25:02,0,206,#MINECRAFT##单机联机##我的世界#   其实结尾才是重点...,49125527,1440,836,0
39,BV1Qs411u7yJ,28636186,17,单机游戏,【废稿】麦田怪圈之谜,2018-08-06 07:14:35,2018-08-06 07:14:36,0,342,#MINECRAFT##单机联机##MC#   有生之年的更新,49585750,1440,836,0
40,BV1ts411T7Kj,29212939,17,单机游戏,【用mc全方位还原pvz2】小游戏-生化危机,2018-08-13 06:36:35,2018-08-13 06:36:34,0,383,#MINECRAFT##我的世界##单机联机#  僵尸的繁殖速度究竟可以有多快？,50719856,1264,680,0
41,BV1mW411X7Rx,29667104,17,单机游戏,如果把40个经典游戏串成“连锁反应”（第二弹）,2018-08-18 12:33:24,2018-08-18 12:33:22,0,197,#MINECRAFT##单机联机##Undertale#   点进去，绝对不会失望,51618525,1440,900,0
42,BV1KW411D7wZ,30186055,17,单机游戏,【如果mc末地只剩下一个平面！】二维世界生存 Ep3,2018-08-24 14:46:04,2018-08-24 14:46:01,0,495,#MINECRAFT##单机联机##MC#  有生之年系列~久等了,52628930,1920,1000,0
43,BV1Gs411F7Ht,30915030,126,人力VOCALOID,【背书神曲】《刚好遇见-琵琶行》,2018-09-02 08:00:23,2018-09-02 01:57:16,0,378,#开学大作战##Minecraft##MC#     鬼畜和Minecraft的结合。语文老师听了想打人系列。,109057386,1920,1000,0
